"park","plot","visit","genus_species","tag","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","is_the_tree_dead"
"Litchfield","1","T1","Carallia brachiata","39",5.5,"3",5.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","40",5.5,"0",5.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","41",17.5,"0",15,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","42",17.5,"0",13.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Lophostemon lactifluus","43",6.5,"0",6.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","44",15.5,"0",12.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","45",9,"0",5.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","46",9,"0",9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","47",16.5,"0",22.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","48",9,"0",8.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Maranthes corymbosa","49",18.5,"0",37.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","50",14.5,"0",14.3,15,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melaleuca argentea","51",23.5,"2",47.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melaleuca argentea","52",18.5,"2",19.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melaleuca argentea","53",25.5,"3",64,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melicope elleryana","54",7,"0",6.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melaleuca argentea","55",18.5,"0",22.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melicope elleryana","56",6,"0",8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Lophostemon lactifluus","57",7.5,"3",16.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Lophostemon lactifluus","58",16.5,"3",20.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melicope elleryana","59",16.5,"0",29.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melaleuca argentea","60",25.5,"0",88,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melicope elleryana","61",12.5,"0",8.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melicope elleryana","62",13.5,"0",9.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melicope elleryana","63",12.5,"0",10,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Lophostemon lactifluus","64",1.5,"1",25.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","65",20.5,"0",21.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","66",17,"0",10.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","67",4.5,"0",5.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","68",18.5,"0",13,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","69",16.5,"0",18.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","70",14.5,"0",9.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","71",14.5,"0",8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","72",16,"0",11.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","73",16.5,"0",18.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","74",9.5,"0",5.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","75",7.5,"0",7.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Syzygium armstrongii","76",16.5,"0",18.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","77",19,"0",14.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","78",9,"0",15.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","79",5,"0",5.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","80",8,"0",7.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","81",8,"0",9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","82",5,"0",7.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Maranthes corymbosa","1",18,"0",13.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Maranthes corymbosa","2",18,"0",11.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","3",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Carpentaria acuminata","4",24,"0",21.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","5",17,"0",15,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","6",12,"0",7.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","7",11,"0",6.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","8",13,"0",10.3,6.5,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Maranthes corymbosa","9",9.5,"0",5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Maranthes corymbosa","10",21,"0",30.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Myrsine benthamiana","11",11,"0",6.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","12",12,"0",7.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","13",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Helicia australasica","14",16,"0",12.3,13.7,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","15",16,"0",13.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","16",15,"0",12.1,11.4,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","17",14.5,"0",16.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","18",15,"1",12.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Acacia auriculiformis","19",27,"0",50.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Acacia auriculiformis","20",16,"0",12.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","21",14,"0",11.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","22",16,"0",14.6,9,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","23",24.5,"1",19.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","24",21,"1",17.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","25",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Carpentaria acuminata","26",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Carpentaria acuminata","27",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Helicia australasica","28",13,"1",19.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","29",24,"1",23.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","30",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Alphitonia excelsa","31",18,"0",15,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","32",7,"0",6.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","33",7,"0",10.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","34",16,"0",16.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","35",10,"0",18.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","36",10,"0",20,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","37",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Melaleuca argentea","38",23,"1",46.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carallia brachiata","39",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Helicia australasica","40",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Alphitonia excelsa","41",19,"0",18.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","42",19.5,"0",16.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Lophostemon lactifluus","43",11,"2",6.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","44",20,"0",19.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","45",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Alphitonia excelsa","46",14.5,"1",12.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","47",19.5,"1",23.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","48",14.5,"2",15.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Maranthes corymbosa","49",25,"0",42.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","50",18,"0",14.8,16.3,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melaleuca argentea","51",27,"1",49.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melaleuca argentea","52",19.5,"1",19.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melaleuca argentea","53",26,"2",68.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","54",13,"2",11.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melaleuca argentea","55",21,"1",22.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","56",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Lophostemon lactifluus","57",9,"1",15.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Lophostemon lactifluus","58",17,"1",21,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","59",18,"1",34.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melaleuca argentea","60",26,"1",88.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","61",13,"1",9.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","62",15,"1",12.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","63",14,"1",12.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Lophostemon lactifluus","64",17,"1",25.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","65",22,"1",21.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","66",18.5,"0",14.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","67",13,"0",22.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","68",19.5,"0",18,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","69",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Alphitonia excelsa","70",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Alphitonia excelsa","71",15,"0",8.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","72",19,"0",15,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","73",18.5,"0",18.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","74",0,"0",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T2","Carpentaria acuminata","75",13,"0",18.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Syzygium armstrongii","76",20,"0",21.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Alphitonia excelsa","77",23,"0",21.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","78",15,"1",21.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","79",8.5,"1",8.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","80",13,"1",15.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","81",13,"1",20.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","82",13.5,"1",18.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","83",8,"0",8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","85",9,"0",6.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","86",9,"0",8.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Ficus hispida","87",7,"0",8.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Melicope elleryana","89",8,"0",5.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","90",9,"0",5.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","91",9,"0",6.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","92",8.5,"0",6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","93",14,"0",13.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","98",9,"0",5.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","99",13,"1",15.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","100",9,"1",12.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","102",7.5,"1",6.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","103",8,"1",7.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","104",9,"0",5.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","107",6.5,"0",5.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","108",11.5,"1",7.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","109",12,"1",7.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","110",14.5,"0",6.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","112",7.5,"1",5.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","115",8,"0",6.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","115",12,"1",8.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","116",8,"1",5.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","116",11,"1",6.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","117",9.5,"1",7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","118",10,"0",7.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","119",8,"1",5.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Helicia australasica","123",17,"0",12.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","124",7,"1",6.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","154",13.5,"1",14.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","156",14,"0",10,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","157",12,"0",18.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","158",12,"1",6.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","159",11.5,"1",17.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Carpentaria acuminata","160",12.5,"1",8.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T2","Horsfieldia australiana","161",8.5,"0",7.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Maranthes corymbosa","1",19,"0",14,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Maranthes corymbosa","2",20,"0",12,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Carpentaria acuminata","3",22.5,"1",21.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Carpentaria acuminata","4",22,"1",23.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","5",15,"0",14.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","6",8,"0",9.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","7",9.5,"0",6.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","8",13,"0",11.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Maranthes corymbosa","9",7.5,"0",5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Maranthes corymbosa","10",20,"0",30,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Myrsine benthamiana","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Helicia australasica","12",11,"0",9.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","13",10,"0",12,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","14",16.5,"0",13.4,12.3,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","15",14,"0",13,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","16",13.5,"0",11.7,11,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","17",17,"0",16,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Acacia auriculiformis","19",28,"0",56.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Acacia auriculiformis","20",17,"0",13,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","21",16,"0",10.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","22",12,"0",15,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Carpentaria acuminata","23",20,"0",19,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Carpentaria acuminata","24",18,"0",18,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Helicia australasica","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Carpentaria acuminata","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Carpentaria acuminata","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Helicia australasica","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Carpentaria acuminata","29",27,"0",23,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T3","Alphitonia excelsa","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Alphitonia excelsa","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Litchfield","1","T3","Carpentaria acuminata","32",6.5,"0",6.5,NA,NA,NA,NA,NA,NA,NA,FALSE
