WETLAND,TRANSECT,SPECIES,STAGE,SEX,COUNT,MONTH,DAY,YEAR
P02,A,FROTAD,L,U,1,5,2,1994
P04,A,FROTAD,L,U,9,5,2,1994
P08,A,AMMA,A,M,1,5,2,1994
T01,A,FROTAD,L,U,5,5,2,1994
T04,A,FROTAD,L,U,12,5,2,1994
T05,A,FROTAD,L,U,2,5,2,1994
T06,A,FROTAD,L,U,6,5,2,1994
T09,A,FROTAD,L,U,6,5,2,1994
P02,A,FROTAD,L,U,4,5,3,1994
P04,A,FROTAD,L,U,3,5,3,1994
P07,A,AMMA,A,M,4,5,3,1994
P11,A,AMMA,A,M,1,5,3,1994
T01,A,FROTAD,L,U,6,5,3,1994
T03,A,FROTAD,L,U,1,5,3,1994
T04,A,FROTAD,L,U,17,5,3,1994
T05,A,FROTAD,L,U,1,5,3,1994
T06,A,FROTAD,L,U,7,5,3,1994
T07,A,FROTAD,L,U,2,5,3,1994
T09,A,FROTAD,L,U,1,5,3,1994
P04,A,FROTAD,L,U,8,5,4,1994
P08,A,AMMA,A,M,1,5,4,1994
T01,A,AMMA,L,U,2,5,4,1994
T01,A,FROTAD,L,U,13,5,4,1994
T04,A,FROTAD,L,U,9,5,4,1994
T05,A,FROTAD,L,U,3,5,4,1994
T06,A,FROTAD,L,U,2,5,4,1994
T07,A,FROTAD,L,U,3,5,4,1994
T09,A,FROTAD,L,U,4,5,4,1994
P01,A,AMMA,L,U,1,6,1,1994
P02,A,FROTAD,L,U,1,6,1,1994
P04,A,FROTAD,L,U,1,6,1,1994
P06,A,FROTAD,L,U,1,6,1,1994
P08,A,AMMA,L,U,4,6,1,1994
P11,A,AMMA,L,U,31,6,1,1994
T01,A,AMMA,L,U,5,6,1,1994
T07,A,PSMA,L,U,5,6,1,1994
P01,A,AMMA,L,U,6,6,2,1994
P06,A,FROTAD,L,U,1,6,2,1994
P07,A,AMMA,A,F,1,6,2,1994
P08,A,AMMA,L,U,15,6,2,1994
P11,A,AMMA,A,M,1,6,2,1994
P11,A,AMMA,L,U,19,6,2,1994
T01,A,AMMA,L,U,2,6,2,1994
T01,A,FROTAD,L,U,1,6,2,1994
P01,A,AMMA,L,U,2,6,3,1994
P02,A,FROTAD,L,U,1,6,3,1994
P08,A,AMMA,L,U,4,6,3,1994
P11,A,AMMA,L,U,8,6,3,1994
T01,A,AMMA,L,U,4,6,3,1994
T07,A,FROTAD,L,U,2,6,3,1994
P01,A,AMMA,L,U,6,6,4,1994
P04,A,FROTAD,L,U,1,6,4,1994
P07,A,AMMA,A,U,1,6,4,1994
P08,A,AMMA,A,F,1,6,4,1994
P08,A,PSMA,A,U,1,6,4,1994
P08,A,AMMA,L,U,3,6,4,1994
P11,A,AMMA,L,U,30,6,4,1994
T01,A,AMMA,L,U,4,6,4,1994
P01,A,AMMA,L,U,4,7,1,1994
P07,A,AMMA,A,M,1,7,1,1994
P08,A,AMMA,A,M,1,7,1,1994
P08,A,AMMA,L,U,7,7,1,1994
P11,A,AMMA,L,U,19,7,1,1994
T01,A,AMMA,L,U,21,7,1,1994
P01,A,AMMA,L,U,5,7,2,1994
P08,A,AMMA,L,U,3,7,2,1994
P11,A,AMMA,L,U,22,7,2,1994
T01,A,AMMA,L,U,14,7,2,1994
T05,A,RASY,A,U,1,7,2,1994
P01,A,AMMA,L,U,4,7,3,1994
P08,A,AMMA,L,U,9,7,3,1994
P11,A,AMMA,L,U,6,7,3,1994
T01,A,AMMA,L,U,19,7,3,1994
P01,A,AMMA,L,U,4,7,4,1994
P08,A,AMMA,A,F,1,7,4,1994
P08,A,AMMA,A,M,1,7,4,1994
P08,A,AMMA,L,U,5,7,4,1994
P11,A,AMMA,L,U,49,7,4,1994
T01,A,AMMA,L,U,14,7,4,1994
T03,A,RASY,A,U,1,7,4,1994
P01,A,AMMA,A,F,1,8,1,1994
P01,A,AMMA,L,U,1,8,1,1994
P04,A,AMMA,A,F,1,8,1,1994
P08,A,AMMA,A,M,1,8,1,1994
P11,A,AMMA,L,U,25,8,1,1994
T01,A,AMMA,A,U,2,8,1,1994
P01,A,AMMA,A,U,1,8,2,1994
P08,A,AMMA,L,U,9,8,2,1994
P11,A,AMMA,L,U,9,8,2,1994
T09,A,AMMA,A,M,1,8,2,1994
P01,A,AMMA,A,F,1,8,3,1994
P08,A,AMMA,L,U,3,8,3,1994
P11,A,AMMA,L,U,13,8,3,1994
P01,A,AMMA,A,M,2,8,4,1994
P01,A,AMMA,A,U,3,8,4,1994
P08,A,AMMA,A,U,1,8,4,1994
P08,A,AMMA,L,U,4,8,4,1994
P11,A,AMMA,L,U,11,8,4,1994
P08,A,AMMA,L,U,1,9,1,1994
P11,A,AMMA,L,U,12,9,1,1994
P11,A,AMMA,L,U,16,9,2,1994
P11,A,AMMA,L,U,4,9,3,1994
P08,A,AMMA,L,U,2,9,4,1994
P11,A,AMMA,L,U,7,9,4,1994
P11,A,AMMA,A,F,1,5,2,1995
P11,A,AMMA,L,F,2,5,2,1995
P11,A,AMMA,A,M,5,5,2,1995
P11,A,AMMA,L,M,3,5,2,1995
T01,A,AMMA,A,F,1,5,2,1995
P07,A,AMMA,A,M,3,5,3,1995
P11,A,AMMA,L,F,2,5,3,1995
P11,A,AMMA,A,M,1,5,3,1995
T01,A,AMMA,A,F,1,5,3,1995
T01,A,AMMA,A,M,3,5,3,1995
P08,A,AMMA,A,F,4,5,4,1995
T01,A,AMMA,A,F,1,5,4,1995
P01,A,AMMA,A,F,2,6,1,1995
P11,A,AMMA,L,F,2,6,1,1995
P11,A,AMMA,L,M,4,6,1,1995
T03,A,FROTAD,L,U,3,6,1,1995
T04,A,FROTAD,L,U,5,6,1,1995
P06,A,AMMA,A,F,2,6,2,1995
P08,A,AMMA,A,F,1,6,2,1995
P11,A,AMMA,L,F,1,6,2,1995
P11,A,AMMA,L,U,1,6,2,1995
T03,A,FROTAD,L,U,1,6,2,1995
T04,A,FROTAD,L,U,3,6,2,1995
T05,A,FROTAD,L,U,5,6,2,1995
T06,A,FROTAD,L,U,7,6,2,1995
T07,A,FROTAD,L,U,5,6,2,1995
T08,A,FROTAD,L,U,1,6,2,1995
T09,A,FROTAD,L,U,6,6,2,1995
P01,A,AMMA,A,F,1,6,3,1995
P03,A,RASY,A,U,1,6,3,1995
P04,A,AMMA,A,M,1,6,3,1995
P08,A,AMMA,A,F,1,6,3,1995
P11,A,AMMA,A,M,1,6,3,1995
P11,A,AMMA,L,M,2,6,3,1995
T01,A,FROTAD,L,U,2,6,3,1995
T03,A,AMMA,A,F,1,6,3,1995
T04,A,FROTAD,L,U,11,6,3,1995
T05,A,FROTAD,L,U,3,6,3,1995
T06,A,FROTAD,L,U,3,6,3,1995
T07,A,FROTAD,L,U,10,6,3,1995
T08,A,FROTAD,L,U,11,6,3,1995
T09,A,FROTAD,L,U,3,6,3,1995
P01,A,AMMA,A,F,4,6,4,1995
P03,A,AMMA,A,F,1,6,4,1995
P11,A,AMMA,A,F,1,6,4,1995
P11,A,AMMA,L,F,2,6,4,1995
P11,A,AMMA,A,M,1,6,4,1995
T05,A,FROTAD,L,U,4,6,4,1995
T06,A,FROTAD,L,U,5,6,4,1995
T07,A,FROTAD,L,U,4,6,4,1995
T08,A,FROTAD,L,U,12,6,4,1995
T09,A,FROTAD,L,U,9,6,4,1995
P01,A,AMMA,L,U,31,7,1,1995
P02,A,AMMA,A,U,2,7,1,1995
P02,A,AMMA,L,U,2,7,1,1995
P03,A,AMMA,A,F,1,7,1,1995
P04,A,AMMA,L,U,2,7,1,1995
P07,A,AMMA,L,U,16,7,1,1995
P08,A,AMMA,A,F,1,7,1,1995
P08,A,AMMA,L,U,16,7,1,1995
P11,A,AMMA,A,F,2,7,1,1995
P11,A,AMMA,L,U,42,7,1,1995
T01,A,AMMA,L,U,15,7,1,1995
T04,A,FROTAD,L,U,1,7,1,1995
T09,A,AMMA,L,U,6,7,1,1995
P01,A,AMMA,A,F,1,7,2,1995
P01,A,AMMA,L,U,15,7,2,1995
P02,A,AMMA,A,F,3,7,2,1995
P02,A,AMMA,L,U,3,7,2,1995
P04,A,AMMA,L,U,1,7,2,1995
P06,A,AMMA,L,U,2,7,2,1995
P07,A,AMMA,L,U,23,7,2,1995
P08,A,AMMA,L,U,18,7,2,1995
P11,A,AMMA,L,F,1,7,2,1995
P11,A,AMMA,L,U,30,7,2,1995
T01,A,AMMA,L,U,4,7,2,1995
T03,A,AMMA,A,F,1,7,2,1995
T06,A,AMMA,A,M,1,7,2,1995
T08,A,AMMA,A,F,2,7,2,1995
T09,A,AMMA,L,U,5,7,2,1995
P01,A,AMMA,L,U,13,7,3,1995
P02,A,AMMA,A,F,2,7,3,1995
P02,A,AMMA,L,U,4,7,3,1995
P04,A,AMMA,L,U,2,7,3,1995
P06,A,AMMA,L,U,5,7,3,1995
P07,A,AMMA,L,U,38,7,3,1995
P08,A,AMMA,A,F,2,7,3,1995
P08,A,AMMA,L,U,6,7,3,1995
P11,A,AMMA,L,F,1,7,3,1995
P11,A,AMMA,L,M,1,7,3,1995
P11,A,AMMA,L,U,34,7,3,1995
T01,A,AMMA,L,U,8,7,3,1995
T08,A,AMMA,A,F,0,7,3,1995
T09,A,AMMA,L,U,8,7,3,1995
P01,A,AMMA,L,U,23,7,4,1995
P02,A,AMMA,A,F,3,7,4,1995
P02,A,AMMA,L,U,6,7,4,1995
P07,A,AMMA,L,U,21,7,4,1995
P08,A,AMMA,A,F,1,7,4,1995
P08,A,AMMA,L,U,3,7,4,1995
P11,A,AMMA,L,U,34,7,4,1995
T01,A,AMMA,L,U,5,7,4,1995
T03,A,AMMA,A,F,2,7,4,1995
T03,A,AMMA,L,U,1,7,4,1995
T09,A,AMMA,L,U,2,7,4,1995
P01,A,AMMA,L,U,27,8,1,1995
P02,A,AMMA,L,U,1,8,1,1995
P07,A,AMMA,L,U,34,8,1,1995
P08,A,AMMA,L,U,14,8,1,1995
P11,A,AMMA,L,U,42,8,1,1995
T01,A,AMMA,L,U,13,8,1,1995
P01,A,AMMA,L,U,9,8,2,1995
P07,A,AMMA,L,U,7,8,2,1995
P08,A,AMMA,A,F,1,8,2,1995
P08,A,AMMA,L,U,74,8,2,1995
P11,A,AMMA,L,U,33,8,2,1995
T01,A,AMMA,L,U,3,8,2,1995
T03,A,AMMA,L,U,1,8,2,1995
T09,A,AMMA,L,U,1,8,2,1995
P01,A,AMMA,L,U,11,8,3,1995
P06,A,AMMA,L,U,1,8,3,1995
P07,A,AMMA,L,U,11,8,3,1995
P08,A,AMMA,L,U,59,8,3,1995
P11,A,AMMA,L,U,44,8,3,1995
T01,A,AMMA,A,M,1,8,3,1995
T01,A,AMMA,L,U,1,8,3,1995
T02,A,AMMA,A,F,1,8,3,1995
P01,A,AMMA,A,F,1,8,4,1995
P01,A,AMMA,L,U,15,8,4,1995
P04,A,AMMA,L,U,4,8,4,1995
P07,A,AMMA,L,U,17,8,4,1995
P08,A,AMMA,L,U,25,8,4,1995
P11,A,AMMA,L,U,48,8,4,1995
T01,A,AMMA,L,U,7,8,4,1995
T07,A,RAPI,A,U,2,8,4,1995
T08,A,RAPI,A,U,1,8,4,1995
P01,A,AMMA,A,M,1,9,1,1995
P01,A,AMMA,L,U,4,9,1,1995
P02,A,AMMA,L,U,1,9,1,1995
P07,A,AMMA,L,U,3,9,1,1995
P08,A,AMMA,L,U,4,9,1,1995
T01,A,AMMA,L,F,1,9,1,1995
P01,A,AMMA,L,U,2,9,2,1995
P08,A,AMMA,L,U,16,9,2,1995
P11,A,AMMA,L,U,2,9,2,1995
T01,A,AMMA,L,U,1,9,2,1995
P02,A,AMMA,L,U,1,9,3,1995
P07,A,AMMA,L,U,4,9,3,1995
P08,A,AMMA,L,U,2,9,3,1995
P11,A,AMMA,L,U,3,9,3,1995
T01,A,AMMA,L,U,1,9,3,1995
P04,A,AMMA,A,M,1,9,4,1995
P06,A,AMMA,L,U,1,9,4,1995
P07,A,AMMA,L,U,3,9,4,1995
P08,A,AMMA,L,U,1,9,4,1995
T01,A,AMMA,L,U,4,9,4,1995
P07,A,AMMA,A,F,1,5,1,1996
P07,A,AMMA,A,M,1,5,1,1996
P11,A,AMMA,A,F,1,5,1,1996
P11,A,AMMA,L,F,10,5,1,1996
P11,A,AMMA,A,M,2,5,1,1996
P11,A,AMMA,L,M,11,5,1,1996
T01,A,AMMA,A,M,4,5,1,1996
T09,A,AMMA,A,F,1,5,1,1996
P02,A,AMMA,A,F,1,5,2,1996
P02,A,AMMA,A,M,3,5,2,1996
P02,A,RAPI,A,U,1,5,2,1996
P11,A,AMMA,L,F,13,5,2,1996
P11,A,AMMA,A,M,4,5,2,1996
P11,A,AMMA,L,M,36,5,2,1996
P01,A,AMMA,A,M,1,5,3,1996
P02,A,AMMA,A,M,1,5,3,1996
P06,A,AMMA,A,F,1,5,3,1996
P06,A,AMMA,A,M,1,5,3,1996
P11,A,AMMA,L,F,9,5,3,1996
P11,A,AMMA,A,M,5,5,3,1996
P11,A,AMMA,L,M,38,5,3,1996
T01,A,AMMA,A,M,9,5,3,1996
P07,A,AMMA,A,M,1,5,4,1996
P11,A,AMMA,L,F,4,5,4,1996
P11,A,AMMA,A,M,3,5,4,1996
P11,A,AMMA,L,M,35,5,4,1996
T09,A,PSMA,A,U,1,5,4,1996
T09,A,RAPI,A,U,1,5,4,1996
P08,A,AMMA,A,F,8,6,1,1996
P11,A,AMMA,L,F,2,6,1,1996
P11,A,AMMA,L,M,1,6,1,1996
T01,A,AMMA,A,M,1,6,1,1996
T07,A,AMMA,A,M,1,6,1,1996
P02,A,AMMA,A,M,2,6,2,1996
P08,A,AMMA,A,F,5,6,2,1996
P11,A,AMMA,L,F,4,6,2,1996
P11,A,AMMA,L,M,7,6,2,1996
T03,A,FROTAD,L,U,6,6,2,1996
T08,A,FROTAD,L,U,9,6,2,1996
P04,A,FROTAD,L,U,1,6,3,1996
P06,A,AMMA,A,M,1,6,3,1996
P08,A,AMMA,A,F,5,6,3,1996
P08,A,AMMA,A,M,1,6,3,1996
P11,A,AMMA,L,F,14,6,3,1996
P11,A,AMMA,L,M,2,6,3,1996
T03,A,RAPI,A,M,1,6,3,1996
T03,A,FROTAD,L,U,2,6,3,1996
T07,A,AMMA,A,F,1,6,3,1996
T07,A,AMMA,A,M,1,6,3,1996
T07,A,FROTAD,L,U,4,6,3,1996
T08,A,FROTAD,L,U,8,6,3,1996
P01,A,AMMA,A,F,1,6,4,1996
P04,A,FROTAD,L,U,16,6,4,1996
P06,A,AMMA,A,F,1,6,4,1996
P08,A,AMMA,A,F,2,6,4,1996
P08,A,AMMA,A,M,1,6,4,1996
P11,A,AMMA,L,F,6,6,4,1996
P11,A,AMMA,A,M,1,6,4,1996
P11,A,AMMA,L,M,4,6,4,1996
T01,A,AMMA,A,M,1,6,4,1996
T02,A,AMMA,A,F,2,6,4,1996
T06,A,FROTAD,L,U,2,6,4,1996
T07,A,AMMA,A,F,3,6,4,1996
T08,A,AMMA,A,M,2,6,4,1996
T08,A,FROTAD,L,U,7,6,4,1996
P01,A,AMMA,A,F,1,7,1,1996
P01,A,AMMA,L,U,28,7,1,1996
P02,A,AMMA,A,F,1,7,1,1996
P02,A,AMMA,L,U,16,7,1,1996
P02,A,FROTAD,L,U,92,7,1,1996
P04,A,AMMA,A,F,2,7,1,1996
P04,A,AMMA,L,U,15,7,1,1996
P04,A,FROTAD,L,U,57,7,1,1996
P06,A,AMMA,A,F,1,7,1,1996
P06,A,AMMA,L,U,33,7,1,1996
P06,A,FROTAD,L,U,48,7,1,1996
P07,A,AMMA,L,U,17,7,1,1996
P08,A,AMMA,A,F,1,7,1,1996
P08,A,AMMA,A,M,1,7,1,1996
P08,A,AMMA,L,U,51,7,1,1996
P11,A,AMMA,L,F,2,7,1,1996
P11,A,AMMA,L,U,27,7,1,1996
T01,A,AMMA,L,U,20,7,1,1996
T01,A,FROTAD,L,U,1,7,1,1996
T02,A,AMMA,A,F,1,7,1,1996
T04,A,AMMA,A,F,1,7,1,1996
T07,A,AMMA,A,M,2,7,1,1996
T09,A,FROTAD,L,U,34,7,1,1996
P01,A,AMMA,L,U,41,7,2,1996
P02,A,AMMA,A,M,1,7,2,1996
P02,A,AMMA,L,U,26,7,2,1996
P02,A,FROTAD,L,U,71,7,2,1996
P04,A,AMMA,A,F,1,7,2,1996
P04,A,AMMA,A,M,3,7,2,1996
P04,A,AMMA,L,U,5,7,2,1996
P04,A,FROTAD,L,U,50,7,2,1996
P06,A,AMMA,A,F,3,7,2,1996
P06,A,AMMA,L,U,13,7,2,1996
P06,A,FROTAD,L,U,11,7,2,1996
P07,A,AMMA,A,F,2,7,2,1996
P07,A,AMMA,L,U,38,7,2,1996
P08,A,AMMA,L,U,66,7,2,1996
P11,A,AMMA,L,F,2,7,2,1996
P11,A,AMMA,L,U,31,7,2,1996
T01,A,AMMA,L,U,41,7,2,1996
T01,A,FROTAD,L,U,27,7,2,1996
T03,A,AMMA,A,F,1,7,2,1996
T03,A,AMMA,L,U,1,7,2,1996
T09,A,FROTAD,L,U,48,7,2,1996
P01,A,AMMA,L,U,15,7,3,1996
P02,A,AMMA,L,U,20,7,3,1996
P02,A,FROTAD,L,U,35,7,3,1996
P04,A,AMMA,A,M,3,7,3,1996
P04,A,AMMA,L,U,3,7,3,1996
P04,A,FROTAD,L,U,12,7,3,1996
P06,A,AMMA,A,F,1,7,3,1996
P06,A,AMMA,L,U,12,7,3,1996
P06,A,FROTAD,L,U,11,7,3,1996
P07,A,AMMA,L,U,21,7,3,1996
P08,A,AMMA,A,F,1,7,3,1996
P08,A,AMMA,L,U,20,7,3,1996
P11,A,AMMA,A,F,1,7,3,1996
P11,A,AMMA,L,U,18,7,3,1996
T01,A,AMMA,L,U,1,7,3,1996
T01,A,FROTAD,L,U,37,7,3,1996
T09,A,FROTAD,L,U,63,7,3,1996
P01,A,AMMA,L,U,10,7,4,1996
P02,A,AMMA,L,U,12,7,4,1996
P02,A,FROTAD,L,U,8,7,4,1996
P04,A,AMMA,A,F,3,7,4,1996
P04,A,AMMA,A,M,1,7,4,1996
P04,A,AMMA,L,U,4,7,4,1996
P04,A,FROTAD,L,U,36,7,4,1996
P06,A,AMMA,A,F,3,7,4,1996
P06,A,RASY,A,U,1,7,4,1996
P06,A,AMMA,L,U,12,7,4,1996
P06,A,FROTAD,L,U,8,7,4,1996
P07,A,AMMA,L,U,10,7,4,1996
P08,A,AMMA,L,U,38,7,4,1996
P11,A,AMMA,L,M,1,7,4,1996
P11,A,AMMA,L,U,20,7,4,1996
T01,A,AMMA,A,M,1,7,4,1996
T01,A,AMMA,L,U,20,7,4,1996
T03,A,AMMA,L,U,1,7,4,1996
T09,A,AMMA,L,U,4,7,4,1996
T09,A,FROTAD,L,U,36,7,4,1996
P01,A,AMMA,L,U,47,8,1,1996
P02,A,AMMA,L,U,3,8,1,1996
P04,A,AMMA,L,U,12,8,1,1996
P06,A,AMMA,L,U,15,8,1,1996
P07,A,AMMA,L,U,10,8,1,1996
P08,A,AMMA,L,U,2,8,1,1996
P11,A,AMMA,L,F,5,8,1,1996
P11,A,AMMA,L,M,2,8,1,1996
P11,A,AMMA,L,U,87,8,1,1996
T01,A,AMMA,L,U,56,8,1,1996
T03,A,AMMA,L,U,10,8,1,1996
T04,A,RAPI,A,U,2,8,1,1996
T06,A,RAPI,A,U,1,8,1,1996
T09,A,RAPI,A,F,1,8,1,1996
P01,A,AMMA,L,U,24,8,2,1996
P02,A,AMMA,L,U,16,8,2,1996
P04,A,AMMA,L,U,3,8,2,1996
P06,A,AMMA,L,U,7,8,2,1996
P07,A,AMMA,L,U,12,8,2,1996
P08,A,AMMA,L,U,6,8,2,1996
P11,A,AMMA,L,F,1,8,2,1996
P11,A,AMMA,L,U,59,8,2,1996
T01,A,AMMA,L,U,30,8,2,1996
T02,A,RAPI,A,U,1,8,2,1996
T02,A,AMMA,L,U,3,8,2,1996
T03,A,AMMA,L,U,12,8,2,1996
T04,A,RAPI,A,U,3,8,2,1996
T06,A,RAPI,A,U,1,8,2,1996
T08,A,RAPI,A,U,1,8,2,1996
P01,A,AMMA,L,U,23,8,3,1996
P02,A,AMMA,L,U,26,8,3,1996
P04,A,AMMA,L,U,8,8,3,1996
P06,A,AMMA,L,U,1,8,3,1996
P07,A,AMMA,L,U,6,8,3,1996
P08,A,AMMA,L,U,6,8,3,1996
P11,A,AMMA,L,F,2,8,3,1996
P11,A,AMMA,A,M,1,8,3,1996
P11,A,AMMA,L,U,104,8,3,1996
T01,A,AMMA,L,U,48,8,3,1996
T03,A,AMMA,L,U,20,8,3,1996
T04,A,RAPI,A,U,1,8,3,1996
P01,A,AMMA,L,U,39,8,4,1996
P02,A,AMMA,L,U,4,8,4,1996
P04,A,AMMA,L,U,21,8,4,1996
P06,A,AMMA,L,U,1,8,4,1996
P07,A,AMMA,L,U,8,8,4,1996
P08,A,AMMA,L,U,8,8,4,1996
P11,A,AMMA,L,F,1,8,4,1996
P11,A,AMMA,A,M,1,8,4,1996
P11,A,RAPI,A,U,1,8,4,1996
P11,A,AMMA,L,U,134,8,4,1996
T01,A,AMMA,L,U,20,8,4,1996
T03,A,AMMA,L,U,7,8,4,1996
T04,A,RAPI,A,U,5,8,4,1996
T06,A,RAPI,A,U,3,8,4,1996
T08,A,RAPI,A,U,1,8,4,1996
P01,A,AMMA,A,F,1,9,1,1996
P01,A,AMMA,L,U,1,9,1,1996
P02,A,AMMA,L,U,2,9,1,1996
P04,A,AMMA,L,U,3,9,1,1996
P07,A,RASY,A,U,1,9,1,1996
P07,A,AMMA,L,U,3,9,1,1996
P11,A,RASY,A,U,1,9,1,1996
P11,A,AMMA,L,U,2,9,1,1996
T01,A,AMMA,L,U,17,9,1,1996
T03,A,AMMA,L,U,3,9,1,1996
P01,A,RASY,A,U,1,9,2,1996
P02,A,AMMA,L,U,4,9,2,1996
P04,A,AMMA,L,U,5,9,2,1996
P07,A,RASY,A,U,2,9,2,1996
P07,A,AMMA,L,U,7,9,2,1996
P11,A,RASY,A,U,2,9,2,1996
P11,A,AMMA,L,U,2,9,2,1996
T01,A,AMMA,L,U,12,9,2,1996
T03,A,AMMA,L,U,1,9,2,1996
P01,A,RASY,A,U,6,9,3,1996
P02,A,AMMA,L,U,1,9,3,1996
P04,A,AMMA,L,U,1,9,3,1996
P07,A,RASY,A,U,3,9,3,1996
P07,A,AMMA,L,U,6,9,3,1996
P08,A,AMMA,A,M,1,9,3,1996
P11,A,AMMA,L,U,1,9,3,1996
T01,A,AMMA,L,U,15,9,3,1996
T03,A,AMMA,L,U,1,9,3,1996
T09,A,RAPI,A,U,2,9,3,1996
P01,A,AMMA,L,U,4,9,4,1996
P01,A,FROTAD,L,U,1,9,4,1996
P02,A,AMMA,L,U,3,9,4,1996
P04,A,AMMA,L,U,2,9,4,1996
P07,A,AMMA,L,U,16,9,4,1996
P11,A,RASY,A,U,7,9,4,1996
T01,A,RAPI,A,U,1,9,4,1996
T01,A,AMMA,L,U,19,9,4,1996
T03,A,AMMA,L,U,1,9,4,1996
P02,A,AMMA,A,F,2,5,1,1997
P02,A,AMMA,A,M,6,5,1,1997
P04,A,AMMA,A,F,2,5,1,1997
P04,A,AMMA,A,M,3,5,1,1997
P06,A,AMMA,A,M,6,5,1,1997
T01,A,AMMA,A,F,1,5,1,1997
T03,A,AMMA,A,M,1,5,1,1997
T03,A,AMMA,A,U,2,5,1,1997
T05,A,PSMA,A,U,2,5,1,1997
T06,A,PSMA,A,U,3,5,1,1997
T07,A,PSMA,A,U,1,5,1,1997
P04,A,AMMA,A,M,4,5,2,1997
P06,A,AMMA,A,M,3,5,2,1997
T03,A,AMMA,A,F,2,5,2,1997
T03,A,AMMA,A,M,1,5,2,1997
T06,A,AMMA,A,F,1,5,2,1997
T07,A,AMMA,A,U,1,5,2,1997
