"visit_code_1","survey_year","survey_date","site_code","plot_number","seedling_height","species","abundance"
"2012-2",2012,2012-05-08,"2","2","25-50cm","Blechnum wattsii",1
"2012-2",2012,2012-05-08,"2","2","50-200cm","Zieria arborescens",1
"2012-2",2012,2012-05-08,"2","2","50-200cm","Acacia dealbata",1
"2012-2",2012,2012-05-08,"2","2","200-500cm","Zieria arborescens",1
"2012-2",2012,2012-05-08,"2","2","200-500cm","Eucalyptus regnans",6
"2012-2",2012,2012-05-08,"2","3","0-10cm","Blechnum wattsii",1
"2012-2",2012,2012-05-08,"2","3","10-25cm","NULL",NA
"2012-2",2012,2012-05-08,"2","3","25-50cm","Zieria arborescens",1
"2012-2",2012,2012-05-08,"2","3","50-200cm","NULL",NA
"2012-2",2012,2012-05-08,"2","3","200-500cm","Eucalyptus regnans",13
"2012-3",2012,2012-04-30,"3","3","0-10cm","Hydrocotyle hirta",4
"2012-3",2012,2012-04-30,"3","3","0-10cm","Oxalis exilis",1
"2012-3",2012,2012-04-30,"3","3","0-10cm","Viola hederacea",7
"2012-3",2012,2012-04-30,"3","3","10-25cm","Tetrarrhena juncea",30
"2012-3",2012,2012-04-30,"3","3","25-50cm","Pomaderris aspera",4
"2012-3",2012,2012-04-30,"3","3","50-200cm","Acacia dealbata",1
"2012-3",2012,2012-04-30,"3","3","50-200cm","Goodia lotifolia",6
"2012-3",2012,2012-04-30,"3","3","50-200cm","Pteridium esculentum",1
"2012-3",2012,2012-04-30,"3","3","200-500cm","Goodia lotifolia",2
"2012-3",2012,2012-04-30,"3","1","0-10cm","Hydrocotyle hirta",2
"2012-3",2012,2012-04-30,"3","1","0-10cm","Geranium potentilloides",4
"2012-3",2012,2012-04-30,"3","1","10-25cm","Stellaria flaccida",20
"2012-3",2012,2012-04-30,"3","1","10-25cm","Acacia dealbata",1
"2012-3",2012,2012-04-30,"3","1","25-50cm","Pteridium esculentum",1
"2012-3",2012,2012-04-30,"3","1","25-50cm","Tetrarrhena juncea",5
"2012-3",2012,2012-04-30,"3","1","25-50cm","Pomaderris aspera",2
"2012-3",2012,2012-04-30,"3","1","50-200cm","Pomaderris aspera",6
"2012-3",2012,2012-04-30,"3","1","200-500cm","NULL",NA
"2012-3",2012,2012-04-30,"3","2","0-10cm","Leptostigma reptans",2
"2012-3",2012,2012-04-30,"3","2","10-25cm","Tetrarrhena juncea",30
"2012-3",2012,2012-04-30,"3","2","10-25cm","Pteridium esculentum",1
"2012-3",2012,2012-04-30,"3","2","25-50cm","Goodia lotifolia",1
"2012-3",2012,2012-04-30,"3","2","50-200cm","Goodia lotifolia",4
"2012-3",2012,2012-04-30,"3","2","200-500cm","NULL",NA
"2012-4",2012,2012-05-08,"4","1","0-10cm","Unidentified dicotyledon",1
"2012-4",2012,2012-05-08,"4","1","0-10cm","Viola hederacea",5
"2012-4",2012,2012-05-08,"4","1","0-10cm","Oxalis exilis",1
"2012-4",2012,2012-05-08,"4","1","0-10cm","Leptostigma reptans",5
"2012-4",2012,2012-05-08,"4","1","0-10cm","Viola eminens",2
"2012-4",2012,2012-05-08,"4","1","10-25cm","Tetrarrhena juncea",3
"2012-4",2012,2012-05-08,"4","1","10-25cm","Gonocarpus humilis",8
"2012-4",2012,2012-05-08,"4","1","25-50cm","Poa ensiformis",3
"2012-4",2012,2012-05-08,"4","1","50-200cm","Pteridium esculentum",3
"2012-4",2012,2012-05-08,"4","1","200-500cm","NULL",NA
"2012-4",2012,2012-05-08,"4","2","0-10cm","Zieria arborescens",3
"2012-4",2012,2012-05-08,"4","2","0-10cm","Acacia dealbata",3
"2012-4",2012,2012-05-08,"4","2","0-10cm","Acacia frigescens",1
"2012-4",2012,2012-05-08,"4","2","0-10cm","Viola hederacea",6
"2012-4",2012,2012-05-08,"4","2","0-10cm","Hydrocotyle hirta",20
"2012-4",2012,2012-05-08,"4","2","10-25cm","Zieria arborescens",3
"2012-4",2012,2012-05-08,"4","2","10-25cm","Tetrarrhena juncea",20
"2012-4",2012,2012-05-08,"4","2","25-50cm","Dryopoa dives",8
"2012-4",2012,2012-05-08,"4","2","50-200cm","NULL",NA
"2012-4",2012,2012-05-08,"4","2","200-500cm","NULL",NA
"2012-4",2012,2012-05-08,"4","3","0-10cm","Prostanthera lasianthos",1
"2012-4",2012,2012-05-08,"4","3","0-10cm","Viola hederacea",4
"2012-4",2012,2012-05-08,"4","3","0-10cm","Poranthera microphylla",3
"2012-4",2012,2012-05-08,"4","3","0-10cm","Tetrarrhena juncea",1
"2012-4",2012,2012-05-08,"4","3","0-10cm","Tasmannia lanceolata",2
"2012-4",2012,2012-05-08,"4","3","10-25cm","Prostanthera lasianthos",1
"2012-4",2012,2012-05-08,"4","3","25-50cm","NULL",NA
"2012-4",2012,2012-05-08,"4","3","50-200cm","NULL",NA
"2012-4",2012,2012-05-08,"4","3","200-500cm","NULL",NA
"2012-5",2012,2012-06-08,"5","1","0-10cm","NULL",NA
"2012-5",2012,2012-06-08,"5","1","10-25cm","Polyscias sambucifolia",4
"2012-5",2012,2012-06-08,"5","1","25-50cm","Polystichum proliferum",4
"2012-5",2012,2012-06-08,"5","1","25-50cm","Dryopoa dives",4
"2012-5",2012,2012-06-08,"5","1","25-50cm","Polyscias sambucifolia",1
"2012-5",2012,2012-06-08,"5","1","50-200cm","Senecio velleioides",2
"2012-5",2012,2012-06-08,"5","1","50-200cm","Polyscias sambucifolia",1
"2012-5",2012,2012-06-08,"5","1","200-500cm","NULL",NA
"2012-5",2012,2012-06-08,"5","2","0-10cm","NULL",NA
"2012-5",2012,2012-06-08,"5","2","10-25cm","Stellaria flaccida",10
"2012-5",2012,2012-06-08,"5","2","25-50cm","Polyscias sambucifolia",1
"2012-5",2012,2012-06-08,"5","2","25-50cm","Dryopoa dives",4
"2012-5",2012,2012-06-08,"5","2","50-200cm","Senecio velleioides",3
"2012-5",2012,2012-06-08,"5","2","50-200cm","Dianella tasmanica",3
"2012-5",2012,2012-06-08,"5","2","50-200cm","Polyscias sambucifolia",3
"2012-5",2012,2012-06-08,"5","2","200-500cm","Eucalyptus delegatensis",1
"2012-5",2012,2012-06-08,"5","3","0-10cm","NULL",NA
"2012-5",2012,2012-06-08,"5","3","10-25cm","Stellaria flaccida",15
"2012-5",2012,2012-06-08,"5","3","10-25cm","Polystichum proliferum",1
"2012-5",2012,2012-06-08,"5","3","25-50cm","Dryopoa dives",1
"2012-5",2012,2012-06-08,"5","3","25-50cm","Polystichum proliferum",1
"2012-5",2012,2012-06-08,"5","3","50-200cm","NULL",NA
"2012-5",2012,2012-06-08,"5","3","200-500cm","NULL",NA
"2012-6",2012,2012-05-08,"6","1","0-10cm","Tetrarrhena juncea",5
"2012-6",2012,2012-05-08,"6","1","0-10cm","Polystichum proliferum",2
"2012-6",2012,2012-05-08,"6","1","0-10cm","Rubus fruticosus",1
"2012-6",2012,2012-05-08,"6","1","0-10cm","Oxalis exilis",3
"2012-6",2012,2012-05-08,"6","1","0-10cm","Hydrocotyle hirta",10
"2012-6",2012,2012-05-08,"6","1","0-10cm","Leptostigma reptans",6
"2012-6",2012,2012-05-08,"6","1","10-25cm","Polystichum proliferum",NA
"2012-6",2012,2012-05-08,"6","1","10-25cm","Poa ensiformis",4
"2012-6",2012,2012-05-08,"6","1","25-50cm","Stellaria flaccida",35
"2012-6",2012,2012-05-08,"6","1","25-50cm","Tasmannia lanceolata",1
"2012-6",2012,2012-05-08,"6","1","50-200cm","Polystichum proliferum",1
"2012-6",2012,2012-05-08,"6","1","200-500cm","NULL",NA
"2012-6",2012,2012-05-08,"6","2","0-10cm","Viola hederacea",5
"2012-6",2012,2012-05-08,"6","2","0-10cm","Hydrocotyle hirta",4
"2012-6",2012,2012-05-08,"6","2","0-10cm","Leptostigma reptans",10
"2012-6",2012,2012-05-08,"6","2","10-25cm","Tetrarrhena juncea",15
"2012-6",2012,2012-05-08,"6","2","10-25cm","Polystichum proliferum",1
"2012-6",2012,2012-05-08,"6","2","25-50cm","NULL",NA
"2012-6",2012,2012-05-08,"6","2","50-200cm","Pteridium esculentum",1
"2012-6",2012,2012-05-08,"6","2","200-500cm","Eucalyptus regnans",12
"2012-6",2012,2012-05-08,"6","3","0-10cm","Stellaria flaccida",10
"2012-6",2012,2012-05-08,"6","3","0-10cm","Tetrarrhena juncea",3
"2012-6",2012,2012-05-08,"6","3","10-25cm","Polystichum proliferum",3
"2012-6",2012,2012-05-08,"6","3","10-25cm","Geranium potentilloides",1
"2012-6",2012,2012-05-08,"6","3","25-50cm","Poa ensiformis",2
"2012-6",2012,2012-05-08,"6","3","50-200cm","Polystichum proliferum",2
"2012-6",2012,2012-05-08,"6","3","200-500cm","Eucalyptus regnans",3
"2012-7",2012,2012-04-13,"7","1","0-10cm","NULL",NA
"2012-7",2012,2012-04-13,"7","1","10-25cm","NULL",NA
"2012-7",2012,2012-04-13,"7","1","25-50cm","NULL",NA
"2012-7",2012,2012-04-13,"7","1","50-200cm","NULL",NA
"2012-7",2012,2012-04-13,"7","1","200-500cm","NULL",NA
"2012-7",2012,2012-04-13,"7","3","0-10cm","Leptostigma reptans",2
"2012-7",2012,2012-04-13,"7","3","10-25cm","Blechnum wattsii",1
"2012-7",2012,2012-04-13,"7","3","10-25cm","Polystichum proliferum",1
"2012-7",2012,2012-04-13,"7","3","25-50cm","Blechnum wattsii",1
"2012-7",2012,2012-04-13,"7","3","50-200cm","NULL",NA
"2012-7",2012,2012-04-13,"7","3","200-500cm","NULL",NA
"2012-7",2012,2012-04-13,"7","2","0-10cm","NULL",NA
"2012-7",2012,2012-04-13,"7","2","10-25cm","Hydrocotyle hirta",4
"2012-7",2012,2012-04-13,"7","2","25-50cm","Poa ensiformis",3
"2012-7",2012,2012-04-13,"7","2","25-50cm","Tetrarrhena juncea",4
"2012-7",2012,2012-04-13,"7","2","50-200cm","Zieria arborescens",1
"2012-7",2012,2012-04-13,"7","2","200-500cm","NULL",NA
"2012-8",2012,2012-06-08,"8","1","0-10cm","NULL",NA
"2012-8",2012,2012-06-08,"8","1","10-25cm","NULL",NA
"2012-8",2012,2012-06-08,"8","1","25-50cm","Acacia dealbata",1
"2012-8",2012,2012-06-08,"8","1","50-200cm","Acacia dealbata",5
"2012-8",2012,2012-06-08,"8","1","200-500cm","Acacia dealbata",6
"2012-8",2012,2012-06-08,"8","1","200-500cm","Polyscias sambucifolia",1
"2012-8",2012,2012-06-08,"8","1","200-500cm","Prostanthera lasianthos",1
"2012-8",2012,2012-06-08,"8","2","0-10cm","Geranium potentilloides",5
"2012-8",2012,2012-06-08,"8","2","0-10cm","Stellaria flaccida",10
"2012-8",2012,2012-06-08,"8","2","10-25cm","NULL",NA
"2012-8",2012,2012-06-08,"8","2","25-50cm","Polystichum proliferum",1
"2012-8",2012,2012-06-08,"8","2","50-200cm","Dryopoa dives",7
"2012-8",2012,2012-06-08,"8","2","200-500cm","NULL",NA
"2012-8",2012,2012-06-08,"8","3","0-10cm","Hydrocotyle hirta",3
"2012-8",2012,2012-06-08,"8","3","0-10cm","Stellaria flaccida",25
"2012-8",2012,2012-06-08,"8","3","10-25cm","NULL",NA
"2012-8",2012,2012-06-08,"8","3","25-50cm","Dryopoa dives",4
"2012-8",2012,2012-06-08,"8","3","50-200cm","NULL",NA
"2012-8",2012,2012-06-08,"8","3","200-500cm","NULL",NA
"2012-11",2012,2012-04-26,"11","1","0-10cm","Leionema bilobum",2
"2012-11",2012,2012-04-26,"11","1","10-25cm","Leionema bilobum",13
"2012-11",2012,2012-04-26,"11","1","10-25cm","Tetrarrhena juncea",2
"2012-11",2012,2012-04-26,"11","1","25-50cm","Leptospermum grandiflorum",1
"2012-11",2012,2012-04-26,"11","1","50-200cm","NULL",NA
"2012-11",2012,2012-04-26,"11","1","200-500cm","NULL",NA
"2012-11",2012,2012-04-26,"11","2","0-10cm","Leptospermum grandiflorum",2
"2012-11",2012,2012-04-26,"11","2","10-25cm","Blechnum wattsii",1
"2012-11",2012,2012-04-26,"11","2","25-50cm","NULL",NA
"2012-11",2012,2012-04-26,"11","2","50-200cm","NULL",NA
"2012-11",2012,2012-04-26,"11","2","200-500cm","NULL",NA
"2012-11",2012,2012-04-26,"11","3","0-10cm","Poa ensiformis",1
"2012-11",2012,2012-04-26,"11","3","0-10cm","Leionema bilobum",5
"2012-11",2012,2012-04-26,"11","3","10-25cm","Leionema bilobum",55
"2012-11",2012,2012-04-26,"11","3","10-25cm","Zieria arborescens",10
"2012-11",2012,2012-04-26,"11","3","10-25cm","Blechnum wattsii",2
"2012-11",2012,2012-04-26,"11","3","25-50cm","NULL",NA
"2012-11",2012,2012-04-26,"11","3","50-200cm","NULL",NA
"2012-11",2012,2012-04-26,"11","3","200-500cm","NULL",NA
"2012-12",2012,2012-05-17,"12","1","0-10cm","NULL",NA
"2012-12",2012,2012-05-17,"12","1","10-25cm","NULL",NA
"2012-12",2012,2012-05-17,"12","1","25-50cm","Lepidosperma elatius",1
"2012-12",2012,2012-05-17,"12","1","50-200cm","Lepidosperma elatius",2
"2012-12",2012,2012-05-17,"12","1","50-200cm","Polyscias sambucifolia",1
"2012-12",2012,2012-05-17,"12","1","200-500cm","NULL",NA
"2012-12",2012,2012-05-17,"12","2","0-10cm","NULL",NA
"2012-12",2012,2012-05-17,"12","2","10-25cm","Tetrarrhena juncea",2
"2012-12",2012,2012-05-17,"12","2","25-50cm","NULL",NA
"2012-12",2012,2012-05-17,"12","2","50-200cm","Lepidosperma elatius",2
"2012-12",2012,2012-05-17,"12","2","50-200cm","Philotheca myoporoides",1
"2012-12",2012,2012-05-17,"12","2","200-500cm","NULL",NA
"2012-12",2012,2012-05-17,"12","3","0-10cm","Tetrarrhena juncea",3
"2012-12",2012,2012-05-17,"12","3","0-10cm","Clematis aristata",1
"2012-12",2012,2012-05-17,"12","3","10-25cm","Coprosma quadrifida",1
"2012-12",2012,2012-05-17,"12","3","10-25cm","Philotheca myoporoides",1
"2012-12",2012,2012-05-17,"12","3","25-50cm","Olearia phlogopappa",1
"2012-12",2012,2012-05-17,"12","3","50-200cm","NULL",NA
"2012-12",2012,2012-05-17,"12","3","200-500cm","NULL",NA
"2012-15",2012,2012-05-25,"15","1","0-10cm","NULL",NA
"2012-15",2012,2012-05-25,"15","1","10-25cm","NULL",NA
"2012-15",2012,2012-05-25,"15","1","25-50cm","NULL",NA
"2012-15",2012,2012-05-25,"15","1","50-200cm","NULL",NA
"2012-15",2012,2012-05-25,"15","1","200-500cm","NULL",NA
"2012-15",2012,2012-05-25,"15","2","0-10cm","NULL",NA
"2012-15",2012,2012-05-25,"15","2","10-25cm","NULL",NA
"2012-15",2012,2012-05-25,"15","2","25-50cm","Blechnum wattsii",1
"2012-15",2012,2012-05-25,"15","2","50-200cm","NULL",NA
"2012-15",2012,2012-05-25,"15","2","200-500cm","NULL",NA
"2012-15",2012,2012-05-25,"15","3","0-10cm","Blechnum wattsii",1
"2012-15",2012,2012-05-25,"15","3","10-25cm","NULL",NA
"2012-15",2012,2012-05-25,"15","3","25-50cm","Blechnum wattsii",1
"2012-15",2012,2012-05-25,"15","3","50-200cm","NULL",NA
"2012-15",2012,2012-05-25,"15","3","200-500cm","NULL",NA
"2012-17",2012,2012-05-29,"17","1","0-10cm","NULL",NA
"2012-17",2012,2012-05-29,"17","1","10-25cm","NULL",NA
"2012-17",2012,2012-05-29,"17","1","25-50cm","NULL",NA
"2012-17",2012,2012-05-29,"17","1","50-200cm","NULL",NA
"2012-17",2012,2012-05-29,"17","1","200-500cm","Correa lawrenciana",4
"2012-17",2012,2012-05-29,"17","2","0-10cm","Polystichum proliferum",1
"2012-17",2012,2012-05-29,"17","2","10-25cm","Pteridium esculentum",1
"2012-17",2012,2012-05-29,"17","2","25-50cm","NULL",NA
"2012-17",2012,2012-05-29,"17","2","50-200cm","NULL",NA
"2012-17",2012,2012-05-29,"17","2","200-500cm","NULL",NA
"2012-17",2012,2012-05-29,"17","3","0-10cm","NULL",NA
"2012-17",2012,2012-05-29,"17","3","10-25cm","Tasmannia lanceolata",1
"2012-17",2012,2012-05-29,"17","3","25-50cm","Polystichum proliferum",2
"2012-17",2012,2012-05-29,"17","3","50-200cm","Polystichum proliferum",1
"2012-17",2012,2012-05-29,"17","3","200-500cm","NULL",NA
"2012-18",2012,2012-06-07,"18","1","0-10cm","NULL",NA
"2012-18",2012,2012-06-07,"18","1","10-25cm","Tetrarrhena juncea",1
"2012-18",2012,2012-06-07,"18","1","25-50cm","NULL",NA
"2012-18",2012,2012-06-07,"18","1","50-200cm","Polystichum proliferum",3
"2012-18",2012,2012-06-07,"18","1","200-500cm","NULL",NA
"2012-18",2012,2012-06-07,"18","2","0-10cm","Tetrarrhena juncea",1
"2012-18",2012,2012-06-07,"18","2","10-25cm","NULL",NA
"2012-18",2012,2012-06-07,"18","2","25-50cm","Polystichum proliferum",4
"2012-18",2012,2012-06-07,"18","2","25-50cm","Polyscias sambucifolia",1
"2012-18",2012,2012-06-07,"18","2","50-200cm","NULL",NA
"2012-18",2012,2012-06-07,"18","2","200-500cm","NULL",NA
"2012-18",2012,2012-06-07,"18","3","0-10cm","Polyscias sambucifolia",1
"2012-18",2012,2012-06-07,"18","3","0-10cm","Viola hederacea",1
"2012-18",2012,2012-06-07,"18","3","10-25cm","Polystichum proliferum",1
"2012-18",2012,2012-06-07,"18","3","10-25cm","Tasmannia lanceolata",1
"2012-18",2012,2012-06-07,"18","3","25-50cm","Polystichum proliferum",3
"2012-18",2012,2012-06-07,"18","3","25-50cm","Leionema bilobum",2
"2012-18",2012,2012-06-07,"18","3","50-200cm","Polystichum proliferum",9
"2012-18",2012,2012-06-07,"18","3","200-500cm","NULL",NA
"2012-21",2012,2012-05-23,"21","1","0-10cm","Clematis aristata",1
"2012-21",2012,2012-05-23,"21","1","0-10cm","Stellaria flaccida",5
"2012-21",2012,2012-05-23,"21","1","10-25cm","NULL",NA
"2012-21",2012,2012-05-23,"21","1","25-50cm","NULL",NA
"2012-21",2012,2012-05-23,"21","1","50-200cm","Polystichum proliferum",3
"2012-21",2012,2012-05-23,"21","1","200-500cm","NULL",NA
"2012-21",2012,2012-05-23,"21","1","0-10cm","NULL",NA
"2012-21",2012,2012-05-23,"21","1","10-25cm","NULL",NA
"2012-21",2012,2012-05-23,"21","1","25-50cm","Polystichum proliferum",2
"2012-21",2012,2012-05-23,"21","1","50-200cm","Rubus fruticosus",5
"2012-21",2012,2012-05-23,"21","1","200-500cm","NULL",NA
"2012-21",2012,2012-05-23,"21","2","0-10cm","NULL",NA
"2012-21",2012,2012-05-23,"21","2","10-25cm","NULL",NA
"2012-21",2012,2012-05-23,"21","2","25-50cm","Poa ensiformis",2
"2012-21",2012,2012-05-23,"21","2","25-50cm","Polystichum proliferum",1
"2012-21",2012,2012-05-23,"21","2","50-200cm","Rubus fruticosus",5
"2012-21",2012,2012-05-23,"21","2","50-200cm","Polystichum proliferum",1
"2012-21",2012,2012-05-23,"21","2","200-500cm","NULL",NA
"2012-21",2012,2012-05-23,"21","2","0-10cm","Polystichum proliferum",1
"2012-21",2012,2012-05-23,"21","2","10-25cm","Histiopteris incisa",2
"2012-21",2012,2012-05-23,"21","2","10-25cm","Stellaria flaccida",1
"2012-21",2012,2012-05-23,"21","2","25-50cm","NULL",NA
"2012-21",2012,2012-05-23,"21","2","50-200cm","Histiopteris incisa",5
"2012-21",2012,2012-05-23,"21","2","200-500cm","NULL",NA
"2012-21",2012,2012-05-23,"21","3","0-10cm","Clematis aristata",1
"2012-21",2012,2012-05-23,"21","3","0-10cm","Leptostigma reptans",1
"2012-21",2012,2012-05-23,"21","3","10-25cm","NULL",NA
"2012-21",2012,2012-05-23,"21","3","25-50cm","Polyscias sambucifolia",2
"2012-21",2012,2012-05-23,"21","3","50-200cm","Polyscias sambucifolia",1
"2012-21",2012,2012-05-23,"21","3","200-500cm","Prostanthera lasianthos",1
"2012-21",2012,2012-05-23,"21","3","0-10cm","NULL",NA
"2012-21",2012,2012-05-23,"21","3","10-25cm","NULL",NA
"2012-21",2012,2012-05-23,"21","3","25-50cm","Polystichum proliferum",3
"2012-21",2012,2012-05-23,"21","3","25-50cm","Rubus fruticosus",5
"2012-21",2012,2012-05-23,"21","3","50-200cm","Polystichum proliferum",2
"2012-21",2012,2012-05-23,"21","3","200-500cm","NULL",NA
"2012-22",2012,2012-05-21,"22","1","0-10cm","Hydrocotyle hirta",8
"2012-22",2012,2012-05-21,"22","1","10-25cm","Derwentia derwentiana",2
"2012-22",2012,2012-05-21,"22","1","10-25cm","Polyscias sambucifolia",2
"2012-22",2012,2012-05-21,"22","1","25-50cm","Acacia dealbata",6
"2012-22",2012,2012-05-21,"22","1","25-50cm","Polyscias sambucifolia",2
"2012-22",2012,2012-05-21,"22","1","25-50cm","Coprosma hirtella",2
"2012-22",2012,2012-05-21,"22","1","50-200cm","Polyscias sambucifolia",6
"2012-22",2012,2012-05-21,"22","1","50-200cm","Dianella tasmanica",1
"2012-22",2012,2012-05-21,"22","1","50-200cm","Rorippa gigantea",1
"2012-22",2012,2012-05-21,"22","1","50-200cm","Pteridium esculentum",2
"2012-22",2012,2012-05-21,"22","1","200-500cm","NULL",NA
"2012-22",2012,2012-05-21,"22","2","0-10cm","Geranium potentilloides",3
"2012-22",2012,2012-05-21,"22","2","0-10cm","Rubus fruticosus",3
"2012-22",2012,2012-05-21,"22","2","10-25cm","Coprosma hirtella",2
"2012-22",2012,2012-05-21,"22","2","10-25cm","Polyscias sambucifolia",3
"2012-22",2012,2012-05-21,"22","2","25-50cm","Rubus fruticosus",10
"2012-22",2012,2012-05-21,"22","2","25-50cm","Polyscias sambucifolia",6
"2012-22",2012,2012-05-21,"22","2","25-50cm","Coprosma hirtella",4
"2012-22",2012,2012-05-21,"22","2","25-50cm","Pteridium esculentum",2
"2012-22",2012,2012-05-21,"22","2","50-200cm","Polyscias sambucifolia",6
"2012-22",2012,2012-05-21,"22","2","50-200cm","Acacia dealbata",1
"2012-22",2012,2012-05-21,"22","2","50-200cm","Coprosma hirtella",4
"2012-22",2012,2012-05-21,"22","2","50-200cm","Senecio velleioides",2
"2012-22",2012,2012-05-21,"22","2","200-500cm","NULL",NA
"2012-22",2012,2012-05-21,"22","3","0-10cm","Hydrocotyle hirta",7
"2012-22",2012,2012-05-21,"22","3","10-25cm","Notelaea ligustrina",1
"2012-22",2012,2012-05-21,"22","3","10-25cm","Coprosma hirtella",5
"2012-22",2012,2012-05-21,"22","3","25-50cm","Coprosma hirtella",4
"2012-22",2012,2012-05-21,"22","3","25-50cm","Olearia phlogopappa",2
"2012-22",2012,2012-05-21,"22","3","50-200cm","NULL",NA
"2012-22",2012,2012-05-21,"22","3","200-500cm","NULL",NA
"2012-25",2012,2012-05-18,"25","1","0-10cm","Leptostigma reptans",3
"2012-25",2012,2012-05-18,"25","1","10-25cm","NULL",NA
"2012-25",2012,2012-05-18,"25","1","25-50cm","Rubus fruticosus",3
"2012-25",2012,2012-05-18,"25","1","25-50cm","Eucalyptus delegatensis",1
"2012-25",2012,2012-05-18,"25","1","50-200cm","Polyscias sambucifolia",5
"2012-25",2012,2012-05-18,"25","1","50-200cm","Pteridium esculentum",2
"2012-25",2012,2012-05-18,"25","1","50-200cm","Eucalyptus delegatensis",3
"2012-25",2012,2012-05-18,"25","1","200-500cm","NULL",NA
"2012-25",2012,2012-05-18,"25","2","0-10cm","NULL",NA
"2012-25",2012,2012-05-18,"25","2","10-25cm","Acacia frigescens",4
"2012-25",2012,2012-05-18,"25","2","10-25cm","Coprosma hirtella",3
"2012-25",2012,2012-05-18,"25","2","25-50cm","Polyscias sambucifolia",4
"2012-25",2012,2012-05-18,"25","2","25-50cm","Acacia dealbata",7
"2012-25",2012,2012-05-18,"25","2","25-50cm","Acacia frigescens",7
"2012-25",2012,2012-05-18,"25","2","50-200cm","Acacia dealbata",6
"2012-25",2012,2012-05-18,"25","2","50-200cm","Acacia frigescens",1
"2012-25",2012,2012-05-18,"25","2","200-500cm","NULL",NA
"2012-25",2012,2012-05-18,"25","3","0-10cm","NULL",NA
"2012-25",2012,2012-05-18,"25","3","10-25cm","NULL",NA
"2012-25",2012,2012-05-18,"25","3","25-50cm","Correa lawrenciana",10
"2012-25",2012,2012-05-18,"25","3","50-200cm","Correa lawrenciana",5
"2012-25",2012,2012-05-18,"25","3","50-200cm","Coprosma hirtella",2
"2012-25",2012,2012-05-18,"25","3","200-500cm","Eucalyptus nitens",NA
"2012-27",2012,2012-05-07,"27","1","0-10cm","NULL",NA
"2012-27",2012,2012-05-07,"27","1","10-25cm","NULL",NA
"2012-27",2012,2012-05-07,"27","1","25-50cm","NULL",NA
"2012-27",2012,2012-05-07,"27","1","50-200cm","NULL",NA
"2012-27",2012,2012-05-07,"27","1","200-500cm","NULL",NA
"2012-27",2012,2012-05-07,"27","2","0-10cm","Clematis aristata",1
"2012-27",2012,2012-05-07,"27","2","10-25cm","NULL",NA
"2012-27",2012,2012-05-07,"27","2","25-50cm","Pteridium esculentum",3
"2012-27",2012,2012-05-07,"27","2","50-200cm","NULL",NA
"2012-27",2012,2012-05-07,"27","2","200-500cm","NULL",NA
"2012-27",2012,2012-05-07,"27","3","0-10cm","Leptostigma reptans",2
