"year","month_year","trip_no","site_name","site_grid","species","avg_of_cover","avg_of_fl","avg_of_seed","dead_alive"
1993,"Oct.93","18","Main Camp","MC2","Sida fibulifera",3.333333333,0.666666667,0,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Trianthema pilosa",1.25,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Paractaenum refractum",2,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Eremophila longifolia",10,0,1,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Portulaca spp.",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Helipterum floribundum",1,1,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Grevillea stenobotrya",3.5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Calandrinia balonensis",1.6,1.2,1,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Aristida contorta",7.5,0,0.5,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Triodia basedowii",22.5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Trachymene glaucifolia",1,0,3,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Tephrosia rosea",3,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Sida fibulifera",7.5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Scaevola parvifolia",2,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Trianthema pilosa",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Helipterum floribundum",1,1,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Trachymene glaucifolia",1,0,0.25,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Salsola kali",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Ptilotus sessilifolius",2,0,1,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Paractaenum refractum",3.333333333,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Grevillea stenobotrya",7.5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Dicrastylis costelloi",3,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Triumfetta winneckeana",8,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Sida fibulifera",10,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Trianthema pilosa",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Tephrosia rosea",6,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Scaevola parvifolia",8.333333333,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Scaevola parvifolia",1,1,0.5,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Newcastelia spodiotricha",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Triodia basedowii",34,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Sida fibulifera",3.666666667,1,0,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Tephrosia rosea",10,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC2","Triodia basedowii",12.5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Atalaya hemiglauca",7.5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Dicrastylis costelloi",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Helipterum floribundum",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Salsola kali",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Paractaenum refractum",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Salsola kali",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Scaevola parvifolia",5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Sida fibulifera",5,1,0,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Triodia basedowii",34.16666667,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Ptilotus sessilifolius",10,2,1,"Alive"
1993,"Nov.93","19","Main Camp","MC4","Grevillea stenobotrya",5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Aristida contorta",3.5,0,1,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Aristida contorta",1,1,1,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Calandrinia balonensis",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Eremophila longifolia",10,0,1,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Grevillea stenobotrya",15,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Ptilotus polystachyus",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Sida fibulifera",4.333333333,0.333333333,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Ptilotus polystachyus",1,1,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Trianthema pilosa",1.333333333,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Triumfetta winneckeana",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Scaevola parvifolia",10,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Calandrinia balonensis",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Dicrastylis costelloi",10,5,4,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Grevillea stenobotrya",10.5,0,1.25,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Calandrinia balonensis",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Portulaca spp.",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Paractaenum refractum",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC1","Triodia basedowii",25,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Grevillea stenobotrya",3.5,0,0.5,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Helipterum floribundum",1,1,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Aristida contorta",7.5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Triodia basedowii",22.5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Trianthema pilosa",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Trachymene glaucifolia",1,0,2,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Tephrosia rosea",3,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Sida fibulifera",7.5,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC10","Scaevola parvifolia",1,0,0,"Alive"
1993,"Nov.93","19","Main Camp","MC11","Helipterum floribundum",1,0.5,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Grevillea stenobotrya",6,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Calandrinia balonensis",1,1,2,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Scaevola parvifolia",2,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Sida fibulifera",3,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Tephrosia rosea",2,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Triodia basedowii",20.5,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Acacia 2",5,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Atalaya hemiglauca",20,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Crotalaria cunninghamii",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Eriachne aristidea",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Grevillea stenobotrya",5,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Newcastelia spodiotricha",2,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Scaevola parvifolia",10,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Sida fibulifera",2.666666667,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Trachymene glaucifolia",15,0,2,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Frankenia gracilis",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Tephrosia rosea",10,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Eriachne aristidea",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC4","Triodia basedowii",24,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Calandrinia balonensis",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Abutilon otocarpum",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Crotalaria eremaea",1,0,1,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Eremophila longifolia",7,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Eriachne aristidea",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Euphorbia drummondii",8,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Scaevola parvifolia",20,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Sida fibulifera",3.666666667,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Crotalaria cunninghamii",1,1,2,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Trianthema pilosa",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Triodia basedowii",23.33333333,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Acacia 1",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Acacia 2",2,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Acacia dictyophleba",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Aristida contorta",1,0,0,"Alive"
1994,"Mar.94","21","Main Camp","MC2","Calandrinia balonensis",1,1.5,1.5,"Alive"
1994,"Mar.94","21","Main Camp","MC1","Tephrosia rosea",1.5,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Tephrosia rosea",5,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Sida fibulifera",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Scaevola parvifolia",3,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Grevillea stenobotrya",6.2,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Dicrastylis costelloi",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Calandrinia balonensis",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Triodia basedowii",19.16666667,0,0.5,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Acacia 1",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Sida fibulifera",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC2","Aristida contorta",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Acacia 1",10,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Aristida contorta",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Atalaya hemiglauca",20,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Triodia basedowii",25,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Scaevola parvifolia",10,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Tephrosia rosea",5,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Trachymene glaucifolia",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Yakirra australiensis",1.333333333,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Sida fibulifera",3,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC4","Grevillea stenobotrya",5,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC1","Grevillea stenobotrya",5,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC1","Acacia 1",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Triodia basedowii",20,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC1","Crotalaria eremaea",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC1","Scaevola parvifolia",6.5,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC1","Sida fibulifera",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC1","Triodia basedowii",18.33333333,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Acacia 1",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Acacia bivenosa",11.5,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Aristida contorta",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Grevillea stenobotrya",10.25,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Grevillea stenobotrya",2,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Scaevola parvifolia",3,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Sida fibulifera",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Triodia basedowii",15.83333333,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Acacia 1",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Aristida contorta",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Crotalaria eremaea",1,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC11","Tephrosia rosea",2,0,0,"Alive"
1994,"Jul.94","24","Main Camp","MC10","Newcastelia spodiotricha",10,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Scaevola parvifolia",10,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Triodia basedowii",22.66666667,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Grevillea stenobotrya",6.4,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Aristida contorta",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Tephrosia rosea",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Tephrosia rosea",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Scaevola parvifolia",10,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Triodia basedowii",35,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Triodia basedowii",20.33333333,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Yakirra australiensis",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Aristida contorta",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Trachymene glaucifolia",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Grevillea stenobotrya",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Sida fibulifera",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Tephrosia rosea",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Salsola kali",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Sida fibulifera",4,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC4","Atalaya hemiglauca",15,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC1","Grevillea stenobotrya",10,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Grevillea stenobotrya",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC2","Sida fibulifera",3,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC1","Eremophila longifolia",10,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC1","Sida fibulifera",2.333333333,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC1","Tephrosia rosea",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC1","Triodia basedowii",26.66666667,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Acacia 1",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Acacia bivenosa",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Acacia dictyophleba",10,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Aristida contorta",1.8,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Dicrastylis costelloi",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Grevillea stenobotrya",5.5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Tephrosia rosea",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Triodia basedowii",20.83333333,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Acacia 1",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Crotalaria eremaea",5,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC11","Dicrastylis costelloi",1,0,0,"Alive"
1994,"Sep.94","25","Main Camp","MC10","Aristida contorta",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC11","Crotalaria eremaea",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC11","Aristida contorta",3.2,1.4,1.6,"Alive"
1995,"May.95","28","Main Camp","MC10","Yakirra australiensis",1,1.5,3,"Alive"
1995,"May.95","28","Main Camp","MC10","Triodia basedowii",23.33333333,0,0,"Alive"
1995,"May.95","28","Main Camp","MC10","Sida fibulifera",2.666666667,0,0,"Alive"
1995,"May.95","28","Main Camp","MC11","Grevillea stenobotrya",3,0,0,"Alive"
1995,"May.95","28","Main Camp","MC10","Scaevola parvifolia",1,1,1.5,"Alive"
1995,"May.95","28","Main Camp","MC10","Trianthema pilosa",1.5,4.5,0.5,"Alive"
1995,"May.95","28","Main Camp","MC11","Enneapogon polyphyllus",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC11","Setaria surgens",1,1,4,"Alive"
1995,"May.95","28","Main Camp","MC11","Frankenia gracilis",1,0,0.666666667,"Alive"
1995,"May.95","28","Main Camp","MC11","Portulaca intraterranea",5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC11","Scaevola parvifolia",4,2,4,"Alive"
1995,"May.95","28","Main Camp","MC10","Ptilotus polystachyus",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC1","Triodia basedowii",19.66666667,0,0.333333333,"Alive"
1995,"May.95","28","Main Camp","MC11","Eriachne aristidea",1,0,2,"Alive"
1995,"May.95","28","Main Camp","MC1","Yakirra australiensis",1.333333333,0,1,"Alive"
1995,"May.95","28","Main Camp","MC1","Aristida contorta",2.25,0.5,1.25,"Alive"
1995,"May.95","28","Main Camp","MC1","Crotalaria eremaea",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC1","Eriachne aristidea",1,1,1.5,"Alive"
1995,"May.95","28","Main Camp","MC1","Grevillea stenobotrya",7,0,0,"Alive"
1995,"May.95","28","Main Camp","MC1","Scaevola parvibarbata",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC1","Scaevola parvifolia",7,1.333333333,3,"Alive"
1995,"May.95","28","Main Camp","MC1","Sida fibulifera",2.666666667,0,0,"Alive"
1995,"May.95","28","Main Camp","MC10","Acacia 1",25,0,0,"Alive"
1995,"May.95","28","Main Camp","MC2","Portulaca intraterranea",3.666666667,0.333333333,0.333333333,"Alive"
1995,"May.95","28","Main Camp","MC10","Portulaca intraterranea",2,0,0,"Alive"
1995,"May.95","28","Main Camp","MC11","Sida fibulifera",10,1.333333333,0.333333333,"Alive"
1995,"May.95","28","Main Camp","MC10","Acacia 2",5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC10","Aristida contorta",10,2,4,"Alive"
1995,"May.95","28","Main Camp","MC10","Crotalaria eremaea",1.5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC10","Eriachne aristidea",2,3,2,"Alive"
1995,"May.95","28","Main Camp","MC10","Grevillea stenobotrya",12.5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC10","Newcastelia spodiotricha",5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC1","Trianthema pilosa",3,3,1,"Alive"
1995,"May.95","28","Main Camp","MC4","Sida fibulifera",2.333333333,0.333333333,0,"Alive"
1995,"May.95","28","Main Camp","MC2","Grevillea stenobotrya",4,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Calandrinia balonensis",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Eriachne aristidea",1,0.333333333,1.666666667,"Alive"
1995,"May.95","28","Main Camp","MC4","Eucalyptus 1",5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Grevillea stenobotrya",6,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Paractaenum refractum",2,1,5,"Alive"
1995,"May.95","28","Main Camp","MC4","Acacia 1",5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Scaevola parvifolia",2,0,3,"Alive"
1995,"May.95","28","Main Camp","MC2","Zygochloa paradoxa",1,2,4,"Alive"
1995,"May.95","28","Main Camp","MC4","Tephrosia rosea",3,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Trianthema pilosa",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Triodia basedowii",20,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Triumfetta winneckeana",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Yakirra australiensis",1,0,1.333333333,"Alive"
1995,"May.95","28","Main Camp","MC11","Tephrosia rosea",5,0,0,"Alive"
1995,"May.95","28","Main Camp","MC1","Acacia 1",8,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Portulaca intraterranea",1.5,0.5,0.5,"Alive"
1995,"May.95","28","Main Camp","MC2","Ptilotus polystachyus",1.333333333,0.666666667,0.333333333,"Alive"
1995,"May.95","28","Main Camp","MC11","Triodia basedowii",31,0,0.6,"Alive"
1995,"May.95","28","Main Camp","MC11","Zygochloa paradoxa",3.5,0.5,0.5,"Alive"
1995,"May.95","28","Main Camp","MC2","Acacia 1",2,0,0,"Alive"
1995,"May.95","28","Main Camp","MC2","Aristida contorta",4.833333333,0.333333333,2.333333333,"Alive"
1995,"May.95","28","Main Camp","MC2","Calandrinia balonensis",1.25,0.25,0.25,"Alive"
1995,"May.95","28","Main Camp","MC2","Crotalaria eremaea",2,0,0,"Alive"
1995,"May.95","28","Main Camp","MC4","Aristida contorta",2.8,0.6,2,"Alive"
1995,"May.95","28","Main Camp","MC2","Paractaenum refractum",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC11","Trachymene glaucifolia",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC2","Scaevola parvifolia",3.333333333,0,1.333333333,"Alive"
1995,"May.95","28","Main Camp","MC2","Sida fibulifera",2.666666667,0,0.333333333,"Alive"
1995,"May.95","28","Main Camp","MC2","Tephrosia rosea",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC2","Trachymene glaucifolia",1,0,0,"Alive"
1995,"May.95","28","Main Camp","MC2","Trianthema pilosa",2,4,1,"Alive"
1995,"May.95","28","Main Camp","MC2","Triodia basedowii",17.16666667,0,0.333333333,"Alive"
1995,"May.95","28","Main Camp","MC2","Yakirra australiensis",1,0.5,1.5,"Alive"
1995,"May.95","28","Main Camp","MC2","Eriachne aristidea",1,1,2,"Alive"
1995,"May.95","28","Main Camp","MC11","Trianthema pilosa",1.666666667,3,2.333333333,"Alive"
1995,"Jul.95","30","Main Camp","MC11","Portulaca intraterranea",1,0,1.5,"Alive"
1995,"Jul.95","30","Main Camp","MC2","Aristida contorta",6.333333333,0.666666667,1.166666667,"Alive"
1995,"Jul.95","30","Main Camp","MC2","Acacia 1",5,0,0,"Alive"
1995,"Jul.95","30","Main Camp","MC11","Triodia basedowii",36,0,1,"Alive"
1995,"Jul.95","30","Main Camp","MC11","Trianthema pilosa",1,1.666666667,0,"Alive"
1995,"Jul.95","30","Main Camp","MC11","Trachymene glaucifolia",1,0,0,"Alive"
1995,"Jul.95","30","Main Camp","MC4","Calandrinia balonensis",1,0,0,"Alive"
