SQUARE,YEAR,SITE_ID,SURVEY_DATE,PLANT_NAME,PROPORTION,LC07,LC07_NUM,EZ_DESC_07,COUNTY07,COUNTRY
BZJANF,CS2000,1,14-Oct-98,Veronica anagallis-aquatica,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2000,1,14-Oct-98,Veronica beccabunga,1-2.5%,2e,2,Easterly lowlands (England),Wiltshire,ENG
KPEREP,CS2000,1,02-Sep-98,No species entered,0,1e,1,Westerly lowlands (England),Greater London,ENG
OXVLRI,CS2000,1,01-Jul-98,Cladophora (aggregate),50-75%,8e,8,Westerly lowlands (England),Kent,ENG
OXVLRI,CS2000,1,01-Jul-98,Phalaris arundinacea,50-75%,8e,8,Westerly lowlands (England),Kent,ENG
KLOORS,CS2000,1,01-Dec-98,Hyocomium armoricum,0.1-1%,6w,42,Lowlands (Wales),West Glamorgan,WAL
UIZSGP,CS2000,1,21-Oct-98,No species entered,0,6w,42,Lowlands (Wales),Mid Glamorgan,WAL
UEDLDK,CS2000,1,10-Nov-98,No species entered,0,17w3,19,Uplands (Wales),Mid Glamorgan,WAL
YTAUII,CS2000,1,11-Nov-98,Amblystegium fluviatile,<0.1%,5w,41,Lowlands (Wales),Gwent,WAL
YTAUII,CS2000,1,11-Nov-98,Berula erecta,<0.1%,5w,41,Lowlands (Wales),Gwent,WAL
YTAUII,CS2000,1,11-Nov-98,Lophocolea bidentata,<0.1%,5w,41,Lowlands (Wales),Gwent,WAL
LAFOCU,CS2000,1,11-Nov-98,Agrostis stolonifera,1-2.5%,5w,41,Lowlands (Wales),Gwent,WAL
LAFOCU,CS2000,1,11-Nov-98,Cladophora (aggregate),0.1-1%,5w,41,Lowlands (Wales),Gwent,WAL
LAFOCU,CS2000,1,11-Nov-98,Elodea canadensis,0.1-1%,5w,41,Lowlands (Wales),Gwent,WAL
LAFOCU,CS2000,1,11-Nov-98,Glyceria fluitans,0.1-1%,5w,41,Lowlands (Wales),Gwent,WAL
LAFOCU,CS2000,1,11-Nov-98,Phalaris arundinacea,<0.1%,5w,41,Lowlands (Wales),Gwent,WAL
LAFOCU,CS2000,1,11-Nov-98,Rorippa nasturtium-aquaticum,1-2.5%,5w,41,Lowlands (Wales),Gwent,WAL
SIATHT,CS2000,1,13-Oct-98,No species entered,0,1e,1,Westerly lowlands (England),South Gloucestershire Unitary Authority,ENG
RSDMVR,CS2000,1,14-Oct-98,Azolla filiculoides,2.5-5%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Callitriche sp,0.1-1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Cladophora (aggregate),5-10%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Elodea nuttallii,0.1-1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Fontinalis antipyretica,5-10%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Phalaris arundinacea,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Sparganium emersum,10-25%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Sparganium erectum,1-2.5%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RSDMVR,CS2000,1,14-Oct-98,Veronica beccabunga,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
RAGOWO,CS2000,1,03-Sep-98,Apium nodiflorum,1-2.5%,1e,1,Westerly lowlands (England),Oxfordshire,ENG
RAGOWO,CS2000,1,03-Sep-98,Equisetum palustre,<0.1%,1e,1,Westerly lowlands (England),Oxfordshire,ENG
RAGOWO,CS2000,1,03-Sep-98,Glyceria fluitans,0.1-1%,1e,1,Westerly lowlands (England),Oxfordshire,ENG
RAGOWO,CS2000,1,03-Sep-98,Glyceria maxima,1-2.5%,1e,1,Westerly lowlands (England),Oxfordshire,ENG
RAGOWO,CS2000,1,03-Sep-98,Veronica beccabunga,<0.1%,1e,1,Westerly lowlands (England),Oxfordshire,ENG
AAVJXT,CS2000,1,11-Oct-98,No species entered,0,4e,4,Easterly lowlands (England),Thurrock Unitary Authority,ENG
WCDRAN,CS2000,1,16-Sep-98,Lemna minor,1-2.5%,6w,42,Lowlands (Wales),Dyfed,WAL
WCDRAN,CS2000,1,16-Sep-98,Phragmites australis,>75%,6w,42,Lowlands (Wales),Dyfed,WAL
EARTZW,CS2000,1,10-Nov-98,No species entered,>75%,5w,41,Lowlands (Wales),West Glamorgan,WAL
NRKWUV,CS2000,1,10-Nov-98,No species entered,0,17w2,18,Uplands (Wales),Mid Glamorgan,WAL
ZUFRRX,CS2000,1,15-Sep-98,Cladophora (aggregate),<0.1%,5w,41,Lowlands (Wales),Gwent,WAL
BXXDRJ,CS2000,1,04-Sep-98,Apium nodiflorum,<0.1%,1e,1,Westerly lowlands (England),Oxfordshire,ENG
BXXDRJ,CS2000,1,04-Sep-98,Veronica beccabunga,<0.1%,1e,1,Westerly lowlands (England),Oxfordshire,ENG
CLLBKV,CS2000,1,18-Sep-98,Apium nodiflorum,<0.1%,15w,44,Lowlands (Wales),Dyfed,WAL
UGXHSQ,CS2000,1,18-Nov-98,Fontinalis squamosa,<0.1%,17w2,18,Uplands (Wales),Powys,WAL
UGXHSQ,CS2000,1,18-Nov-98,Hygrohypnum ochraceum,<0.1%,17w2,18,Uplands (Wales),Powys,WAL
UGXHSQ,CS2000,1,18-Nov-98,Racomitrium aciculare,<0.1%,17w2,18,Uplands (Wales),Powys,WAL
RRUXQW,CS2000,1,15-Oct-98,Plagiochila atlantica,5-10%,17w2,18,Uplands (Wales),Gwent,WAL
RRUXQW,CS2000,1,15-Oct-98,Rhynchostegium riparioides,5-10%,17w2,18,Uplands (Wales),Gwent,WAL
GUBLQO,CS2000,1,17-Nov-98,Cladophora aegagropila,<0.1%,1e,1,Westerly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Cladophora aegagropila,<0.1%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Lunularia cruciata,<0.1%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Myosotis scorpioides,0.1-1%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Myriophyllum spicatum,0.1-1%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Pellia sp,<0.1%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Phalaris arundinacea,1-2.5%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Ranunculus sp,<0.1%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
BGLCUJ,CS2000,1,06-Nov-98,Rumex hydrolapathum,<0.1%,11e,11,Easterly lowlands (England),Gloucestershire,ENG
