"park","plot","visit","genus_species","quadrat","occurrence"
"Litchfield","2","T1","Heteropogon triticeus","2",15
"Litchfield","2","T1","Hibbertia brevipedunculata","2",1
"Litchfield","2","T1","Patersonia macrantha","2",1
"Litchfield","2","T1","Sauropus ochrophyllus","2",1
"Litchfield","2","T1","Sehima nervosum","2",1
"Litchfield","2","T1","Tephrosia lamprolobioides","2",1
"Litchfield","2","T1","Sorghum plumosum","2",5
"Litchfield","2","T1","Dendrolobium multiflorum","3",10
"Litchfield","2","T1","Alloteropsis semialata","3",5
"Litchfield","2","T1","Clerodendrum tatei","3",1
"Litchfield","2","T1","Galactia tenuiflora","3",1
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","3",1
"Litchfield","2","T1","Heteropogon triticeus","3",5
"Litchfield","2","T1","Ampelocissus acetosa","3",1
"Litchfield","2","T1","Hibbertia brevipedunculata","3",1
"Litchfield","2","T1","Sauropus ochrophyllus","3",1
"Litchfield","2","T1","Sehima nervosum","3",5
"Litchfield","2","T1","Sorghum plumosum","3",15
"Litchfield","2","T1","Tephrosia lamprolobioides","3",5
"Litchfield","2","T1","Sauropus ochrophyllus","4",1
"Litchfield","2","T1","Alloteropsis semialata","4",1
"Litchfield","2","T1","Dendrolobium multiflorum","4",50
"Litchfield","2","T1","Haemodorum brevicaule","4",1
"Litchfield","2","T1","Heteropogon triticeus","4",1
"Litchfield","2","T1","Phyllanthus virgatus","4",1
"Litchfield","2","T1","Sehima nervosum","4",15
"Litchfield","2","T1","Sorghum plumosum","4",1
"Litchfield","2","T1","Tephrosia lamprolobioides","4",1
"Litchfield","2","T1","Tricoryne elatior","4",1
"Litchfield","2","T1","Hibbertia brevipedunculata","4",5
"Litchfield","2","T1","Tephrosia lamprolobioides","5",1
"Litchfield","2","T1","Sorghum plumosum","5",1
"Litchfield","2","T1","Ipomoea gracilis","5",1
"Litchfield","2","T1","Sauropus ochrophyllus","5",1
"Litchfield","2","T1","Dendrolobium multiflorum","5",30
"Litchfield","2","T1","Eriachne avenacea","5",10
"Litchfield","2","T1","Eriosema chinense","5",1
"Litchfield","2","T1","Goodenia armstrongiana","5",1
"Litchfield","2","T1","Heteropogon triticeus","5",5
"Litchfield","2","T1","Dianella odorata","5",1
"Litchfield","2","T1","Alloteropsis semialata","5",1
"Litchfield","2","T1","Hibbertia brevipedunculata","5",1
"Litchfield","2","T1","Dendrolobium multiflorum","6",1
"Litchfield","2","T1","Dianella odorata","6",1
"Litchfield","2","T1","Eriosema chinense","6",1
"Litchfield","2","T1","Flemingia parviflora","6",1
"Litchfield","2","T1","Galactia tenuiflora","6",1
"Litchfield","2","T1","Sorghum plumosum","6",10
"Litchfield","2","T1","Tephrosia lamprolobioides","6",5
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","6",1
"Litchfield","2","T1","Heteropogon triticeus","6",10
"Litchfield","2","T1","Lomandra tropica","6",1
"Litchfield","2","T1","Murdannia graminea","6",1
"Litchfield","2","T1","Dendrolobium multiflorum","7",30
"Litchfield","2","T1","Sehima nervosum","7",1
"Litchfield","2","T1","Sorghum plumosum","7",20
"Litchfield","2","T1","Tephrosia lamprolobioides","7",1
"Litchfield","2","T1","Tricoryne elatior","7",1
"Litchfield","2","T1","Alloteropsis semialata","7",1
"Litchfield","2","T1","Clerodendrum tatei","7",1
"Litchfield","2","T1","Flemingia parviflora","7",1
"Litchfield","2","T1","Hibbertia brevipedunculata","7",1
"Litchfield","2","T1","Polygala longifolia","7",1
"Litchfield","2","T1","Sauropus ochrophyllus","7",1
"Litchfield","2","T1","Heteropogon triticeus","8",5
"Litchfield","2","T1","Alloteropsis semialata","8",1
"Litchfield","2","T1","Lomandra tropica","8",1
"Litchfield","2","T1","Tephrosia lamprolobioides","8",1
"Litchfield","2","T1","Sorghum plumosum","8",5
"Litchfield","2","T1","Hibbertia brevipedunculata","8",20
"Litchfield","2","T1","Sauropus ochrophyllus","8",1
"Litchfield","2","T1","Dendrolobium multiflorum","8",10
"Litchfield","2","T1","Goodenia armstrongiana","8",1
"Litchfield","2","T1","Flemingia parviflora","8",1
"Litchfield","2","T1","Tephrosia lamprolobioides","9",1
"Litchfield","2","T1","Flemingia parviflora","9",1
"Litchfield","2","T1","Heteropogon triticeus","9",10
"Litchfield","2","T1","Polygala longifolia","9",1
"Litchfield","2","T1","Scleria brownii","9",1
"Litchfield","2","T1","Sorghum plumosum","9",5
"Litchfield","2","T1","Sehima nervosum","9",5
"Litchfield","2","T1","Dendrolobium multiflorum","9",30
"Litchfield","2","T1","Dianella odorata","9",1
"Litchfield","2","T1","Flemingia parviflora","10",1
"Litchfield","2","T1","Alloteropsis semialata","10",1
"Litchfield","2","T1","Dendrolobium multiflorum","10",20
"Litchfield","2","T1","Dianella odorata","10",1
"Litchfield","2","T1","Lomandra tropica","10",1
"Litchfield","2","T1","Galactia tenuiflora","10",1
"Litchfield","2","T1","Heteropogon triticeus","10",5
"Litchfield","2","T1","Hibbertia brevipedunculata","10",5
"Litchfield","2","T1","Hibbertia dilatata","10",1
"Litchfield","2","T1","Sorghum plumosum","10",5
"Litchfield","2","T1","Tephrosia lamprolobioides","10",1
"Litchfield","2","T1","Sorghum plumosum","11",5
"Litchfield","2","T1","Sehima nervosum","11",1
"Litchfield","2","T1","Heteropogon triticeus","11",10
"Litchfield","2","T1","Hibbertia dilatata","11",1
"Litchfield","2","T1","Dendrolobium multiflorum","11",30
"Litchfield","2","T1","Dianella odorata","11",1
"Litchfield","2","T1","Alloteropsis semialata","11",1
"Litchfield","2","T1","Galactia tenuiflora","11",1
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","11",1
"Litchfield","2","T1","Flemingia parviflora","11",1
"Litchfield","2","T1","Dianella odorata","12",1
"Litchfield","2","T1","Alloteropsis semialata","12",1
"Litchfield","2","T1","Dendrolobium multiflorum","12",25
"Litchfield","2","T1","Heteropogon triticeus","12",10
"Litchfield","2","T1","Murdannia graminea","12",1
"Litchfield","2","T1","Hibbertia dilatata","12",1
"Litchfield","2","T1","Sehima nervosum","12",5
"Litchfield","2","T1","Sorghum plumosum","12",5
"Litchfield","2","T1","Galactia tenuiflora","12",1
"Litchfield","2","T1","Hibbertia dilatata","13",1
"Litchfield","2","T1","Lomandra tropica","13",1
"Litchfield","2","T1","Hibbertia brevipedunculata","13",1
"Litchfield","2","T1","Heteropogon triticeus","13",1
"Litchfield","2","T1","Sorghum plumosum","13",5
"Litchfield","2","T1","Dianella odorata","13",1
"Litchfield","2","T1","Dendrolobium multiflorum","13",10
"Litchfield","2","T1","Alloteropsis semialata","13",10
"Litchfield","2","T1","Alloteropsis semialata","14",1
"Litchfield","2","T1","Vigna lanceolata","14",1
"Litchfield","2","T1","Sorghum plumosum","14",10
"Litchfield","2","T1","Sehima nervosum","14",1
"Litchfield","2","T1","Heteropogon triticeus","14",50
"Litchfield","2","T1","Dendrolobium multiflorum","14",20
"Litchfield","2","T1","Pseuderanthemum variabile","15",1
"Litchfield","2","T1","Patersonia macrantha","15",1
"Litchfield","2","T1","Flemingia parviflora","15",1
"Litchfield","2","T1","Dendrolobium multiflorum","15",20
"Litchfield","2","T1","Alloteropsis semialata","15",1
"Litchfield","2","T1","Heteropogon triticeus","15",10
"Litchfield","2","T1","Sorghum plumosum","15",5
"Litchfield","2","T1","Vigna lanceolata","15",1
"Litchfield","2","T1","Dendrolobium multiflorum","16",10
"Litchfield","2","T1","Flemingia parviflora","16",1
"Litchfield","2","T1","Heteropogon triticeus","16",5
"Litchfield","2","T1","Lomandra tropica","16",1
"Litchfield","2","T1","Polygala longifolia","16",1
"Litchfield","2","T1","Sehima nervosum","16",1
"Litchfield","2","T1","Sorghum plumosum","16",30
"Litchfield","2","T1","Alloteropsis semialata","16",1
"Litchfield","2","T1","Hibbertia dilatata","17",1
"Litchfield","2","T1","Sorghum plumosum","17",5
"Litchfield","2","T1","Flemingia parviflora","17",1
"Litchfield","2","T1","Patersonia macrantha","17",1
"Litchfield","2","T1","Heteropogon triticeus","17",5
"Litchfield","2","T1","Alloteropsis semialata","17",1
"Litchfield","2","T1","Dendrolobium multiflorum","17",20
"Litchfield","2","T1","Sehima nervosum","18",5
"Litchfield","2","T1","Sorghum plumosum","18",5
"Litchfield","2","T1","Alloteropsis semialata","18",1
"Litchfield","2","T1","Heteropogon triticeus","18",15
"Litchfield","2","T1","Dendrolobium multiflorum","18",5
"Litchfield","2","T1","Sorghum plumosum","19",5
"Litchfield","2","T1","Dendrolobium multiflorum","19",1
"Litchfield","2","T1","Sehima nervosum","19",1
"Litchfield","2","T1","Heteropogon triticeus","19",10
"Litchfield","2","T1","Sehima nervosum","20",1
"Litchfield","2","T1","Sorghum plumosum","20",1
"Litchfield","2","T1","Heteropogon triticeus","20",40
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","20",1
"Litchfield","2","T1","Dendrolobium multiflorum","20",10
"Litchfield","2","T1","Trachymene sp.","21",1
"Litchfield","2","T1","Spermacoce leptoloba","21",1
"Litchfield","2","T1","Sorghum plumosum","21",5
"Litchfield","2","T1","Polygala longifolia","21",1
"Litchfield","2","T1","Murdannia graminea","21",1
"Litchfield","2","T1","Heteropogon triticeus","21",10
"Litchfield","2","T1","Flemingia parviflora","21",1
"Litchfield","2","T1","Tricoryne elatior","21",1
"Litchfield","2","T1","Dendrolobium multiflorum","21",30
"Litchfield","2","T1","Alloteropsis semialata","21",5
"Litchfield","2","T1","Ampelocissus acetosa","21",5
"Litchfield","2","T1","Crotalaria medicaginea","22",1
"Litchfield","2","T1","Alloteropsis semialata","22",5
"Litchfield","2","T1","Dendrolobium multiflorum","22",1
"Litchfield","2","T1","Haemodorum brevicaule","22",1
"Litchfield","2","T1","Heteropogon triticeus","22",15
"Litchfield","2","T1","Sehima nervosum","22",10
"Litchfield","2","T1","Alloteropsis semialata","23",1
"Litchfield","2","T1","Clerodendrum tatei","23",1
"Litchfield","2","T1","Dendrolobium multiflorum","23",30
"Litchfield","2","T1","Heteropogon triticeus","23",50
"Litchfield","2","T1","Murdannia graminea","23",1
"Litchfield","2","T1","Sehima nervosum","23",10
"Litchfield","2","T1","Sorghum plumosum","23",5
"Litchfield","2","T1","Trachymene sp.","24",5
"Litchfield","2","T1","Sorghum plumosum","24",5
"Litchfield","2","T1","Heteropogon triticeus","24",10
"Litchfield","2","T1","Dendrolobium multiflorum","24",25
"Litchfield","2","T1","Sehima nervosum","24",10
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","24",1
"Litchfield","2","T1","Sehima nervosum","25",15
"Litchfield","2","T1","Heteropogon triticeus","25",15
"Litchfield","2","T1","Dendrolobium multiflorum","25",20
"Litchfield","2","T1","Alloteropsis semialata","25",10
"Litchfield","2","T1","Sorghum plumosum","25",1
"Litchfield","2","T1","Heteropogon triticeus","26",10
"Litchfield","2","T1","Flemingia parviflora","26",1
"Litchfield","2","T1","Dianella odorata","26",1
"Litchfield","2","T1","Dendrolobium multiflorum","26",25
"Litchfield","2","T1","Alloteropsis semialata","26",5
"Litchfield","2","T1","Sehima nervosum","26",5
"Litchfield","2","T1","Sorghum plumosum","26",5
"Litchfield","2","T1","Hibbertia brevipedunculata","26",1
"Litchfield","2","T1","Trachymene sp.","26",1
"Litchfield","2","T1","Sorghum plumosum","27",10
"Litchfield","2","T1","Alloteropsis semialata","27",10
"Litchfield","2","T1","Tricoryne elatior","27",1
"Litchfield","2","T1","Trachymene sp.","27",1
"Litchfield","2","T1","Dianella odorata","27",1
"Litchfield","2","T1","Galactia tenuiflora","27",1
"Litchfield","2","T1","Heteropogon triticeus","27",15
"Litchfield","2","T1","Lomandra tropica","27",1
"Litchfield","2","T1","Polygala longifolia","27",1
"Litchfield","2","T1","Sauropus ochrophyllus","27",1
"Litchfield","2","T1","Hibbertia dilatata","28",5
"Litchfield","2","T1","Sorghum plumosum","28",10
"Litchfield","2","T1","Lomandra tropica","28",1
"Litchfield","2","T1","Hibbertia brevipedunculata","28",1
"Litchfield","2","T1","Heteropogon triticeus","28",15
"Litchfield","2","T1","Flemingia parviflora","28",5
"Litchfield","2","T1","Dendrolobium multiflorum","28",10
"Litchfield","2","T1","Alloteropsis semialata","28",10
"Litchfield","2","T1","Sorghum plumosum","29",25
"Litchfield","2","T1","Hibbertia brevipedunculata","29",5
"Litchfield","2","T1","Heteropogon triticeus","29",5
"Litchfield","2","T1","Dendrolobium multiflorum","29",25
"Litchfield","2","T1","Alloteropsis semialata","29",5
"Litchfield","2","T1","Sehima nervosum","30",5
"Litchfield","2","T1","Sauropus ochrophyllus","30",1
"Litchfield","2","T1","Patersonia macrantha","30",1
"Litchfield","2","T1","Hibbertia brevipedunculata","30",1
"Litchfield","2","T1","Heteropogon triticeus","30",25
"Litchfield","2","T1","Flemingia parviflora","30",1
"Litchfield","2","T1","Dendrolobium multiflorum","30",40
"Litchfield","2","T1","Sauropus ochrophyllus","31",1
"Litchfield","2","T1","Tephrosia lamprolobioides","31",5
"Litchfield","2","T1","Sorghum plumosum","31",10
"Litchfield","2","T1","Sehima nervosum","31",10
"Litchfield","2","T1","Lomandra tropica","31",1
"Litchfield","2","T1","Vigna lanceolata","31",1
"Litchfield","2","T1","Heteropogon triticeus","31",15
"Litchfield","2","T1","Dendrolobium multiflorum","31",25
"Litchfield","2","T1","Clerodendrum tatei","31",1
"Litchfield","2","T1","Tephrosia lamprolobioides","32",10
"Litchfield","2","T1","Sorghum plumosum","32",10
"Litchfield","2","T1","Polygala longifolia","32",1
"Litchfield","2","T1","Heteropogon triticeus","32",5
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","32",10
"Litchfield","2","T1","Desmodium pycnotrichum","32",1
"Litchfield","2","T1","Dendrolobium multiflorum","32",10
"Litchfield","2","T1","Alloteropsis semialata","32",1
"Litchfield","2","T1","Heteropogon triticeus","33",10
"Litchfield","2","T1","Polygala longifolia","33",1
"Litchfield","2","T1","Clerodendrum tatei","33",1
"Litchfield","2","T1","Sorghum plumosum","33",20
"Litchfield","2","T1","Tephrosia lamprolobioides","33",1
"Litchfield","2","T1","Sehima nervosum","33",1
"Litchfield","2","T1","Sauropus ochrophyllus","33",1
"Litchfield","2","T1","Hibbertia brevipedunculata","33",1
"Litchfield","2","T1","Goodenia armstrongiana","33",1
"Litchfield","2","T1","Flemingia parviflora","33",5
"Litchfield","2","T1","Sauropus ochrophyllus","34",1
"Litchfield","2","T1","Hibbertia brevipedunculata","34",5
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","34",1
"Litchfield","2","T1","Heteropogon triticeus","34",40
"Litchfield","2","T1","Tephrosia lamprolobioides","34",5
"Litchfield","2","T1","Flemingia parviflora","34",1
"Litchfield","2","T1","Dendrolobium multiflorum","34",20
"Litchfield","2","T1","Sorghum plumosum","34",5
"Litchfield","2","T1","Sehima nervosum","34",5
"Litchfield","2","T1","Heteropogon triticeus","35",15
"Litchfield","2","T1","Tephrosia lamprolobioides","35",5
"Litchfield","2","T1","Pseuderanthemum variabile","35",1
"Litchfield","2","T1","Haemodorum brevicaule","35",1
"Litchfield","2","T1","Flemingia parviflora","35",1
"Litchfield","2","T1","Dendrolobium multiflorum","35",20
"Litchfield","2","T1","Clerodendrum tatei","35",1
"Litchfield","2","T1","Sorghum plumosum","35",30
"Litchfield","2","T1","Dendrolobium multiflorum","36",25
"Litchfield","2","T1","Dianella odorata","36",1
"Litchfield","2","T1","Goodenia armstrongiana","36",1
"Litchfield","2","T1","Haemodorum brevicaule","36",1
"Litchfield","2","T1","Tephrosia lamprolobioides","36",10
"Litchfield","2","T1","Sorghum plumosum","36",30
"Litchfield","2","T1","Sauropus ochrophyllus","36",1
"Litchfield","2","T1","Polygala longifolia","36",1
"Litchfield","2","T1","Pseuderanthemum variabile","36",1
"Litchfield","2","T1","Heteropogon triticeus","36",10
"Litchfield","2","T1","Patersonia macrantha","37",1
"Litchfield","2","T1","Lomandra tropica","37",1
"Litchfield","2","T1","Dendrolobium multiflorum","37",35
"Litchfield","2","T1","Murdannia graminea","37",1
"Litchfield","2","T1","Sauropus ochrophyllus","37",1
"Litchfield","2","T1","Sorghum plumosum","37",30
"Litchfield","2","T1","Tephrosia lamprolobioides","37",10
"Litchfield","2","T1","Tricoryne elatior","37",1
"Litchfield","2","T1","Heteropogon triticeus","37",10
"Litchfield","2","T1","Sorghum plumosum","38",1
"Litchfield","2","T1","Heteropogon triticeus","38",5
"Litchfield","2","T1","Tephrosia lamprolobioides","38",5
"Litchfield","2","T1","Murdannia graminea","38",1
"Litchfield","2","T1","Dianella odorata","38",5
"Litchfield","2","T1","Alloteropsis semialata","38",1
"Litchfield","2","T1","Dendrolobium multiflorum","38",60
"Litchfield","2","T1","Tricoryne elatior","38",1
"Litchfield","2","T1","Scleria brownii","39",1
"Litchfield","2","T1","Heteropogon triticeus","39",10
"Litchfield","2","T1","Vigna lanceolata","39",1
"Litchfield","2","T1","Flemingia parviflora","39",5
"Litchfield","2","T1","Dendrolobium multiflorum","39",40
"Litchfield","2","T1","Galactia tenuiflora","39",1
"Litchfield","2","T1","Pseuderanthemum variabile","39",1
"Litchfield","2","T1","Alloteropsis semialata","40",5
"Litchfield","2","T1","Dendrolobium multiflorum","40",50
"Litchfield","2","T1","Flemingia parviflora","40",5
"Litchfield","2","T1","Tephrosia lamprolobioides","40",10
"Litchfield","2","T1","Tacca leontopetaloides","40",1
"Litchfield","2","T1","Haemodorum brevicaule","40",1
"Litchfield","2","T1","Lomandra tropica","40",1
"Litchfield","2","T1","Sorghum plumosum","40",20
"Litchfield","2","T1","Heteropogon triticeus","40",10
"Litchfield","2","T2","Tephrosia lamprolobioides","1",1
"Litchfield","2","T2","Sauropus ochrophyllus","1",1
"Litchfield","2","T2","Polygala longifolia","1",1
"Litchfield","2","T2","Alloteropsis semialata","1",30
"Litchfield","2","T2","Helicteres integrifolia subsp. dentata","1",5
"Litchfield","2","T2","Galactia tenuiflora","1",10
"Litchfield","2","T2","Euphorbia muelleri","1",1
"Litchfield","2","T2","Dendrolobium multiflorum","1",20
"Litchfield","2","T2","Hibbertia brevipedunculata","1",1
"Litchfield","2","T2","Goodenia armstrongiana","1",1
"Litchfield","2","T2","Heteropogon triticeus","1",5
"Litchfield","2","T2","Haemodorum brevicaule","1",1
"Litchfield","2","T2","Heteropogon triticeus","2",5
"Litchfield","2","T2","Sorghum plumosum","2",15
"Litchfield","2","T2","Tephrosia lamprolobioides","2",1
"Litchfield","2","T2","Euphorbia muelleri","2",1
"Litchfield","2","T2","Helicteres integrifolia subsp. dentata","2",5
"Litchfield","2","T2","Dendrolobium multiflorum","2",50
"Litchfield","2","T2","Dianella odorata","2",5
"Litchfield","2","T2","Eriachne avenacea","2",15
"Litchfield","2","T2","Lomandra tropica","2",1
"Litchfield","2","T2","Scleria brownii","2",1
"Litchfield","2","T2","Sauropus ochrophyllus","2",1
"Litchfield","2","T2","Flemingia parviflora","2",1
"Litchfield","2","T2","Hibbertia brevipedunculata","2",5
"Litchfield","2","T2","Ampelocissus acetosa","3",1
"Litchfield","2","T2","Sauropus ochrophyllus","3",1
"Litchfield","2","T2","Lomandra tropica","3",1
"Litchfield","2","T2","Heteropogon triticeus","3",5
"Litchfield","2","T2","Alloteropsis semialata","3",10
"Litchfield","2","T2","Scleria brownii","3",1
"Litchfield","2","T2","Hibbertia brevipedunculata","3",5
"Litchfield","2","T2","Galactia tenuiflora","3",1
"Litchfield","2","T2","Tephrosia lamprolobioides","3",1
"Litchfield","2","T2","Hibbertia brevipedunculata","4",1
"Litchfield","2","T2","Lomandra tropica","4",5
"Litchfield","2","T2","Sauropus ochrophyllus","4",1
"Litchfield","2","T2","Dendrolobium multiflorum","4",50
"Litchfield","2","T2","Heteropogon triticeus","4",5
"Litchfield","2","T2","Eriosema chinense","4",1
"Litchfield","2","T2","Sorghum plumosum","4",1
"Litchfield","2","T2","Scleria brownii","4",1
"Litchfield","2","T2","Sehima nervosum","4",1
"Litchfield","2","T2","Helicteres integrifolia subsp. dentata","4",1
"Litchfield","2","T2","Tephrosia lamprolobioides","5",1
"Litchfield","2","T2","Eriachne avenacea","5",25
"Litchfield","2","T2","Ipomoea gracilis","5",1
"Litchfield","2","T2","Vigna lanceolata","5",1
"Litchfield","2","T2","Hibbertia brevipedunculata","5",5
"Litchfield","2","T2","Goodenia armstrongiana","5",1
"Litchfield","2","T2","Polygala longifolia","5",1
"Litchfield","2","T2","Dianella odorata","5",1
"Litchfield","2","T2","Buchnera asperata","5",1
"Litchfield","2","T2","Haemodorum brevicaule","5",1
"Litchfield","2","T2","Sorghum plumosum","5",10
"Litchfield","2","T2","Dendrolobium multiflorum","5",20
"Litchfield","2","T2","Heteropogon triticeus","5",5
"Litchfield","2","T2","Commelina ensifolia","6",1
"Litchfield","2","T2","Dianella odorata","6",5
"Litchfield","2","T2","Heteropogon triticeus","6",5
"Litchfield","2","T2","Ipomoea gracilis","6",1
