"park","plot","quadrat","visit","percentage_cover","percentage_litter","percentage_rock","canopy_closure_index"
"Kakadu","1","0","T2",90,3,0,NA
"Kakadu","1","2","T2",90,5,0,NA
"Kakadu","1","4","T2",90,10,0,NA
"Kakadu","1","6","T2",90,5,0,NA
"Kakadu","1","8","T2",80,0,0,NA
"Kakadu","1","10","T2",65,15,0,NA
"Kakadu","1","12","T2",40,50,0,NA
"Kakadu","1","14","T2",20,20,0,NA
"Kakadu","1","16","T2",25,10,0,NA
"Kakadu","1","18","T2",25,20,0,NA
"Kakadu","1","20","T2",25,90,0,NA
"Kakadu","1","22","T2",30,10,0,NA
"Kakadu","1","24","T2",10,10,0,NA
"Kakadu","1","26","T2",10,15,0,NA
"Kakadu","1","28","T2",20,80,0,NA
"Kakadu","1","30","T2",1,20,0,NA
"Kakadu","1","32","T2",5,10,0,NA
"Kakadu","1","34","T2",25,20,0,NA
"Kakadu","1","36","T2",70,5,0,NA
"Kakadu","1","38","T2",35,20,0,NA
"Kakadu","1","40","T2",15,90,0,NA
"Kakadu","1","42","T2",6,40,0,NA
"Kakadu","1","44","T2",5,40,0,NA
"Kakadu","1","46","T2",0,50,0,NA
"Kakadu","1","48","T2",1,80,0,NA
"Kakadu","1","50","T2",0,70,0,NA
"Kakadu","1","52","T2",0,20,0,NA
"Kakadu","1","54","T2",0,90,0,NA
"Kakadu","1","56","T2",0,15,0,NA
"Kakadu","1","58","T2",0,90,0,NA
"Kakadu","1","60","T2",60,10,0,NA
"Kakadu","1","62","T2",10,20,0,NA
"Kakadu","1","64","T2",20,30,0,NA
"Kakadu","1","66","T2",5,90,0,NA
"Kakadu","1","68","T2",0,90,0,NA
"Kakadu","1","70","T2",0,90,0,NA
"Kakadu","1","72","T2",5,50,0,NA
"Kakadu","1","74","T2",0,30,0,NA
"Kakadu","1","76","T2",1,90,0,NA
"Kakadu","1","78","T2",10,40,0,NA
"Kakadu","1","80","T2",5,40,0,NA
"Kakadu","1","82","T2",10,10,0,NA
"Kakadu","1","84","T2",10,80,0,NA
"Kakadu","1","86","T2",10,60,0,NA
"Kakadu","1","88","T2",70,30,0,NA
"Kakadu","1","90","T2",90,0,0,NA
"Kakadu","1","92","T2",100,0,0,NA
"Kakadu","1","94","T2",100,10,0,NA
"Kakadu","1","96","T2",90,10,0,NA
"Kakadu","1","98","T2",90,10,0,NA
"Kakadu","1","0","T3",80,10,0,"0"
"Kakadu","1","2","T3",80,5,0,"0"
"Kakadu","1","4","T3",40,20,0,"0"
"Kakadu","1","6","T3",50,20,0,"0"
"Kakadu","1","8","T3",50,30,0,"1"
"Kakadu","1","10","T3",25,50,0,"1"
"Kakadu","1","12","T3",30,70,0,"1"
"Kakadu","1","14","T3",10,80,0,"1"
"Kakadu","1","16","T3",15,50,0,"1"
"Kakadu","1","18","T3",5,80,0,"2"
"Kakadu","1","20","T3",5,90,0,"2"
"Kakadu","1","22","T3",10,90,0,"1"
"Kakadu","1","24","T3",10,90,0,"2"
"Kakadu","1","26","T3",0,100,0,"2"
"Kakadu","1","28","T3",0,80,0,"2"
"Kakadu","1","30","T3",0,80,0,"2"
"Kakadu","1","32","T3",0,100,0,"2"
"Kakadu","1","34","T3",5,60,0,"2"
"Kakadu","1","36","T3",5,90,0,"2"
"Kakadu","1","38","T3",0,20,0,"2"
"Kakadu","1","40","T3",0,70,0,"2"
"Kakadu","1","42","T3",0,100,0,"2"
"Kakadu","1","44","T3",0,90,0,"2"
"Kakadu","1","46","T3",0,80,0,"2"
"Kakadu","1","48","T3",0,100,0,"2"
"Kakadu","1","50","T3",0,100,0,"2"
"Kakadu","1","52","T3",0,80,0,"2"
"Kakadu","1","54","T3",0,80,0,"2"
"Kakadu","1","56","T3",0,70,0,"2"
"Kakadu","1","58","T3",0,60,0,"2"
"Kakadu","1","60","T3",5,80,0,"1"
"Kakadu","1","62","T3",0,80,0,"2"
"Kakadu","1","64","T3",0,100,0,"2"
"Kakadu","1","66","T3",0,70,0,"2"
"Kakadu","1","68","T3",0,90,0,"2"
"Kakadu","1","70","T3",0,90,0,"2"
"Kakadu","1","72","T3",0,50,0,"2"
"Kakadu","1","74","T3",0,100,0,"2"
"Kakadu","1","76","T3",0,80,0,"2"
"Kakadu","1","78","T3",0,50,0,"2"
"Kakadu","1","80","T3",0,60,0,"2"
"Kakadu","1","82","T3",0,80,0,"2"
"Kakadu","1","84","T3",5,20,0,"2"
"Kakadu","1","86","T3",0,70,0,"2"
"Kakadu","1","88","T3",0,100,0,"2"
"Kakadu","1","90","T3",10,80,0,"1"
"Kakadu","1","92","T3",50,20,0,"1"
"Kakadu","1","94","T3",70,20,0,"0"
"Kakadu","1","96","T3",70,10,0,"1"
"Kakadu","1","98","T3",70,10,0,"0"
"Kakadu","1","0","T5",80,10,0,"1"
"Kakadu","1","2","T5",74,15,0,"0"
"Kakadu","1","4","T5",100,0,0,"0"
"Kakadu","1","6","T5",92,5,0,"0"
"Kakadu","1","8","T5",72,30,0,"1"
"Kakadu","1","10","T5",15,30,0,"1"
"Kakadu","1","12","T5",5,95,0,"2"
"Kakadu","1","14","T5",0,30,0,"2"
"Kakadu","1","16","T5",2,10,0,"2"
"Kakadu","1","18","T5",0,20,0,"2"
"Kakadu","1","20","T5",3,60,0,"2"
"Kakadu","1","22","T5",0,20,0,"1"
"Kakadu","1","24","T5",4,20,0,"1"
"Kakadu","1","26","T5",5,20,0,"1"
"Kakadu","1","28","T5",0,50,0,"2"
"Kakadu","1","30","T5",0,80,0,"2"
"Kakadu","1","32","T5",0,100,0,"2"
"Kakadu","1","34","T5",0,70,0,"2"
"Kakadu","1","36","T5",0,78,0,"2"
"Kakadu","1","38","T5",3,30,0,"2"
"Kakadu","1","40","T5",6,60,0,"2"
"Kakadu","1","42","T5",0,100,0,"2"
"Kakadu","1","44","T5",0,100,0,"2"
"Kakadu","1","46","T5",0,100,0,"2"
"Kakadu","1","48","T5",0,80,0,"2"
"Kakadu","1","50","T5",0,100,0,"2"
"Kakadu","1","52","T5",0,90,0,"2"
"Kakadu","1","54","T5",15,50,0,"1"
"Kakadu","1","56","T5",3,98,0,"2"
"Kakadu","1","58","T5",92,8,0,"1"
"Kakadu","1","60","T5",62,30,0,"1"
"Kakadu","1","62","T5",2,20,0,"2"
"Kakadu","1","64","T5",0,100,0,"2"
"Kakadu","1","66","T5",3,40,0,"2"
"Kakadu","1","68","T5",0,20,0,"2"
"Kakadu","1","70","T5",0,90,0,"2"
"Kakadu","1","72","T5",0,80,0,"2"
"Kakadu","1","74","T5",0,20,0,"2"
"Kakadu","1","76","T5",0,50,0,"2"
"Kakadu","1","78","T5",0,90,0,"2"
"Kakadu","1","80","T5",0,70,0,"2"
"Kakadu","1","82","T5",0,70,0,"2"
"Kakadu","1","84","T5",0,90,0,"2"
"Kakadu","1","86","T5",0,95,0,"1"
"Kakadu","1","88","T5",15,40,0,"1"
"Kakadu","1","90","T5",13,70,0,"1"
"Kakadu","1","92","T5",15,40,0,"2"
"Kakadu","1","94","T5",52,30,0,"1"
"Kakadu","1","96","T5",90,10,0,"1"
"Kakadu","1","98","T5",77,10,0,"1"
"Kakadu","2","0","T1",60,5,0,"0"
"Kakadu","2","2","T1",80,10,0,"0"
"Kakadu","2","4","T1",80,50,0,"1"
"Kakadu","2","6","T1",40,5,0,"1"
"Kakadu","2","8","T1",70,20,0,"1"
"Kakadu","2","10","T1",50,40,0,"1"
"Kakadu","2","12","T1",80,40,0,"1"
"Kakadu","2","14","T1",90,10,0,"1"
"Kakadu","2","16","T1",70,10,0,"0"
"Kakadu","2","18","T1",50,10,0,"0"
"Kakadu","2","20","T1",70,15,0,"1"
"Kakadu","2","22","T1",60,5,0,"0"
"Kakadu","2","24","T1",50,20,0,"0"
"Kakadu","2","26","T1",60,60,0,"0"
"Kakadu","2","28","T1",40,10,0,"0"
"Kakadu","2","50","T1",80,40,0,"0"
"Kakadu","2","52","T1",40,5,0,"1"
"Kakadu","2","54","T1",80,60,0,"1"
"Kakadu","2","56","T1",80,10,0,"1"
"Kakadu","2","58","T1",50,5,0,"0"
"Kakadu","2","60","T1",60,10,0,"0"
"Kakadu","2","62","T1",50,10,0,"1"
"Kakadu","2","64","T1",70,40,0,"1"
"Kakadu","2","66","T1",80,30,0,"1"
"Kakadu","2","68","T1",90,50,0,"1"
"Kakadu","2","70","T1",70,20,0,"1"
"Kakadu","2","72","T1",90,70,0,"1"
"Kakadu","2","74","T1",80,30,0,"0"
"Kakadu","2","76","T1",70,20,0,"1"
"Kakadu","2","78","T1",90,20,0,"1"
"Kakadu","2","0","T2",25,1,0,NA
"Kakadu","2","2","T2",60,10,0,NA
"Kakadu","2","4","T2",50,5,0,NA
"Kakadu","2","6","T2",35,10,0,NA
"Kakadu","2","8","T2",30,10,0,NA
"Kakadu","2","10","T2",40,15,0,NA
"Kakadu","2","12","T2",65,15,0,NA
"Kakadu","2","14","T2",50,1,0,NA
"Kakadu","2","16","T2",55,10,0,NA
"Kakadu","2","18","T2",20,10,0,NA
"Kakadu","2","20","T2",20,10,0,NA
"Kakadu","2","22","T2",40,15,0,NA
"Kakadu","2","24","T2",75,5,0,NA
"Kakadu","2","26","T2",25,5,0,NA
"Kakadu","2","28","T2",15,10,0,NA
"Kakadu","2","50","T2",40,40,0,NA
"Kakadu","2","52","T2",30,25,0,NA
"Kakadu","2","54","T2",30,10,0,NA
"Kakadu","2","56","T2",50,10,0,NA
"Kakadu","2","58","T2",25,5,0,NA
"Kakadu","2","60","T2",30,40,0,NA
"Kakadu","2","62","T2",30,15,0,NA
"Kakadu","2","64","T2",35,5,0,NA
"Kakadu","2","66","T2",25,15,0,NA
"Kakadu","2","68","T2",45,30,0,NA
"Kakadu","2","70","T2",30,5,0,NA
"Kakadu","2","72","T2",40,5,0,NA
"Kakadu","2","74","T2",35,5,0,NA
"Kakadu","2","76","T2",60,5,0,NA
"Kakadu","2","78","T2",80,5,0,NA
"Kakadu","2","0","T3",25,50,0,"1"
"Kakadu","2","2","T3",50,40,0,"1"
"Kakadu","2","4","T3",25,50,0,"1"
"Kakadu","2","6","T3",20,80,0,"1"
"Kakadu","2","8","T3",50,30,0,"1"
"Kakadu","2","10","T3",30,60,0,"1"
"Kakadu","2","12","T3",30,50,0,"1"
"Kakadu","2","14","T3",25,50,0,"1"
"Kakadu","2","16","T3",20,50,0,"1"
"Kakadu","2","18","T3",30,50,0,"1"
"Kakadu","2","20","T3",20,50,0,"1"
"Kakadu","2","22","T3",20,50,0,"1"
"Kakadu","2","24","T3",40,50,0,"1"
"Kakadu","2","26","T3",20,50,0,"1"
"Kakadu","2","28","T3",15,30,0,"1"
"Kakadu","2","50","T3",25,50,0,"1"
"Kakadu","2","52","T3",25,30,0,"1"
"Kakadu","2","54","T3",30,30,0,"1"
"Kakadu","2","56","T3",40,40,0,"1"
"Kakadu","2","58","T3",20,40,0,"0"
"Kakadu","2","60","T3",30,40,0,"1"
"Kakadu","2","62","T3",60,30,0,"1"
"Kakadu","2","64","T3",40,30,0,"1"
"Kakadu","2","66","T3",35,30,0,"1"
"Kakadu","2","68","T3",30,30,0,"1"
"Kakadu","2","70","T3",30,30,0,"1"
"Kakadu","2","72","T3",25,40,0,"1"
"Kakadu","2","74","T3",35,50,0,"1"
"Kakadu","2","76","T3",25,50,0,"1"
"Kakadu","2","78","T3",40,30,0,"1"
"Kakadu","2","0","T5",29,5,0,"0"
"Kakadu","2","2","T5",47,5,0,"1"
"Kakadu","2","4","T5",7,5,0,"1"
"Kakadu","2","6","T5",19,5,0,"1"
"Kakadu","2","8","T5",60,30,0,"1"
"Kakadu","2","10","T5",17,10,0,"1"
"Kakadu","2","12","T5",26,20,0,"1"
"Kakadu","2","14","T5",16,15,0,"0"
"Kakadu","2","16","T5",18,5,0,"0"
"Kakadu","2","18","T5",20,3,0,"0"
"Kakadu","2","20","T5",14,10,0,"0"
"Kakadu","2","22","T5",22,10,0,"0"
"Kakadu","2","24","T5",32,10,0,"1"
"Kakadu","2","26","T5",20,5,0,"0"
"Kakadu","2","28","T5",10,15,0,"0"
"Kakadu","2","50","T5",28,10,0,"0"
"Kakadu","2","52","T5",36,5,0,"0"
"Kakadu","2","54","T5",18,5,0,"0"
"Kakadu","2","56","T5",20,10,0,"0"
"Kakadu","2","58","T5",27,5,0,"0"
"Kakadu","2","60","T5",41,15,0,"1"
"Kakadu","2","62","T5",41,20,0,"1"
"Kakadu","2","64","T5",73,10,0,"1"
"Kakadu","2","66","T5",20,20,0,"1"
"Kakadu","2","68","T5",38,10,0,"1"
"Kakadu","2","70","T5",47,10,0,"1"
"Kakadu","2","72","T5",43,5,0,"0"
"Kakadu","2","74","T5",42,10,0,"0"
"Kakadu","2","76","T5",41,10,0,"1"
"Kakadu","2","78","T5",24,15,0,"1"
"Kakadu","3","0","T1",85,5,0,"0"
"Kakadu","3","2","T1",60,10,0,"0"
"Kakadu","3","4","T1",20,60,0,"0"
"Kakadu","3","6","T1",70,60,0,"0"
"Kakadu","3","8","T1",90,30,0,"0"
"Kakadu","3","10","T1",100,10,0,"0"
"Kakadu","3","12","T1",100,10,0,"0"
"Kakadu","3","14","T1",100,10,0,"0"
"Kakadu","3","16","T1",100,5,0,"1"
"Kakadu","3","18","T1",80,5,0,"1"
"Kakadu","3","20","T1",90,15,0,"1"
"Kakadu","3","22","T1",90,20,0,"1"
"Kakadu","3","24","T1",90,20,0,"1"
"Kakadu","3","26","T1",90,20,0,"1"
"Kakadu","3","28","T1",90,30,0,"1"
"Kakadu","3","30","T1",90,10,0,"1"
"Kakadu","3","32","T1",90,20,0,"1"
"Kakadu","3","34","T1",90,40,0,"0"
"Kakadu","3","36","T1",50,40,0,"1"
"Kakadu","3","38","T1",50,25,0,"1"
"Kakadu","3","40","T1",60,30,0,"0"
"Kakadu","3","42","T1",50,20,0,"0"
"Kakadu","3","44","T1",70,30,0,"0"
"Kakadu","3","46","T1",50,30,0,"0"
"Kakadu","3","48","T1",70,30,0,"0"
"Kakadu","3","50","T1",65,30,0,"1"
"Kakadu","3","52","T1",80,40,0,"1"
"Kakadu","3","54","T1",80,40,0,"1"
"Kakadu","3","56","T1",70,40,0,"1"
"Kakadu","3","58","T1",80,40,0,"1"
"Kakadu","3","60","T1",65,40,0,"1"
"Kakadu","3","62","T1",80,40,0,"1"
"Kakadu","3","64","T1",70,40,0,"1"
"Kakadu","3","66","T1",70,40,0,"1"
"Kakadu","3","68","T1",80,20,0,"0"
"Kakadu","3","70","T1",50,30,0,"0"
"Kakadu","3","72","T1",90,50,0,"0"
"Kakadu","3","74","T1",100,30,0,"1"
"Kakadu","3","76","T1",100,10,0,"1"
"Kakadu","3","78","T1",100,20,0,"1"
"Kakadu","3","0","T2",80,10,0,NA
"Kakadu","3","2","T2",80,25,0,NA
"Kakadu","3","4","T2",70,30,0,NA
"Kakadu","3","6","T2",70,30,0,NA
"Kakadu","3","8","T2",75,30,0,NA
"Kakadu","3","10","T2",60,30,0,NA
"Kakadu","3","12","T2",50,40,0,NA
"Kakadu","3","14","T2",70,20,0,NA
"Kakadu","3","16","T2",75,30,0,NA
"Kakadu","3","18","T2",80,30,0,NA
"Kakadu","3","20","T2",75,30,0,NA
"Kakadu","3","22","T2",65,30,0,NA
"Kakadu","3","24","T2",85,30,0,NA
"Kakadu","3","26","T2",50,70,0,NA
"Kakadu","3","28","T2",60,70,0,NA
"Kakadu","3","30","T2",50,80,0,NA
"Kakadu","3","32","T2",50,40,0,NA
"Kakadu","3","34","T2",60,25,0,NA
"Kakadu","3","36","T2",70,60,0,NA
"Kakadu","3","38","T2",80,40,0,NA
"Kakadu","3","40","T2",50,10,0,NA
"Kakadu","3","42","T2",40,25,0,NA
"Kakadu","3","44","T2",50,20,10,NA
"Kakadu","3","46","T2",50,25,0,NA
"Kakadu","3","48","T2",80,10,0,NA
"Kakadu","3","50","T2",70,50,0,NA
"Kakadu","3","52","T2",35,60,0,NA
"Kakadu","3","54","T2",70,30,0,NA
"Kakadu","3","56","T2",70,60,0,NA
"Kakadu","3","58","T2",80,30,0,NA
"Kakadu","3","60","T2",60,40,0,NA
"Kakadu","3","62","T2",90,40,0,NA
"Kakadu","3","64","T2",60,70,0,NA
"Kakadu","3","66","T2",50,70,0,NA
"Kakadu","3","68","T2",70,40,0,NA
"Kakadu","3","70","T2",30,40,0,NA
"Kakadu","3","72","T2",40,50,0,NA
"Kakadu","3","74","T2",30,30,0,NA
"Kakadu","3","76","T2",90,30,0,NA
"Kakadu","3","78","T2",80,30,0,NA
"Kakadu","3","0","T3",30,5,0,"0"
"Kakadu","3","2","T3",40,10,0,"0"
"Kakadu","3","4","T3",40,10,0,"0"
"Kakadu","3","6","T3",50,10,0,"1"
"Kakadu","3","8","T3",30,50,0,"0"
"Kakadu","3","10","T3",25,25,0,"0"
"Kakadu","3","12","T3",25,15,0,"0"
"Kakadu","3","14","T3",50,5,0,"0"
"Kakadu","3","16","T3",30,20,0,"0"
"Kakadu","3","18","T3",50,20,0,"0"
"Kakadu","3","20","T3",50,40,0,"0"
"Kakadu","3","22","T3",40,20,0,"1"
"Kakadu","3","24","T3",10,10,0,"0"
"Kakadu","3","26","T3",30,10,0,"1"
"Kakadu","3","28","T3",40,15,0,"1"
"Kakadu","3","30","T3",25,50,0,"1"
"Kakadu","3","32","T3",40,50,0,"1"
"Kakadu","3","34","T3",30,50,0,"1"
"Kakadu","3","36","T3",25,15,0,"1"
"Kakadu","3","38","T3",35,40,0,"1"
"Kakadu","3","40","T3",20,20,0,"0"
"Kakadu","3","42","T3",25,25,0,"0"
"Kakadu","3","44","T3",40,30,0,"0"
"Kakadu","3","46","T3",30,15,0,"0"
"Kakadu","3","48","T3",50,20,0,"1"
"Kakadu","3","50","T3",40,50,0,"1"
"Kakadu","3","52","T3",50,40,0,"1"
"Kakadu","3","54","T3",25,50,0,"1"
"Kakadu","3","56","T3",30,60,0,"1"
"Kakadu","3","58","T3",90,5,0,"1"
"Kakadu","3","60","T3",25,25,0,"1"
"Kakadu","3","62","T3",80,15,0,"1"
"Kakadu","3","64","T3",40,10,0,"1"
"Kakadu","3","66","T3",40,5,0,"1"
"Kakadu","3","68","T3",20,5,0,"0"
"Kakadu","3","70","T3",30,20,0,"0"
"Kakadu","3","72","T3",25,15,0,"0"
"Kakadu","3","74","T3",20,60,0,"1"
"Kakadu","3","76","T3",70,20,0,"1"
"Kakadu","3","78","T3",30,30,0,"1"
"Kakadu","3","0","T5",70,20,0,"0"
"Kakadu","3","2","T5",50,30,0,"0"
"Kakadu","3","4","T5",35,25,0,"0"
"Kakadu","3","6","T5",55,40,0,"1"
"Kakadu","3","8","T5",40,20,0,"0"
"Kakadu","3","10","T5",40,20,0,"0"
"Kakadu","3","12","T5",40,45,0,"0"
"Kakadu","3","14","T5",45,30,0,"0"
"Kakadu","3","16","T5",55,40,0,"0"
"Kakadu","3","18","T5",40,60,0,"0"
"Kakadu","3","20","T5",65,50,0,"0"
"Kakadu","3","22","T5",95,5,0,"0"
"Kakadu","3","24","T5",70,60,0,"0"
"Kakadu","3","26","T5",65,65,0,"0"
"Kakadu","3","28","T5",60,50,0,"0"
"Kakadu","3","30","T5",35,60,0,"0"
"Kakadu","3","32","T5",35,40,0,"1"
"Kakadu","3","34","T5",50,25,0,"1"
"Kakadu","3","36","T5",40,50,0,"1"
"Kakadu","3","38","T5",35,50,0,"1"
"Kakadu","3","40","T5",5,35,0,"0"
"Kakadu","3","42","T5",30,30,0,"0"
"Kakadu","3","44","T5",30,30,0,"0"
"Kakadu","3","46","T5",60,30,0,"0"
"Kakadu","3","48","T5",40,60,0,"1"
"Kakadu","3","50","T5",30,50,0,"1"
"Kakadu","3","52","T5",75,50,0,"1"
"Kakadu","3","54","T5",60,50,0,"1"
"Kakadu","3","56","T5",90,40,0,"1"
"Kakadu","3","58","T5",60,35,0,"1"
"Kakadu","3","60","T5",25,30,0,"1"
"Kakadu","3","62","T5",65,40,0,"1"
"Kakadu","3","64","T5",40,30,0,"1"
"Kakadu","3","66","T5",30,25,0,"1"
"Kakadu","3","68","T5",35,30,0,"0"
"Kakadu","3","70","T5",30,30,0,"0"
"Kakadu","3","72","T5",35,40,0,"0"
"Kakadu","3","74","T5",40,30,0,"1"
"Kakadu","3","76","T5",30,50,0,"1"
"Kakadu","3","78","T5",25,25,0,"1"
"Kakadu","4","0","T1",100,40,0,"1"
"Kakadu","4","2","T1",95,80,5,"1"
"Kakadu","4","4","T1",100,40,0,"1"
"Kakadu","4","6","T1",100,60,0,"1"
"Kakadu","4","8","T1",100,95,0,"1"
"Kakadu","4","10","T1",100,40,1,"1"
"Kakadu","4","12","T1",90,50,5,"1"
"Kakadu","4","14","T1",80,40,10,"1"
"Kakadu","4","16","T1",95,50,5,"0"
"Kakadu","4","18","T1",60,25,25,"0"
"Kakadu","4","20","T1",70,20,10,"0"
"Kakadu","4","22","T1",90,60,5,"0"
"Kakadu","4","24","T1",90,60,5,"0"
"Kakadu","4","26","T1",80,60,5,"0"
"Kakadu","4","28","T1",80,60,5,"0"
"Kakadu","4","50","T1",60,40,10,"0"
"Kakadu","4","52","T1",50,40,5,"0"
"Kakadu","4","54","T1",60,40,5,"0"
"Kakadu","4","56","T1",75,60,1,"0"
"Kakadu","4","58","T1",100,80,1,"0"
"Kakadu","4","60","T1",100,80,0,"0"
"Kakadu","4","62","T1",90,75,5,"0"
"Kakadu","4","64","T1",70,70,5,"1"
"Kakadu","4","66","T1",95,80,1,"0"
"Kakadu","4","68","T1",90,80,1,"0"
"Kakadu","4","70","T1",80,70,1,"0"
"Kakadu","4","72","T1",95,80,0,"0"
"Kakadu","4","74","T1",80,40,10,"0"
"Kakadu","4","76","T1",90,80,1,"0"
"Kakadu","4","78","T1",60,40,10,"0"
"Kakadu","4","0","T2",40,20,0,NA
"Kakadu","4","2","T2",60,30,0,NA
"Kakadu","4","4","T2",70,25,0,NA
"Kakadu","4","6","T2",70,30,0,NA
"Kakadu","4","8","T2",70,30,0,NA
"Kakadu","4","10","T2",70,40,0,NA
"Kakadu","4","12","T2",40,40,0,NA
"Kakadu","4","14","T2",80,40,10,NA
"Kakadu","4","16","T2",75,30,0,NA
"Kakadu","4","18","T2",95,20,0,NA
"Kakadu","4","20","T2",90,40,10,NA
"Kakadu","4","22","T2",80,20,5,NA
"Kakadu","4","24","T2",25,15,5,NA
"Kakadu","4","26","T2",40,15,5,NA
"Kakadu","4","28","T2",40,10,0,NA
"Kakadu","4","30","T2",50,15,0,NA
"Kakadu","4","32","T2",50,20,0,NA
"Kakadu","4","34","T2",60,20,0,NA
"Kakadu","4","36","T2",50,15,0,NA
"Kakadu","4","38","T2",25,10,0,NA
"Kakadu","4","40","T2",50,10,0,NA
"Kakadu","4","42","T2",75,20,0,NA
"Kakadu","4","44","T2",25,15,0,NA
"Kakadu","4","46","T2",30,10,0,NA
"Kakadu","4","48","T2",50,15,0,NA
"Kakadu","4","50","T2",40,10,0,NA
"Kakadu","4","52","T2",25,15,0,NA
"Kakadu","4","54","T2",25,20,0,NA
"Kakadu","4","56","T2",60,10,0,NA
"Kakadu","4","58","T2",40,10,0,NA
"Kakadu","4","60","T2",80,30,0,NA
"Kakadu","4","62","T2",90,50,10,NA
"Kakadu","4","64","T2",60,10,0,NA
"Kakadu","4","66","T2",25,15,0,NA
"Kakadu","4","68","T2",50,15,0,NA
"Kakadu","4","70","T2",40,40,0,NA
"Kakadu","4","72","T2",75,10,0,NA
"Kakadu","4","74","T2",50,15,10,NA
"Kakadu","4","76","T2",70,20,5,NA
"Kakadu","4","78","T2",20,10,0,NA
"Kakadu","4","0","T3",30,30,10,"1"
"Kakadu","4","2","T3",30,NA,NA,NA
"Kakadu","4","4","T3",30,40,5,"1"
"Kakadu","4","6","T3",40,20,20,"1"
"Kakadu","4","8","T3",40,20,10,"1"
"Kakadu","4","10","T3",30,20,10,"1"
"Kakadu","4","12","T3",25,NA,NA,NA
"Kakadu","4","14","T3",25,10,50,"1"
"Kakadu","4","16","T3",20,30,30,"0"
"Kakadu","4","18","T3",20,NA,NA,NA
"Kakadu","4","20","T3",30,10,40,"0"
"Kakadu","4","22","T3",10,20,50,"0"
"Kakadu","4","24","T3",20,5,50,"0"
"Kakadu","4","26","T3",25,10,35,"0"
"Kakadu","4","28","T3",20,35,20,"1"
"Kakadu","4","30","T3",35,20,30,"1"
"Kakadu","4","32","T3",25,15,10,"1"
"Kakadu","4","34","T3",30,20,10,"1"
"Kakadu","4","36","T3",35,15,0,"1"
"Kakadu","4","38","T3",25,40,5,"1"
"Kakadu","4","40","T3",50,25,0,"0"
"Kakadu","4","42","T3",15,30,5,"0"
"Kakadu","4","44","T3",20,40,20,"1"
"Kakadu","4","46","T3",60,NA,NA,NA
"Kakadu","4","48","T3",15,20,40,"1"
"Kakadu","4","50","T3",20,50,20,"1"
"Kakadu","4","52","T3",35,20,30,"0"
"Kakadu","4","54","T3",10,20,50,"0"
"Kakadu","4","56","T3",10,10,50,"0"
"Kakadu","4","58","T3",25,40,15,"0"
"Kakadu","4","60","T3",30,15,15,"0"
"Kakadu","4","62","T3",30,10,40,"1"
"Kakadu","4","64","T3",35,15,30,"1"
"Kakadu","4","66","T3",30,15,30,"0"
"Kakadu","4","68","T3",25,15,40,"0"
"Kakadu","4","70","T3",10,30,50,"0"
