"park","plot","visit","date","comments"
"Litchfield","11","T2",2001-03-28,""
"Litchfield","11","T3",2006-03-07,"tag 4 became tag 82"
"Litchfield","11","T4",2011-03-30,"no quadrats done"
"Litchfield","11","T5",2016-03-14,""
"Litchfield","12","T1",1995-03-16,""
"Litchfield","12","T2",2001-03-31,""
"Litchfield","12","T3",2006-03-10,""
"Litchfield","12","T4",2011-03-01,"no quadrats done"
"Litchfield","12","T5",2016-03-18,""
"Litchfield","13","T1",1995-05-04,""
"Litchfield","13","T2",2001-03-31,""
"Litchfield","13","T3",2006-03-10,""
"Litchfield","13","T4",2011-03-29,"no quadrats done"
"Litchfield","13","T5",2016-03-16,""
"Litchfield","14","T1",1995-05-12,""
"Litchfield","14","T2",2001-03-30,""
"Litchfield","14","T3",2006-03-15,"tag 17 became tag 50"
"Litchfield","14","T4",2011-03-30,"nasty fire in last few yrs but not 2010, no quadrats done, shrubs-C.latifolia present as saplings, may be confused with C.polysciadia last time"
"Litchfield","14","T5",2016-03-15,""
"Litchfield","15","T1",1995-05-08,""
"Litchfield","15","T2",2001-03-30,""
"Litchfield","15","T3",2006-03-12,""
"Litchfield","15","T4",2011-03-01,"no quadrats done"
"Litchfield","15","T5",2016-03-18,""
"Litchfield","16","T1",1995-03-14,""
"Litchfield","16","T2",2001-03-31,""
"Litchfield","16","T3",2006-03-10,""
"Litchfield","16","T4",2011-03-31,"no quadrats done"
"Litchfield","16","T5",2016-03-18,""
"Litchfield","17","T1",1996-08-22,""
"Litchfield","17","T2",2001-03-30,""
"Litchfield","17","T3",2006-03-03,""
"Litchfield","17","T4",2011-03-01,"no quadrats done"
"Litchfield","17","T5",2016-03-18,""
"Litchfield","18","T1",1995-05-19,""
"Litchfield","18","T2",2001-03-31,""
"Litchfield","18","T3",2006-03-09,""
"Litchfield","18","T4",2011-03-01,"tag28 name change, no quadrats done, Hyptis present"
"Litchfield","18","T5",NA,"Too wet, no visit"
"Litchfield","19","T1",1995-05-16,""
"Litchfield","19","T2",2001-03-27,""
"Litchfield","19","T3",2006-03-09,""
"Litchfield","19","T4",2011-03-01,"no quadrats done"
"Litchfield","19","T5",2016-03-15,""
"Litchfield","20","T1",1995-05-17,""
"Litchfield","20","T2",2001-03-26,""
"Litchfield","20","T3",2006-03-10,""
"Litchfield","20","T4",2011-03-01,"no quadrats done"
"Litchfield","20","T5",2016-03-16,""
"Litchfield","21","T1",1995-05-21,""
"Litchfield","21","T2",2001-03-26,""
"Litchfield","21","T3",2006-03-09,""
"Litchfield","21","T4",2011-03-01,"no quadrats done"
"Litchfield","21","T5",2016-03-18,""
"Litchfield","22","T1",1995-05-11,""
"Litchfield","22","T2",2001-03-27,""
"Litchfield","22","T5",NA,"Too wet, no visit"
"Litchfield","23","T1",1995-03-02,""
"Litchfield","23","T2",2001-03-28,""
"Litchfield","23","T3",2006-03-30,""
"Litchfield","23","T4",2011-03-01,"no quadrats done"
"Litchfield","23","T5",NA,"Too wet, no visit"
"Litchfield","24","T1",1996-02-13,""
"Litchfield","24","T2",2001-03-29,""
"Litchfield","24","T3",2006-03-30,""
"Litchfield","24","T4",2011-03-01,"no quadrats done, Gamba present"
"Litchfield","24","T5",2016-03-15,""
"Litchfield","25","T1",1996-02-13,""
"Litchfield","25","T2",2001-03-28,""
"Litchfield","25","T3",2006-03-10,""
"Litchfield","25","T4",2011-03-01,"no quadrats done"
"Litchfield","25","T5",2016-03-15,""
"Litchfield","26","T1",1996-02-14,""
"Litchfield","26","T2",2001-03-29,""
"Litchfield","26","T3",2006-03-10,""
"Litchfield","26","T4",2011-03-01,"no quadrats done"
"Litchfield","26","T5",2016-03-15,""
"Litchfield","27","T1",1996-02-13,""
"Litchfield","27","T2",2001-03-29,""
"Litchfield","27","T3",2006-03-08,""
"Litchfield","27","T4",2011-03-01,"no quadrats done"
"Litchfield","27","T5",2016-03-15,""
"Litchfield","28","T1",1996-02-12,""
"Litchfield","28","T2",2001-03-29,""
"Litchfield","28","T3",2006-03-08,""
"Litchfield","28","T4",2011-03-01,"no quadrats done"
"Litchfield","28","T5",2016-03-15,""
"Litchfield","29","T1",1996-02-16,""
"Litchfield","29","T2",2001-03-30,""
"Litchfield","29","T3",2006-03-06,""
"Litchfield","29","T4",2011-03-01,"no quadrats done"
"Litchfield","29","T5",2016-03-16,""
"Litchfield","30","T1",1996-02-15,""
"Litchfield","30","T2",2001-03-29,""
"Litchfield","30","T3",2006-03-10,""
"Litchfield","30","T4",2011-03-01,"no quadrats done"
"Litchfield","30","T5",2016-03-15,""
"Litchfield","31","T1",1997-04-05,"trees 21/8/1996"
"Litchfield","31","T2",2001-03-30,""
"Litchfield","31","T3",2006-03-07,""
"Litchfield","31","T4",2011-03-01,"no quadrats done"
"Litchfield","31","T5",NA,"Too wet, no visit"
"Litchfield","32","T1",1997-04-04,""
"Litchfield","32","T2",2001-03-28,""
"Litchfield","32","T3",2006-03-30,""
"Litchfield","32","T4",2011-03-01,"no quadrats done"
"Litchfield","32","T5",2016-03-17,""
"Litchfield","33","T1",1997-04-05,"trees 19/08/1996"
"Litchfield","33","T2",2001-04-01,""
"Litchfield","33","T3",2006-04-01,""
"Litchfield","33","T4",2011-03-01,"no quadrats done"
"Litchfield","33","T5",2016-03-17,""
"Litchfield","34","T1",1997-04-04,""
"Litchfield","34","T2",2001-04-01,""
"Litchfield","34","T3",2006-04-01,""
"Litchfield","34","T4",2011-03-01,"no quadrats done"
"Litchfield","34","T5",2016-03-16,""
"Litchfield","35","T1",1997-04-04,""
"Litchfield","35","T2",2001-03-28,""
"Litchfield","35","T3",2006-03-06,""
"Litchfield","35","T4",2011-03-01,"no quadrats done"
"Litchfield","35","T5",2016-03-16,""
"Litchfield","36","T1",1997-04-04,""
"Litchfield","36","T2",2001-03-28,""
"Litchfield","36","T3",2006-03-06,""
"Litchfield","36","T4",2011-03-01,"no quadrats done"
"Litchfield","36","T5",2016-03-15,""
"Litchfield","37","T1",1997-04-03,""
"Litchfield","37","T2",2001-03-28,""
"Litchfield","37","T3",2006-03-08,""
"Litchfield","37","T4",2011-03-01,"no quadrats done"
"Litchfield","37","T5",2016-03-15,""
"Litchfield","38","T1",1996-03-06,""
"Litchfield","38","T2",2001-03-27,""
"Litchfield","38","T3",2006-03-08,"several Tree tags changed.  Old trees given new tags numbers, which were previously used for other trees"
"Litchfield","38","T4",2011-03-01,"no quadrats done"
"Litchfield","38","T5",2016-03-16,""
"Litchfield","39","T1",1996-03-05,""
"Litchfield","39","T2",2001-03-27,""
"Litchfield","39","T3",2006-03-06,""
"Litchfield","39","T4",2011-03-01,"no quadrats done"
"Litchfield","39","T5",2016-03-16,""
"Litchfield","40","T1",1996-03-05,""
"Litchfield","40","T2",2001-04-01,""
"Litchfield","40","T3",2006-04-01,""
"Litchfield","40","T4",2011-03-01,"no quadrats done"
"Litchfield","40","T5",2016-03-16,""
"Litchfield","41","T1",1997-04-23,""
"Litchfield","41","T2",2001-04-01,""
"Litchfield","41","T3",2006-04-01,"NO VISIT"
"Litchfield","41","T4",2011-03-01,"no quadrats done"
"Litchfield","41","T5",NA,"Too wet, no visit"
