"park","plot","visit","quadrat","percentage_cover","percentage_litter","percentage_rock","canopy_closure_index"
"Nitmiluk","1","T2","38",10,3,3,"0"
"Nitmiluk","1","T2","39",20,1,10,"0"
"Nitmiluk","1","T2","40",15,3,10,"0"
"Nitmiluk","1","T3","1",5,40,15,"1"
"Nitmiluk","1","T3","2",5,35,20,"0"
"Nitmiluk","1","T3","3",5,15,20,"0"
"Nitmiluk","1","T3","4",5,60,10,"1"
"Nitmiluk","1","T3","5",5,15,5,"1"
"Nitmiluk","1","T3","6",10,45,5,"0"
"Nitmiluk","1","T3","7",35,30,5,"0"
"Nitmiluk","1","T3","8",5,60,5,"0"
"Nitmiluk","1","T3","9",5,30,10,"0"
"Nitmiluk","1","T3","10",5,15,15,"0"
"Nitmiluk","1","T3","11",5,20,15,"0"
"Nitmiluk","1","T3","12",5,40,5,"1"
"Nitmiluk","1","T3","13",0,35,5,"0"
"Nitmiluk","1","T3","14",0,30,5,"0"
"Nitmiluk","1","T3","15",0,35,5,"1"
"Nitmiluk","1","T3","16",5,35,5,"1"
"Nitmiluk","1","T3","17",5,30,5,"0"
"Nitmiluk","1","T3","18",5,30,5,"0"
"Nitmiluk","1","T3","19",0,10,20,"0"
"Nitmiluk","1","T3","20",0,10,10,"0"
"Nitmiluk","1","T3","21",0,20,10,"0"
"Nitmiluk","1","T3","22",5,40,5,"0"
"Nitmiluk","1","T3","23",5,65,0,"0"
"Nitmiluk","1","T3","24",5,40,10,"0"
"Nitmiluk","1","T3","25",0,30,20,"0"
"Nitmiluk","1","T3","26",5,25,20,"0"
"Nitmiluk","1","T3","27",0,35,20,"0"
"Nitmiluk","1","T3","28",5,30,15,"0"
"Nitmiluk","1","T3","29",5,10,15,"0"
"Nitmiluk","1","T3","30",5,25,15,"0"
"Nitmiluk","1","T3","31",5,30,5,"0"
"Nitmiluk","1","T3","32",0,30,0,"0"
"Nitmiluk","1","T3","33",5,30,5,"0"
"Nitmiluk","1","T3","34",5,20,5,"0"
"Nitmiluk","1","T3","35",0,10,0,"0"
"Nitmiluk","1","T3","36",0,25,10,"0"
"Nitmiluk","1","T3","37",5,30,5,"1"
"Nitmiluk","1","T3","38",0,50,5,"0"
"Nitmiluk","1","T3","39",0,40,20,"0"
"Nitmiluk","1","T3","40",5,20,10,"0"
"Nitmiluk","1","T4","1",75,10,5,"0"
"Nitmiluk","1","T4","2",70,15,5,"0"
"Nitmiluk","1","T4","3",65,5,5,"0"
"Nitmiluk","1","T4","4",60,15,2,"0"
"Nitmiluk","1","T4","5",65,5,5,"0"
"Nitmiluk","1","T4","6",55,10,10,"2"
"Nitmiluk","1","T4","7",60,10,5,"0"
"Nitmiluk","1","T4","8",50,10,10,"0"
"Nitmiluk","1","T4","9",50,5,10,"0"
"Nitmiluk","1","T4","10",55,10,5,"0"
"Nitmiluk","1","T4","11",51,5,5,"0"
"Nitmiluk","1","T4","12",55,5,5,"0"
"Nitmiluk","1","T4","13",50,10,5,"0"
"Nitmiluk","1","T4","14",55,10,50,"0"
"Nitmiluk","1","T4","15",45,10,5,"2"
"Nitmiluk","1","T4","16",45,10,5,"0"
"Nitmiluk","1","T4","17",60,5,2,"0"
"Nitmiluk","1","T4","18",50,5,2,"0"
"Nitmiluk","1","T4","19",50,5,2,"0"
"Nitmiluk","1","T4","20",50,10,2,"0"
"Nitmiluk","1","T4","21",50,15,5,"0"
"Nitmiluk","1","T4","22",55,5,2,"0"
"Nitmiluk","1","T4","23",50,10,2,"0"
"Nitmiluk","1","T4","24",60,5,2,"0"
"Nitmiluk","1","T4","25",55,5,2,"0"
"Nitmiluk","1","T4","26",50,5,2,"1"
"Nitmiluk","1","T4","27",60,5,2,"0"
"Nitmiluk","1","T4","28",55,5,2,"0"
"Nitmiluk","1","T4","29",50,5,2,"0"
"Nitmiluk","1","T4","30",60,5,2,"0"
"Nitmiluk","1","T4","31",55,2,2,"0"
"Nitmiluk","1","T4","32",65,2,2,"0"
"Nitmiluk","1","T4","33",50,3,2,"0"
"Nitmiluk","1","T4","34",10,3,2,"0"
"Nitmiluk","1","T4","35",10,2,30,"0"
"Nitmiluk","1","T4","36",45,5,5,"0"
"Nitmiluk","1","T4","37",50,5,2,"1"
"Nitmiluk","1","T4","38",NA,NA,NA,NA
"Nitmiluk","1","T4","39",45,5,2,"1"
"Nitmiluk","1","T4","40",50,3,2,"1"
"Nitmiluk","1","T5","1",15,10,5,"0"
"Nitmiluk","1","T5","2",35,5,5,"0"
"Nitmiluk","1","T5","3",20,5,5,"0"
"Nitmiluk","1","T5","4",35,5,2,"0"
"Nitmiluk","1","T5","5",25,5,5,"0"
"Nitmiluk","1","T5","6",40,10,10,"0"
"Nitmiluk","1","T5","7",40,20,5,"0"
"Nitmiluk","1","T5","8",45,5,10,"0"
"Nitmiluk","1","T5","9",17,5,10,"0"
"Nitmiluk","1","T5","10",40,10,5,"0"
"Nitmiluk","1","T5","11",15,70,5,"0"
"Nitmiluk","1","T5","12",35,5,5,"0"
"Nitmiluk","1","T5","13",40,5,5,"0"
"Nitmiluk","1","T5","14",40,10,10,"0"
"Nitmiluk","1","T5","15",40,10,5,"0"
"Nitmiluk","1","T5","16",45,10,5,"0"
"Nitmiluk","1","T5","17",45,5,2,"0"
"Nitmiluk","1","T5","18",25,10,5,"0"
"Nitmiluk","1","T5","19",40,30,5,"0"
"Nitmiluk","1","T5","20",35,5,40,"0"
"Nitmiluk","1","T5","21",20,5,5,"0"
"Nitmiluk","1","T5","22",25,10,2,"0"
"Nitmiluk","1","T5","23",15,5,2,"0"
"Nitmiluk","1","T5","24",35,25,5,"1"
"Nitmiluk","1","T5","25",30,20,5,"1"
"Nitmiluk","1","T5","26",45,15,5,"1"
"Nitmiluk","1","T5","27",40,5,5,"0"
"Nitmiluk","1","T5","28",25,NA,NA,NA
"Nitmiluk","1","T5","29",35,10,5,"0"
"Nitmiluk","1","T5","30",30,20,5,"0"
"Nitmiluk","1","T5","31",40,20,0,"0"
"Nitmiluk","1","T5","32",35,40,0,"0"
"Nitmiluk","1","T5","33",15,5,2,"1"
"Nitmiluk","1","T5","34",25,10,0,"0"
"Nitmiluk","1","T5","35",10,5,2,"0"
"Nitmiluk","1","T5","36",35,15,5,"0"
"Nitmiluk","1","T5","37",20,70,1,"1"
"Nitmiluk","1","T5","38",15,5,2,"1"
"Nitmiluk","1","T5","39",20,NA,NA,NA
"Nitmiluk","1","T5","40",30,5,2,"1"
"Nitmiluk","2","T1","1",55,0,0,"1"
"Nitmiluk","2","T1","2",40,0,0,"1"
"Nitmiluk","2","T1","3",30,0,0,"1"
"Nitmiluk","2","T1","4",60,0,0,"0"
"Nitmiluk","2","T1","5",55,0,0,"1"
"Nitmiluk","2","T1","6",30,10,0,"1"
"Nitmiluk","2","T1","7",55,0,0,"1"
"Nitmiluk","2","T1","8",20,0,0,"0"
"Nitmiluk","2","T1","9",40,5,0,"0"
"Nitmiluk","2","T1","10",60,0,0,"0"
"Nitmiluk","2","T1","11",95,0,0,"1"
"Nitmiluk","2","T1","12",95,20,0,"1"
"Nitmiluk","2","T1","13",70,0,0,"1"
"Nitmiluk","2","T1","14",60,0,0,"0"
"Nitmiluk","2","T1","15",30,5,0,"1"
"Nitmiluk","2","T1","16",25,0,0,"1"
"Nitmiluk","2","T1","17",20,5,0,"1"
"Nitmiluk","2","T1","18",70,5,0,"1"
"Nitmiluk","2","T1","19",50,0,0,"0"
"Nitmiluk","2","T1","20",60,0,0,"0"
"Nitmiluk","2","T1","21",30,0,0,"2"
"Nitmiluk","2","T1","22",30,0,0,"0"
"Nitmiluk","2","T1","23",20,0,0,"0"
"Nitmiluk","2","T1","24",70,0,0,"0"
"Nitmiluk","2","T1","25",80,0,0,"0"
"Nitmiluk","2","T1","26",80,0,0,"0"
"Nitmiluk","2","T1","27",90,0,0,"0"
"Nitmiluk","2","T1","28",95,5,0,"0"
"Nitmiluk","2","T1","29",20,0,0,"0"
"Nitmiluk","2","T1","30",90,5,0,"0"
"Nitmiluk","2","T1","31",90,5,0,"2"
"Nitmiluk","2","T1","32",0,0,0,"0"
"Nitmiluk","2","T1","33",0,0,0,"0"
"Nitmiluk","2","T1","34",0,0,0,"0"
"Nitmiluk","2","T1","35",50,0,0,"0"
"Nitmiluk","2","T1","36",80,0,0,"0"
"Nitmiluk","2","T1","37",90,0,0,"0"
"Nitmiluk","2","T1","38",80,0,0,"0"
"Nitmiluk","2","T1","39",90,0,0,"0"
"Nitmiluk","2","T1","40",70,0,0,"0"
"Nitmiluk","2","T2","1",55,15,0,"0"
"Nitmiluk","2","T2","2",55,60,0,"0"
"Nitmiluk","2","T2","3",80,30,0,"0"
"Nitmiluk","2","T2","4",40,5,0,"1"
"Nitmiluk","2","T2","5",NA,30,0,"1"
"Nitmiluk","2","T2","6",NA,30,0,"1"
"Nitmiluk","2","T2","7",NA,40,0,"1"
"Nitmiluk","2","T2","8",NA,30,0,"0"
"Nitmiluk","2","T2","9",NA,30,0,"0"
"Nitmiluk","2","T2","10",NA,20,0,"0"
"Nitmiluk","2","T2","11",NA,25,0,"0"
"Nitmiluk","2","T2","12",NA,25,0,"0"
"Nitmiluk","2","T2","13",NA,50,0,"0"
"Nitmiluk","2","T2","14",NA,25,0,"0"
"Nitmiluk","2","T2","15",NA,55,0,"0"
"Nitmiluk","2","T2","16",NA,60,0,"0"
"Nitmiluk","2","T2","17",NA,0,0,"0"
"Nitmiluk","2","T2","18",NA,0,0,"0"
"Nitmiluk","2","T2","19",NA,0,0,"0"
"Nitmiluk","2","T2","20",NA,5,0,"0"
"Nitmiluk","2","T2","21",NA,70,0,"2"
"Nitmiluk","2","T2","22",NA,0,0,"1"
"Nitmiluk","2","T2","23",NA,NA,NA,NA
"Nitmiluk","2","T2","24",NA,0,0,"1"
"Nitmiluk","2","T2","25",NA,0,0,"0"
"Nitmiluk","2","T2","26",NA,85,0,"0"
"Nitmiluk","2","T2","27",NA,70,0,"0"
"Nitmiluk","2","T2","28",NA,85,0,"0"
"Nitmiluk","2","T2","29",NA,90,0,"1"
"Nitmiluk","2","T2","30",NA,90,0,"1"
"Nitmiluk","2","T2","31",NA,85,0,"1"
"Nitmiluk","2","T2","32",NA,80,0,"0"
"Nitmiluk","2","T2","33",NA,80,0,"0"
"Nitmiluk","2","T2","34",NA,65,0,"1"
"Nitmiluk","2","T2","35",NA,30,0,"0"
"Nitmiluk","2","T2","36",NA,40,0,"1"
"Nitmiluk","2","T2","37",NA,75,0,"1"
"Nitmiluk","2","T2","38",NA,60,0,"1"
"Nitmiluk","2","T2","39",NA,20,0,"1"
"Nitmiluk","2","T2","40",NA,5,0,"1"
"Nitmiluk","2","T3","1",40,5,0,"0"
"Nitmiluk","2","T3","2",35,15,0,"0"
"Nitmiluk","2","T3","3",30,1,0,"0"
"Nitmiluk","2","T3","4",35,5,0,"0"
"Nitmiluk","2","T3","5",35,10,0,"1"
"Nitmiluk","2","T3","6",40,20,0,"1"
"Nitmiluk","2","T3","7",30,10,0,"1"
"Nitmiluk","2","T3","8",35,15,0,"0"
"Nitmiluk","2","T3","9",40,10,0,"0"
"Nitmiluk","2","T3","10",30,20,0,"0"
"Nitmiluk","2","T3","11",20,10,0,"0"
"Nitmiluk","2","T3","12",30,25,0,"0"
"Nitmiluk","2","T3","13",40,10,0,"0"
"Nitmiluk","2","T3","14",40,10,0,"0"
"Nitmiluk","2","T3","15",40,15,0,"0"
"Nitmiluk","2","T3","16",60,5,0,"0"
"Nitmiluk","2","T3","17",80,5,0,"0"
"Nitmiluk","2","T3","18",80,10,0,"0"
"Nitmiluk","2","T3","19",5,0,0,"0"
"Nitmiluk","2","T3","20",30,30,0,"0"
"Nitmiluk","2","T3","21",30,50,0,"1"
"Nitmiluk","2","T3","22",5,0,0,"1"
"Nitmiluk","2","T3","23",0,0,0,"1"
"Nitmiluk","2","T3","24",0,0,0,"1"
"Nitmiluk","2","T3","25",5,0,0,"0"
"Nitmiluk","2","T3","26",0,10,0,"0"
"Nitmiluk","2","T3","27",70,10,0,"0"
"Nitmiluk","2","T3","28",70,10,0,"0"
"Nitmiluk","2","T3","29",40,20,0,"0"
"Nitmiluk","2","T3","30",40,20,0,"0"
"Nitmiluk","2","T3","31",15,50,0,"0"
"Nitmiluk","2","T3","32",30,40,0,"0"
"Nitmiluk","2","T3","33",30,10,0,"0"
"Nitmiluk","2","T3","34",50,10,0,"0"
"Nitmiluk","2","T3","35",15,40,0,"1"
"Nitmiluk","2","T3","36",50,20,0,"1"
"Nitmiluk","2","T3","37",35,20,0,"1"
"Nitmiluk","2","T3","38",5,10,0,"1"
"Nitmiluk","2","T3","39",30,20,0,"1"
"Nitmiluk","2","T3","40",20,20,0,"1"
"Nitmiluk","2","T4","1",50,10,0,"0"
"Nitmiluk","2","T4","2",55,20,0,"0"
"Nitmiluk","2","T4","3",5,NA,NA,NA
"Nitmiluk","2","T4","4",55,NA,NA,NA
"Nitmiluk","2","T4","5",50,20,0,"0"
"Nitmiluk","2","T4","6",40,2,0,"1"
"Nitmiluk","2","T4","7",50,15,0,"2"
"Nitmiluk","2","T4","8",30,15,0,"0"
"Nitmiluk","2","T4","9",45,10,0,"0"
"Nitmiluk","2","T4","10",30,15,0,"0"
"Nitmiluk","2","T4","11",30,20,0,"0"
"Nitmiluk","2","T4","12",45,10,0,"0"
"Nitmiluk","2","T4","13",35,10,0,"0"
"Nitmiluk","2","T4","14",30,10,0,"0"
"Nitmiluk","2","T4","15",40,10,0,"0"
"Nitmiluk","2","T4","16",50,15,0,"0"
"Nitmiluk","2","T4","17",50,10,0,"0"
"Nitmiluk","2","T4","18",60,10,0,"0"
"Nitmiluk","2","T4","19",10,0,0,"0"
"Nitmiluk","2","T4","20",10,0,0,"0"
"Nitmiluk","2","T4","21",40,20,0,"2"
"Nitmiluk","2","T4","22",5,0,0,"2"
"Nitmiluk","2","T4","23",1,0,0,"0"
"Nitmiluk","2","T4","24",15,10,0,"0"
"Nitmiluk","2","T4","25",50,5,0,"0"
"Nitmiluk","2","T4","26",55,10,0,"0"
"Nitmiluk","2","T4","27",60,10,0,"0"
"Nitmiluk","2","T4","28",NA,NA,NA,NA
"Nitmiluk","2","T4","29",60,15,0,"0"
"Nitmiluk","2","T4","30",65,15,0,"2"
"Nitmiluk","2","T4","31",70,10,0,"2"
"Nitmiluk","2","T4","32",60,20,0,"2"
"Nitmiluk","2","T4","33",70,10,0,"0"
"Nitmiluk","2","T4","34",65,15,0,"0"
"Nitmiluk","2","T4","35",25,5,0,"0"
"Nitmiluk","2","T4","36",80,NA,NA,NA
"Nitmiluk","2","T4","37",60,10,0,"1"
"Nitmiluk","2","T4","38",55,20,0,"2"
"Nitmiluk","2","T4","39",60,10,0,"2"
"Nitmiluk","2","T4","40",65,8,0,"2"
"Nitmiluk","2","T5","1",50,10,0,"0"
"Nitmiluk","2","T5","2",55,15,0,"1"
"Nitmiluk","2","T5","3",40,10,0,"0"
"Nitmiluk","2","T5","4",60,10,0,"0"
"Nitmiluk","2","T5","5",50,10,0,"0"
"Nitmiluk","2","T5","6",35,5,0,"1"
"Nitmiluk","2","T5","7",30,5,0,"1"
"Nitmiluk","2","T5","8",30,5,0,"1"
"Nitmiluk","2","T5","9",35,5,0,"0"
"Nitmiluk","2","T5","10",30,5,0,"0"
"Nitmiluk","2","T5","11",40,5,0,"0"
"Nitmiluk","2","T5","12",35,0,0,"0"
"Nitmiluk","2","T5","13",45,5,0,"0"
"Nitmiluk","2","T5","14",55,5,0,"0"
"Nitmiluk","2","T5","15",65,10,0,"0"
"Nitmiluk","2","T5","16",80,10,0,"0"
"Nitmiluk","2","T5","17",85,10,0,"0"
"Nitmiluk","2","T5","18",65,10,0,"0"
"Nitmiluk","2","T5","19",16,5,0,"0"
"Nitmiluk","2","T5","20",30,5,0,"0"
"Nitmiluk","2","T5","21",40,10,0,"0"
"Nitmiluk","2","T5","22",0,0,0,"1"
"Nitmiluk","2","T5","23",0,0,0,"0"
"Nitmiluk","2","T5","24",80,0,0,"1"
"Nitmiluk","2","T5","25",80,0,0,"0"
"Nitmiluk","2","T5","26",75,10,0,"0"
"Nitmiluk","2","T5","27",60,10,0,"1"
"Nitmiluk","2","T5","28",75,10,0,"0"
"Nitmiluk","2","T5","29",50,10,0,"1"
"Nitmiluk","2","T5","30",55,15,0,"1"
"Nitmiluk","2","T5","31",60,10,0,"1"
"Nitmiluk","2","T5","32",65,20,0,"0"
"Nitmiluk","2","T5","33",60,10,0,"0"
"Nitmiluk","2","T5","34",50,10,0,"0"
"Nitmiluk","2","T5","35",50,0,0,"0"
"Nitmiluk","2","T5","36",50,15,0,"1"
"Nitmiluk","2","T5","37",60,15,0,"1"
"Nitmiluk","2","T5","38",45,20,0,"1"
"Nitmiluk","2","T5","39",50,20,0,"1"
"Nitmiluk","2","T5","40",50,0,0,"0"
"Nitmiluk","3","T1","1",30,5,15,"0"
"Nitmiluk","3","T1","2",75,20,5,"1"
"Nitmiluk","3","T1","3",100,90,10,"1"
"Nitmiluk","3","T1","4",100,90,0,"0"
"Nitmiluk","3","T1","5",65,10,5,"0"
"Nitmiluk","3","T1","6",90,10,0,"0"
"Nitmiluk","3","T1","7",100,60,5,"0"
"Nitmiluk","3","T1","8",70,20,20,"0"
"Nitmiluk","3","T1","9",55,5,20,"0"
"Nitmiluk","3","T1","10",90,0,20,"0"
"Nitmiluk","3","T1","11",75,0,15,"0"
"Nitmiluk","3","T1","12",100,20,100,"0"
"Nitmiluk","3","T1","13",100,10,90,"1"
"Nitmiluk","3","T1","14",60,10,40,"0"
"Nitmiluk","3","T1","15",100,0,100,"0"
"Nitmiluk","3","T1","16",100,5,100,"0"
"Nitmiluk","3","T1","17",100,5,95,"0"
"Nitmiluk","3","T1","18",100,5,90,"0"
"Nitmiluk","3","T1","19",100,20,50,"0"
"Nitmiluk","3","T1","20",100,20,60,"0"
"Nitmiluk","3","T1","21",100,10,70,"0"
"Nitmiluk","3","T1","22",100,20,50,"0"
"Nitmiluk","3","T1","23",100,10,20,"0"
"Nitmiluk","3","T1","24",100,5,30,"0"
"Nitmiluk","3","T1","25",95,0,0,"0"
"Nitmiluk","3","T1","26",65,0,5,"0"
"Nitmiluk","3","T1","27",100,5,60,"0"
"Nitmiluk","3","T1","28",100,0,80,"0"
"Nitmiluk","3","T1","29",100,5,90,"0"
"Nitmiluk","3","T1","30",100,5,50,"0"
"Nitmiluk","3","T1","31",100,5,60,"0"
"Nitmiluk","3","T1","32",75,5,30,"0"
"Nitmiluk","3","T1","33",40,5,5,"0"
"Nitmiluk","3","T1","34",25,0,0,"0"
"Nitmiluk","3","T1","35",30,0,0,"0"
"Nitmiluk","3","T1","36",10,0,0,"0"
"Nitmiluk","3","T1","37",35,5,0,"0"
"Nitmiluk","3","T1","38",100,40,5,"0"
"Nitmiluk","3","T1","39",75,30,5,"0"
"Nitmiluk","3","T1","40",65,10,5,"0"
"Nitmiluk","3","T2","1",15,2,10,"0"
"Nitmiluk","3","T2","2",20,5,5,"1"
"Nitmiluk","3","T2","3",20,10,10,"1"
"Nitmiluk","3","T2","4",25,20,10,"1"
"Nitmiluk","3","T2","5",15,3,5,"0"
"Nitmiluk","3","T2","6",90,10,0,"0"
"Nitmiluk","3","T2","7",7,2,5,"0"
"Nitmiluk","3","T2","8",30,15,10,"0"
"Nitmiluk","3","T2","9",20,10,25,"1"
"Nitmiluk","3","T2","10",20,5,3,"0"
"Nitmiluk","3","T2","11",20,5,3,"0"
"Nitmiluk","3","T2","12",5,5,90,"0"
"Nitmiluk","3","T2","13",0,2,98,"1"
"Nitmiluk","3","T2","14",5,2,70,"1"
"Nitmiluk","3","T2","15",1,1,98,"0"
"Nitmiluk","3","T2","16",20,5,75,"0"
"Nitmiluk","3","T2","17",20,5,75,"0"
"Nitmiluk","3","T2","18",5,2,95,"0"
"Nitmiluk","3","T2","19",5,5,80,"2"
"Nitmiluk","3","T2","20",2,5,95,"1"
"Nitmiluk","3","T2","21",30,5,65,"0"
"Nitmiluk","3","T2","22",40,2,25,"0"
"Nitmiluk","3","T2","23",20,2,5,"0"
"Nitmiluk","3","T2","24",40,3,50,"0"
"Nitmiluk","3","T2","25",NA,2,5,"0"
"Nitmiluk","3","T2","26",NA,2,15,"0"
"Nitmiluk","3","T2","27",NA,3,70,"0"
"Nitmiluk","3","T2","28",NA,3,70,"0"
"Nitmiluk","3","T2","29",NA,5,40,"0"
"Nitmiluk","3","T2","30",NA,1,40,"2"
"Nitmiluk","3","T2","31",NA,3,20,"2"
"Nitmiluk","3","T2","32",NA,2,10,"1"
"Nitmiluk","3","T2","33",NA,2,20,"0"
"Nitmiluk","3","T2","34",NA,5,10,"0"
"Nitmiluk","3","T2","35",NA,2,10,"0"
"Nitmiluk","3","T2","36",NA,1,25,"0"
"Nitmiluk","3","T2","37",NA,5,5,"0"
"Nitmiluk","3","T2","38",NA,25,25,"0"
"Nitmiluk","3","T2","39",NA,20,5,"0"
"Nitmiluk","3","T2","40",NA,15,5,"0"
"Nitmiluk","3","T3","1",10,30,30,"0"
"Nitmiluk","3","T3","2",40,40,5,"1"
"Nitmiluk","3","T3","3",20,50,5,"1"
"Nitmiluk","3","T3","4",30,70,0,"0"
"Nitmiluk","3","T3","5",20,40,5,"0"
"Nitmiluk","3","T3","6",30,30,30,"0"
"Nitmiluk","3","T3","7",25,35,15,"0"
"Nitmiluk","3","T3","8",15,70,10,"1"
"Nitmiluk","3","T3","9",15,35,30,"1"
"Nitmiluk","3","T3","10",15,10,50,"0"
"Nitmiluk","3","T3","11",20,20,10,"0"
"Nitmiluk","3","T3","12",15,5,80,"0"
"Nitmiluk","3","T3","13",0,20,80,"0"
"Nitmiluk","3","T3","14",5,10,70,"0"
"Nitmiluk","3","T3","15",5,5,90,"0"
"Nitmiluk","3","T3","16",5,5,85,"0"
"Nitmiluk","3","T3","17",30,5,65,"0"
"Nitmiluk","3","T3","18",20,10,70,"0"
"Nitmiluk","3","T3","19",15,20,60,"1"
"Nitmiluk","3","T3","20",5,20,50,"1"
"Nitmiluk","3","T3","21",20,5,30,"0"
"Nitmiluk","3","T3","22",40,15,30,"0"
"Nitmiluk","3","T3","23",15,5,30,"0"
"Nitmiluk","3","T3","24",40,10,20,"0"
"Nitmiluk","3","T3","25",15,5,20,"0"
"Nitmiluk","3","T3","26",20,5,5,"0"
"Nitmiluk","3","T3","27",30,5,50,"0"
"Nitmiluk","3","T3","28",15,5,60,"0"
"Nitmiluk","3","T3","29",15,5,60,"0"
"Nitmiluk","3","T3","30",25,5,15,"0"
"Nitmiluk","3","T3","31",5,50,20,"0"
"Nitmiluk","3","T3","32",30,30,15,"0"
"Nitmiluk","3","T3","33",15,50,20,"0"
"Nitmiluk","3","T3","34",15,15,20,"0"
"Nitmiluk","3","T3","35",5,5,30,"0"
"Nitmiluk","3","T3","36",0,5,30,"0"
"Nitmiluk","3","T3","37",15,10,5,"0"
"Nitmiluk","3","T3","38",20,30,30,"0"
"Nitmiluk","3","T3","39",20,15,25,"0"
"Nitmiluk","3","T3","40",20,40,20,"0"
"Nitmiluk","3","T4","1",10,20,30,"0"
"Nitmiluk","3","T4","2",7,NA,NA,NA
"Nitmiluk","3","T4","3",11,NA,NA,NA
"Nitmiluk","3","T4","4",10,20,20,"1"
"Nitmiluk","3","T4","5",20,10,20,"1"
"Nitmiluk","3","T4","6",10,10,20,"0"
"Nitmiluk","3","T4","7",8,NA,NA,NA
"Nitmiluk","3","T4","8",8,35,5,"1"
"Nitmiluk","3","T4","9",10,30,10,"0"
"Nitmiluk","3","T4","10",15,15,40,"0"
"Nitmiluk","3","T4","11",15,10,0,"0"
"Nitmiluk","3","T4","12",16,10,60,"0"
