"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","is_the_tree_dead"
"Nitmiluk","1","T2","Erythrophleum chlorostachys","142",6,"2",10.8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","143",7,"2",11.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","144",NA,NA,18,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","145",6,"2",9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","146",5,"2",13,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","147",4,"2",16.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","148",6,"1",8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","149",3,"2",5.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","150",6,"2",7.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","151",5,"2",6.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Brachychiton megaphyllus","152",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","153",6,"2",13.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","154",2.5,"2",6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Brachychiton megaphyllus","155",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","156",7,"2",13,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","157",5,"2",6.9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","158",4,"2",7.8,8,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","159",5,"2",8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","160",2,"2",5.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Terminalia ferdinandiana","161",5,"1",6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","162",6,"1",10,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Terminalia ferdinandiana","163",3,"1",5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Terminalia ferdinandiana",NA,16.3,"3",5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Eucalyptus tectifica","130",11.7,"0",22.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","131",5.7,"1",8,7.9,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","132",7.7,"1",10,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","133",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T3","Corymbia foelscheana","134",6.7,"1",8.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","135",8.7,"1",19.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","136",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","137",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","138",7.7,"1",10.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Corymbia sp.","139",10.7,"0",23.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","140",7.7,"1",14.6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","141",7.7,"1",14,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","142",7.7,"1",11,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","143",7.7,"2",11.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","144",9.7,"1",18.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","145",6.7,"1",8.6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","146",6.7,"1",13,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","147",3.7,"2",6.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","148",6.1,"1",9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","149",4.7,"2",5.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","150",6.2,"2",8.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","151",5.7,"2",5.9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Brachychiton megaphyllus","152",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","153",6.7,"1",12.8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","154",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T3","Brachychiton megaphyllus","155",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","156",7.7,"1",14.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","157",5.2,"1",6.8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","158",5.7,"2",8.2,9.4,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","159",7.7,"1",8.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","160",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T3","Terminalia ferdinandiana","161",6.7,"1",8.4,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Erythrophleum chlorostachys","162",6.5,"1",12,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T3","Terminalia ferdinandiana","163",4,"1",5.6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Eucalyptus tectifica","130",NA,"1",24.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","131",NA,"1",8.6,8.9,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","132",NA,"1",13,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","133",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Corymbia foelscheana","134",NA,"1",10.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","135",NA,"1",22.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","136",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","137",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","138",NA,"1",11.6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Corymbia sp.","139",NA,"1",23.9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","140",NA,"2",16.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","141",NA,"2",14.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","142",NA,"2",12.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","143",NA,"1",12.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","144",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","145",NA,"1",9.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","146",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","147",NA,"2",7.9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","148",NA,"1",11,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","149",NA,"2",6.8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","150",NA,"2",10.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","151",NA,NA,6.4,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Brachychiton megaphyllus","152",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","153",NA,"1",14.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","154",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Brachychiton megaphyllus","155",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","156",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","157",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","158",NA,"2",9.6,10.4,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","159",NA,"2",8.9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","160",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Terminalia ferdinandiana","161",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","162",NA,"1",12,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Terminalia ferdinandiana","163",NA,"1",7.1,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Terminalia ferdinandiana","164",NA,"1",10.9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Corymbia foelscheana","165",NA,"0",9.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Erythrophleum chlorostachys","166",NA,"1",5.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T4","Terminalia ferdinandiana","167",NA,"1",5.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T5","Eucalyptus tectifica","130",11,"1",25.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","131",6,"3",9.25,8.9,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","132",6.5,"2",10.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","133",0,"5",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Nitmiluk","1","T5","Corymbia foelscheana","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","135",7.5,"3",19.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","138",7.5,"2",11,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Corymbia sp.","139",11.5,"1",26.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","140",7.5,"3",15.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","141",7.5,"4",14.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","142",7.5,"3",12.25,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","143",6,"1",13,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","145",5.5,"2",9.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","147",3,"4",7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","148",5.5,"4",9.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","149",4.5,"4",5.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","150",6,"3",9.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","151",5,"4",5.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","153",8,"4",17.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","154",6.5,"3",13.05,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","156",7.5,"3",14.2,NA,NA,NA,NA,NA,NA,NA,TRUE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","157",6,"4",8.4,NA,NA,NA,NA,NA,NA,NA,TRUE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","158",7.5,"3",7.7,11,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","159",6,"4",9.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","162",7,"5",12.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Terminalia ferdinandiana","163",4.5,"3",7.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Terminalia ferdinandiana","164",5.5,"1",13,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Corymbia foelscheana","165",6,"1",10,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","166",4.5,"1",5.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Terminalia ferdinandiana","167",5,"2",7.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Terminalia ferdinandiana","168",4.5,"1",6.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Corymbia foelscheana","169",5.5,"1",6.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","1","T5","Erythrophleum chlorostachys","170",5.5,"1",6.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","2","T1","Terminalia pterocarya","1",4,"2",5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T1","Eucalyptus tectifica","2",11,"2",26,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T1","Terminalia ferdinandiana","3",3,"1",6.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T1","Eucalyptus tectifica","4",9,"2",18,12,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T1","Eucalyptus tectifica","5",12,"1",41,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T1","Corymbia polysciada","170",12,"0",26,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T1","Corymbia polysciada","171",12,"1",33,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T1","Eucalyptus bigalerita","172",14,"2",12.5,22,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T2","Terminalia pterocarya","1",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","2","T2","Eucalyptus tectifica","2",12,"2",26.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T2","Terminalia ferdinandiana","3",4.5,"2",8.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T2","Eucalyptus tectifica","4",10,"2",18.2,10.6,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T2","Eucalyptus tectifica","5",12,"1",40.8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T2","Corymbia polysciada","170",12,"2",32.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T2","Corymbia polysciada","171",14,"0",33,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T2","Eucalyptus bigalerita","172",14,"0",23.8,11.6,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T3","Terminalia pterocarya","1",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","2","T3","Eucalyptus tectifica","2",11.5,"0",27.8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T3","Terminalia ferdinandiana","3",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","2","T3","Eucalyptus tectifica","4",9.7,"0",19.3,11.5,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T3","Eucalyptus tectifica","5",11.2,"0",41.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T3","Corymbia polysciada","170",12,"0",33,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T3","Corymbia polysciada","171",11.7,"0",35,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T3","Eucalyptus bigalerita","172",12.2,"0",25.5,13.4,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T4","Terminalia pterocarya","1",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","2","T4","Eucalyptus tectifica","2",NA,"0",28.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T4","Terminalia ferdinandiana","3",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","2","T4","Eucalyptus tectifica","4",NA,"0",19.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T4","Eucalyptus tectifica","5",NA,"0",42.6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T4","Corymbia polysciada","170",NA,"0",33.4,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T4","Corymbia polysciada","171",NA,"0",36,0,0,0,0,0,0,0,FALSE
"Nitmiluk","2","T4","Eucalyptus bigalerita","172",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","2","T5","Eucalyptus tectifica","2",10.5,"1",29.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","2","T5","Eucalyptus tectifica","4",NA,"5",0,NA,NA,NA,NA,NA,NA,NA,TRUE
"Nitmiluk","2","T5","Eucalyptus tectifica","5",14.5,"1",44.95,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","2","T5","Corymbia polysciada","170",10,"1",33.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","2","T5","Corymbia polysciada","171",10,"1",35,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","2","T5","Brachychiton diversifolius","173",5,"1",6.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","2","T5","Terminalia ferdinandiana","174",4.5,"1",6.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Nitmiluk","3","T1","Corymbia arnhemensis","6",7,"1",11,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T1","Eucalyptus herbertiana","7",8,"0",11,6,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T1","Owenia vernicosa","8",4,"2",8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T1","Owenia vernicosa","9",5,"0",6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T1","Livistona inermis","10",2,"1",9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T1","Owenia vernicosa","11",5,"0",6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T1","Eucalyptus herbertiana","12",5,"2",7,7.5,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Corymbia arnhemensis","6",7,"1",12,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Eucalyptus herbertiana","7",8,"0",11.2,6.4,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Owenia vernicosa","8",5,"0",8.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Owenia vernicosa","9",4,"0",8.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Livistona inermis","10",3,"0",10,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Owenia vernicosa","11",5,"0",5.6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Eucalyptus herbertiana","12",6,"0",7,7.9,7,0,0,0,0,0,FALSE
"Nitmiluk","3","T2","Jacksonia dilatata","13",3,"0",5,5,5.2,5.2,0,0,0,0,FALSE
"Nitmiluk","3","T3","Corymbia arnhemensis","6",6.5,"0",13.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T3","Eucalyptus herbertiana","7",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","3","T3","Owenia vernicosa","8",4.5,"0",9.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T3","Owenia vernicosa","9",4,"0",8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T3","Livistona inermis","10",3.5,"0",10.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T3","Owenia vernicosa","11",5.3,"0",6.4,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T3","Eucalyptus herbertiana","12",3.7,"0",7.1,7,7.5,0,0,0,0,0,FALSE
"Nitmiluk","3","T3","Jacksonia dilatata","13",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","3","T3","Eucalyptus herbertiana","14",2.5,"0",6.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T4","Corymbia arnhemensis","6",NA,"0",14.2,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T4","Eucalyptus herbertiana","7",NA,NA,0,0,0,0,0,0,0,0,TRUE
"Nitmiluk","3","T4","Owenia vernicosa","8",NA,"0",9.9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","3","T4","Owenia vernicosa","9",NA,"1",8.5,0,0,0,0,0,0,0,FALSE
