"id","visit_code","veg_species","structural_layer","comments"
"12089","012-10-12-1","Entolasia stricta","Understorey",""
"12090","012-10-12-1","Galium propinquum","Understorey",""
"12091","012-10-12-1","Banksia serrata","Understorey",""
"12092","012-10-12-1","Hydrocotyle tripartita","Understorey",""
"12093","012-10-12-1","Stephania japonica var. discolor","Understorey",""
"12094","012-10-12-1","Viola hederacea","Understorey",""
"12095","012-10-12-1","Synoum glandulosum","Understorey",""
"12096","012-10-12-1","Ficinia nodusa","Understorey",""
"12097","012-10-12-1","Breynia oblongifolia","Understorey",""
"12098","012-10-12-1","Glycine microphylla","Understorey",""
"12099","012-10-12-1","Baumea juncea","Understorey",""
"12100","012-10-12-1","Notelaea longifolia forma longifolia","Understorey",""
"12101","012-10-12-1","Wahlenbergia communis","Understorey",""
"12102","012-10-12-1","Zoysia macrantha","Understorey",""
"12103","012-10-12-2","Syncarpia glomulifera","Mid Storey",""
"12104","012-10-12-2","Leptospermum laevigatum","Mid Storey",""
"12105","012-10-12-2","Eucalyptus botryoides","Mid Storey",""
"12106","012-10-12-2","Cissus hypoglauca","Mid Storey",""
"12107","012-10-12-2","Banksia serrata","Mid Storey",""
"12108","012-10-12-2","Ficus coronata","Mid Storey",""
"12109","012-10-12-2","Banksia integrifolia","Overstorey",""
"12110","012-10-12-2","Eucalyptus botryoides","Overstorey",""
"12111","012-10-12-2","Viola hederacea","Understorey",""
"12112","012-10-12-2","Pteridium esculentum","Understorey",""
"12113","012-10-12-2","Patersonia sericea","Understorey",""
"12114","012-10-12-2","Oxalis perennans","Understorey",""
"12115","012-10-12-2","Oplismenus imbecillis","Understorey",""
"12116","012-10-12-2","Microlaena stipoides var. stipoides","Understorey",""
"12117","012-10-12-2","Lomandra longifolia","Understorey",""
"12118","012-10-12-2","Leptospermum laevigatum","Understorey",""
"12119","012-10-12-2","Lepidosperma concavum","Understorey",""
"12120","012-10-12-2","Imperata cylindrica var. major","Understorey",""
"12121","012-10-12-2","Hibbertia scandens","Understorey",""
"12122","012-10-12-2","Eustrephus latifolius","Understorey",""
"12123","012-10-12-2","Dichondra repens","Understorey",""
"12124","012-10-12-2","Dianella caerulea","Understorey",""
"12125","012-10-12-2","Desmodium varians","Understorey",""
"12126","012-10-12-2","Cissus hypoglauca","Understorey",""
"12127","012-10-12-2","Banksia serrata","Understorey",""
"12128","012-10-12-2","Banksia integrifolia","Understorey",""
"12129","012-10-12-2","Gleichenia dicarpa","Understorey",""
"12130","012-10-12-2","Blechnum camfieldii","Understorey",""
"12131","012-10-12-2","Gahnia clarkei","Understorey",""
"12132","012-10-12-2","Stephania japonica var. discolor","Understorey",""
"12133","012-10-12-2","Glycine microphylla","Understorey",""
"12134","012-10-12-2","Solanum nigrum","Understorey",""
"12135","012-10-12-2","Oplismenus aemulus","Understorey",""
"12136","012-10-12-2","Breynia oblongifolia","Understorey",""
"12137","012-10-12-2","Zoysia macrantha","Understorey",""
"12138","012-10-12-2","Synoum glandulosum","Understorey",""
"12139","012-10-12-2","Ficinia nodusa","Understorey",""
"12140","012-10-12-2","Entolasia stricta","Understorey",""
"12141","012-10-12-2","Galium propinquum","Understorey",""
"12142","012-10-12-2","Cyperus gracilis","Understorey",""
"12143","012-10-12-2","Glycine tabacina","Understorey",""
"12144","012-10-12-2","Monotoca elliptica","Understorey",""
"12145","012-10-12-2","Glycine clandestina","Understorey",""
"12146","012-10-12-2","Notelaea ovata","Understorey",""
"12147","012-10-12-2","Elaeocarpus reticulatus","Understorey",""
"12148","012-10-12-2","Opercularia aspera","Understorey",""
"12149","012-10-12-2","Poa labillardieri","Understorey",""
"12150","012-10-12-2","Poranthera microphylla","Understorey",""
"12151","012-10-12-2","Veronica calycina","Understorey",""
"12152","012-10-12-2","Pratia purpurascens","Understorey",""
"12153","012-10-12-2","Acacia longifolia","Understorey",""
"12154","012-10-12-2","Histiopteris incisa","Understorey",""
"12155","012-1-41-1","Pandorea pandorana","Mid Storey",""
"12156","012-1-41-1","Endiandra sieberi","Mid Storey",""
"12157","012-1-41-1","Syncarpia glomulifera","Mid Storey",""
"12158","012-1-41-1","Acacia longifolia","Mid Storey",""
"12159","012-1-41-1","Syncarpia glomulifera","Overstorey",""
"12160","012-1-41-1","Endiandra sieberi","Overstorey",""
"12161","012-1-41-1","Corymbia gummifera","Overstorey",""
"12162","012-1-41-1","Zieria smithii","Understorey",""
"12163","012-1-41-1","Pteridium esculentum","Understorey",""
"12164","012-1-41-1","Lomandra longifolia","Understorey",""
"12165","012-1-41-1","Leucopogon lanceolatus","Understorey",""
"12166","012-1-41-1","Lepidosperma concavum","Understorey",""
"12167","012-1-41-1","Hibbertia dentata","Understorey",""
"12168","012-1-41-1","Gonocarpus teucrioides","Understorey",""
"12169","012-1-41-1","Galium propinquum","Understorey",""
"12170","012-1-41-1","Eustrephus latifolius","Understorey",""
"12171","012-1-41-1","Elaeocarpus reticulatus","Understorey",""
"12172","012-1-41-1","Dianella caerulea","Understorey",""
"12173","012-1-41-1","Cissus hypoglauca","Understorey",""
"12174","012-1-41-1","Acacia longifolia","Understorey",""
"12175","012-1-41-1","Tristaniopsis collina","Understorey",""
"12176","012-1-41-1","Pandorea pandorana","Understorey",""
"12177","012-1-41-1","Smilax glyciphylla","Understorey",""
"12178","012-1-41-1","Schelhammera undulata","Understorey",""
"12179","012-1-41-1","Syzygium paniculatum","Understorey",""
"12180","012-1-41-1","Breynia oblongifolia","Understorey",""
"12181","012-1-41-1","Notelaea ovata","Understorey",""
"12182","012-1-41-1","Cassytha pubescens","Understorey",""
"12183","012-1-41-1","Microlaena stipoides var. stipoides","Understorey",""
"12184","012-1-41-1","Correa reflexa var. reflexa","Understorey",""
"12185","012-1-41-1","Monotoca elliptica","Understorey",""
"12186","012-1-41-1","Acianthus sp.","Understorey",""
"12187","012-1-41-1","Leucopogon ericoides","Understorey",""
"12188","012-1-41-1","Syncarpia glomulifera","Understorey",""
"12189","012-1-41-1","Synoum glandulosum","Understorey",""
"12190","012-1-41-1","Comesperma volubile","Understorey",""
"12191","012-1-41-1","Hibbertia scandens","Understorey",""
"12192","012-1-41-2","Synoum glandulosum","Mid Storey",""
"12193","012-1-41-2","Cissus hypoglauca","Mid Storey",""
"12194","012-1-41-2","Acacia longifolia","Mid Storey",""
"12195","012-1-41-2","Zieria smithii","Mid Storey",""
"12196","012-1-41-2","Astrotricha asperifolia","Mid Storey",""
"12197","012-1-41-2","Syncarpia glomulifera","Overstorey",""
"12198","012-1-41-2","Eucalyptus pilularis","Overstorey",""
"12199","012-1-41-2","Eucalyptus botryoides","Overstorey",""
"12200","012-1-41-2","Endiandra sieberi","Overstorey",""
"12201","012-1-41-2","Zieria smithii","Understorey",""
"12202","012-1-41-2","Synoum glandulosum","Understorey",""
"12203","012-1-41-2","Pteridium esculentum","Understorey",""
"12204","012-1-41-2","Lomandra longifolia","Understorey",""
"12205","012-1-41-2","Lepidosperma concavum","Understorey",""
"12206","012-1-41-2","Imperata cylindrica var. major","Understorey",""
"12207","012-1-41-2","Hibbertia dentata","Understorey",""
"12208","012-1-41-2","Gonocarpus teucrioides","Understorey",""
"12209","012-1-41-2","Galium propinquum","Understorey",""
"12210","012-1-41-2","Elaeocarpus reticulatus","Understorey",""
"12211","012-1-41-2","Dianella caerulea","Understorey",""
"12212","012-1-41-2","Corybas sp.","Understorey",""
"12213","012-1-41-2","Cissus hypoglauca","Understorey",""
"12214","012-1-41-2","Acacia longifolia","Understorey",""
"12215","012-1-41-2","Clematis aristata","Understorey",""
"12216","012-1-41-2","Microlaena stipoides var. stipoides","Understorey",""
"12217","012-1-41-2","Astrotricha asperifolia","Understorey",""
"12218","012-1-41-2","Tristaniopsis collina","Understorey",""
"12219","012-1-41-2","Cassytha pubescens","Understorey",""
"12220","012-1-41-2","Pandorea pandorana","Understorey",""
"12221","012-1-41-2","Syncarpia glomulifera","Understorey",""
"12222","012-1-41-2","Eustrephus latifolius","Understorey",""
"12223","012-1-41-2","Leucopogon lanceolatus","Understorey",""
"12224","012-1-41-2","Smilax glyciphylla","Understorey",""
"12225","012-1-41-2","Hibbertia scandens","Understorey",""
"12226","012-1-41-2","Breynia oblongifolia","Understorey",""
"12227","012-1-41-2","Livistona australis","Understorey",""
"12228","012-1-41-2","Platysace lanceolata","Understorey",""
"12229","012-1-41-2","Schelhammera undulata","Understorey",""
"12230","012-1-41-2","Syzygium paniculatum","Understorey",""
"12231","012-1-41-2","Acianthus sp.","Understorey",""
"12232","012-1-41-2","Notelaea ovata","Understorey",""
"12233","012-1-41-2","Marsdenia suaveolens","Understorey",""
"12234","012-10-17-1","Leptospermum laevigatum","Mid Storey",""
"12235","012-10-17-1","Banksia integrifolia","Mid Storey",""
"12236","012-10-17-1","Solanum prinophyllum","Understorey",""
"12237","012-10-17-1","Pteridium esculentum","Understorey",""
"12238","012-10-17-1","Oplismenus imbecillis","Understorey",""
"12239","012-10-17-1","Omalanthus populifolius","Understorey",""
"12240","012-10-17-1","Notelaea longifolia forma longifolia","Understorey",""
"12241","012-10-17-1","Marsdenia rostrata","Understorey",""
"12242","012-10-17-1","Lomandra multiflora subsp. multiflora","Understorey",""
"12243","012-10-17-1","Lomandra longifolia","Understorey",""
"12244","012-10-17-1","Lepidosperma concavum","Understorey",""
"12245","012-10-17-1","Imperata cylindrica var. major","Understorey",""
"12246","012-10-17-1","Hibbertia scandens","Understorey",""
"12247","012-10-17-1","Gonocarpus teucrioides","Understorey",""
"12248","012-10-17-1","Dichondra repens","Understorey",""
"12249","012-10-17-1","Dianella caerulea","Understorey",""
"12250","012-10-17-1","Desmodium varians","Understorey",""
"12251","012-10-17-1","Breynia oblongifolia","Understorey",""
"12252","012-10-17-1","Banksia integrifolia","Understorey",""
"12253","012-10-17-1","Lagenifera stipitata","Understorey",""
"12254","012-10-17-1","Solanum pungetium","Understorey",""
"12255","012-10-17-1","Glycine microphylla","Understorey",""
"12256","012-10-17-1","Viola hederacea","Understorey",""
"12257","012-10-17-1","Clematis aristata","Understorey",""
"12258","012-10-17-1","Acacia longifolia","Understorey",""
"12259","012-10-17-1","Galium propinquum","Understorey",""
"12260","012-10-17-1","Cissus hypoglauca","Understorey",""
"12261","012-10-17-1","Ficus coronata","Understorey",""
"12262","012-10-17-1","Caladenia carnea","Understorey",""
"12263","012-10-17-1","Parsonsia straminea","Understorey",""
"12264","012-10-17-1","Oplismenus aemulus","Understorey",""
"12265","012-10-17-1","Calochlaena dubia","Understorey",""
"12266","012-10-17-1","Poranthera microphylla","Understorey",""
"12267","012-10-17-1","Veronica calycina","Understorey",""
"12268","012-10-17-1","Stephania japonica var. discolor","Understorey",""
"12269","012-10-17-1","Pratia purpurascens","Understorey",""
"12270","012-10-17-1","Poa labillardieri","Understorey",""
"12271","012-10-17-1","Ficinia nodusa","Understorey",""
"12272","012-10-17-1","Microlaena stipoides var. stipoides","Understorey",""
"12273","012-10-17-1","Synoum glandulosum","Understorey",""
"12274","012-10-17-1","Senecio minimus","Understorey",""
"12275","012-10-17-2","Leptospermum laevigatum","Mid Storey",""
"12276","012-10-17-2","Banksia integrifolia","Mid Storey",""
"12277","012-10-17-2","Solanum prinophyllum","Understorey",""
"12278","012-10-17-2","Smilax glyciphylla","Understorey",""
"12279","012-10-17-2","Pteridium esculentum","Understorey",""
"12280","012-10-17-2","Oplismenus imbecillis","Understorey",""
"12281","012-10-17-2","Monotoca elliptica","Understorey",""
"12282","012-10-17-2","Lomandra longifolia","Understorey",""
"12283","012-10-17-2","Lepidosperma concavum","Understorey",""
"12284","012-10-17-2","Hibbertia scandens","Understorey",""
"12285","012-10-17-2","Gonocarpus teucrioides","Understorey",""
"12286","012-10-17-2","Dianella caerulea","Understorey",""
"12287","012-10-17-2","Banksia integrifolia","Understorey",""
"12288","012-10-17-2","Dichondra repens","Understorey",""
"12289","012-10-17-2","Lomandra multiflora subsp. multiflora","Understorey",""
"12290","012-10-17-2","Microlaena stipoides var. stipoides","Understorey",""
"12291","012-10-17-2","Billardiera scandens","Understorey",""
"12292","012-10-17-2","Cyperus gracilis","Understorey",""
"12293","012-10-17-2","Asteraceae sp.","Understorey",""
"12294","012-10-17-2","Breynia oblongifolia","Understorey",""
"12295","012-10-17-2","Leptospermum laevigatum","Understorey",""
"12296","012-10-17-2","Coronidium oxylepis","Understorey",""
"12297","012-10-17-2","Bossiaea ensata","Understorey",""
"12298","012-10-17-2","Leucopogon ericoides","Understorey",""
"12299","012-10-17-2","Pterostylis sp.","Understorey",""
"12300","012-10-17-2","Oplismenus aemulus","Understorey",""
"12301","012-10-17-2","Histiopteris incisa","Understorey",""
"12302","012-10-17-2","Ficinia nodusa","Understorey",""
"12303","012-10-17-2","Viola hederacea","Understorey",""
"12304","012-10-17-2","Acacia longifolia","Understorey",""
"12305","012-10-17-2","Synoum glandulosum","Understorey",""
"12306","012-10-17-2","Gahnia clarkei","Understorey",""
"12307","012-10-17-2","Stephania japonica var. discolor","Understorey",""
"12308","012-10-17-2","Ficus coronata","Understorey",""
"12309","012-10-17-2","Parsonsia straminea","Understorey",""
"12310","012-10-17-2","Entolasia marginata","Understorey",""
"12311","012-10-17-2","Helichrysum elatum","Understorey",""
"12312","012-10-17-2","Lagenifera stipitata","Understorey",""
"12313","012-10-17-2","Cissus hypoglauca","Understorey",""
"12314","012-10-17-2","Elaeocarpus reticulatus","Understorey",""
"12315","012-10-17-2","Notelaea ovata","Understorey",""
"12316","012-10-18-1","Leptospermum laevigatum","Mid Storey",""
"12317","012-10-18-1","Banksia serrata","Mid Storey",""
"12318","012-10-18-1","Banksia integrifolia","Mid Storey",""
"12319","012-10-18-1","Baeckea imbricata","Mid Storey",""
"12320","012-10-18-1","Westringia fruticosa","Understorey",""
"12321","012-10-18-1","Pteridium esculentum","Understorey",""
"12322","012-10-18-1","Monotoca elliptica","Understorey",""
"12323","012-10-18-1","Lepidosperma gunnii","Understorey",""
"12324","012-10-18-1","Hibbertia scandens","Understorey",""
"12325","012-10-18-1","Dianella caerulea","Understorey",""
"12326","012-10-18-1","Banksia integrifolia","Understorey",""
"12327","012-10-18-1","Acacia longifolia","Understorey",""
"12328","012-10-18-1","Imperata cylindrica var. major","Understorey",""
"12329","012-10-18-1","Baumea juncea","Understorey",""
"12330","012-10-18-1","Lomandra longifolia","Understorey",""
"12331","012-10-18-1","Entolasia marginata","Understorey",""
"12332","012-10-18-1","Glycine tabacina","Understorey",""
"12333","012-10-18-1","Pterostylis sp.","Understorey","basal leaves only"
"12334","012-10-18-2","Leptospermum laevigatum","Mid Storey",""
"12335","012-10-18-2","Banksia serrata","Mid Storey",""
"12336","012-10-18-2","Banksia integrifolia","Mid Storey",""
"12337","012-10-18-2","Monotoca elliptica","Mid Storey",""
"12338","012-10-18-2","Acacia longifolia","Mid Storey",""
"12339","012-10-18-2","Pteridium esculentum","Understorey",""
"12340","012-10-18-2","Monotoca elliptica","Understorey",""
"12341","012-10-18-2","Lomandra longifolia","Understorey",""
"12342","012-10-18-2","Leptospermum laevigatum","Understorey",""
"12343","012-10-18-2","Lepidosperma gunnii","Understorey",""
"12344","012-10-18-2","Imperata cylindrica var. major","Understorey",""
"12345","012-10-18-2","Banksia serrata","Understorey",""
"12346","012-10-18-2","Banksia integrifolia","Understorey",""
"12347","012-10-18-2","Baeckea imbricata","Understorey",""
"12348","012-10-18-2","Acacia suaveolens","Understorey",""
"12349","012-10-18-2","Acacia longifolia","Understorey",""
"12350","012-10-18-2","Hypolaena fastigiata","Understorey",""
"12351","012-10-18-2","Baumea juncea","Understorey",""
"12352","012-10-18-2","Viola hederacea","Understorey",""
"12353","012-10-18-2","Clematis aristata","Understorey",""
"12354","012-10-18-2","Parsonsia straminea","Understorey",""
"12355","012-10-20-1","Monotoca elliptica","Mid Storey",""
"12356","012-10-20-1","Leptospermum laevigatum","Mid Storey",""
"12357","012-10-20-1","Leptospermum laevigatum","Overstorey",""
"12358","012-10-20-1","Banksia serrata","Overstorey",""
"12359","012-10-20-1","Viola hederacea","Understorey",""
"12360","012-10-20-1","Synoum glandulosum","Understorey",""
"12361","012-10-20-1","Pteridium esculentum","Understorey",""
"12362","012-10-20-1","Oxalis perennans","Understorey",""
"12363","012-10-20-1","Lomandra longifolia","Understorey",""
"12364","012-10-20-1","Leucopogon lanceolatus","Understorey",""
"12365","012-10-20-1","Imperata cylindrica var. major","Understorey",""
"12366","012-10-20-1","Hibbertia scandens","Understorey",""
"12367","012-10-20-1","Gonocarpus teucrioides","Understorey",""
"12368","012-10-20-1","Glycine clandestina","Understorey",""
"12369","012-10-20-1","Dianella caerulea","Understorey",""
"12370","012-10-20-1","Desmodium varians","Understorey",""
"12371","012-10-20-1","Banksia serrata","Understorey",""
"12372","012-10-20-1","Banksia integrifolia","Understorey",""
"12373","012-10-20-1","Acianthus sp.","Understorey",""
"12374","012-10-20-1","Lepidosperma concavum","Understorey",""
"12375","012-10-20-1","Acacia longifolia","Understorey",""
"12376","012-10-20-1","Lagenifera stipitata","Understorey",""
"12377","012-10-20-1","Entolasia marginata","Understorey",""
"12378","012-10-20-1","Themeda australis","Understorey",""
"12379","012-10-20-1","Eustrephus latifolius","Understorey",""
"12380","012-10-20-1","Entolasia stricta","Understorey",""
"12381","012-10-20-1","Notelaea longifolia forma longifolia","Understorey",""
"12382","012-10-20-1","Schelhammera undulata","Understorey",""
"12383","012-10-20-1","Galium propinquum","Understorey",""
"12384","012-10-20-1","Ficinia nodusa","Understorey",""
"12385","012-10-20-1","Helichrysum elatum","Understorey",""
"12386","012-10-20-1","Glycine tabacina","Understorey",""
"12387","012-10-20-1","Dichondra repens","Understorey",""
"12388","012-10-20-1","Oplismenus aemulus","Understorey",""
"12389","012-10-20-1","Breynia oblongifolia","Understorey",""
"12390","012-10-20-1","Asteraceae sp.","Understorey",""
"12391","012-10-20-1","Poranthera microphylla","Understorey",""
"12392","012-10-20-1","Marsdenia suaveolens","Understorey",""
"12393","012-10-20-1","Eucalyptus sp.","Understorey",""
"12394","012-10-20-1","Microlaena stipoides var. stipoides","Understorey",""
"12395","012-10-20-1","Marsdenia rostrata","Understorey",""
"12396","012-10-20-1","Billardiera scandens","Understorey",""
"12397","012-10-20-1","Monotoca elliptica","Understorey",""
"12398","012-10-20-2","Synoum glandulosum","Mid Storey",""
"12399","012-10-20-2","Monotoca elliptica","Mid Storey",""
"12400","012-10-20-2","Leptospermum laevigatum","Mid Storey",""
"12401","012-10-20-2","Eucalyptus botryoides","Mid Storey",""
"12402","012-10-20-2","Banksia serrata","Mid Storey",""
"12403","012-10-20-2","Billardiera scandens","Mid Storey",""
"12404","012-10-20-2","Banksia serrata","Overstorey",""
"12405","012-10-20-2","Eucalyptus botryoides","Overstorey",""
"12406","012-10-20-2","Viola hederacea","Understorey",""
"12407","012-10-20-2","Tylophora barbata","Understorey",""
"12408","012-10-20-2","Synoum glandulosum","Understorey",""
"12409","012-10-20-2","Pteridium esculentum","Understorey",""
"12410","012-10-20-2","Monotoca elliptica","Understorey",""
"12411","012-10-20-2","Lomandra longifolia","Understorey",""
"12412","012-10-20-2","Imperata cylindrica var. major","Understorey",""
"12413","012-10-20-2","Hibbertia scandens","Understorey",""
"12414","012-10-20-2","Helichrysum elatum","Understorey",""
"12415","012-10-20-2","Gonocarpus teucrioides","Understorey",""
"12416","012-10-20-2","Glycine clandestina","Understorey",""
"12417","012-10-20-2","Dianella caerulea","Understorey",""
"12418","012-10-20-2","Desmodium varians","Understorey",""
"12419","012-10-20-2","Acianthus sp.","Understorey",""
"12420","012-10-20-2","Lepidosperma concavum","Understorey",""
"12421","012-10-20-2","Eustrephus latifolius","Understorey",""
"12422","012-10-20-2","Themeda australis","Understorey",""
"12423","012-10-20-2","Marsdenia suaveolens","Understorey",""
"12424","012-10-20-2","Schelhammera undulata","Understorey",""
"12425","012-10-20-2","Galium propinquum","Understorey",""
"12426","012-10-20-2","Leucopogon lanceolatus","Understorey",""
"12427","012-10-20-2","Notelaea longifolia forma longifolia","Understorey",""
"12428","012-10-20-2","Acacia longissima","Understorey",""
"12429","012-10-20-2","Oplismenus aemulus","Understorey",""
"12430","012-10-20-2","Lagenifera stipitata","Understorey",""
"12431","012-10-20-2","Billardiera scandens","Understorey",""
"12432","012-10-20-2","Entolasia marginata","Understorey",""
"12433","012-10-20-2","Cissus hypoglauca","Understorey",""
"12434","012-10-20-2","Oxalis sp.","Understorey",""
"12435","012-10-20-2","Pittosporum revolutum","Understorey",""
"12436","012-10-32-1","Monotoca elliptica","Mid Storey",""
"12437","012-10-32-1","Leptospermum laevigatum","Mid Storey",""
"12438","012-10-32-1","Eucalyptus botryoides","Mid Storey",""
"12439","012-10-32-1","Cissus hypoglauca","Mid Storey",""
"12440","012-10-32-1","Banksia serrata","Mid Storey",""
"12441","012-10-32-1","Eucalyptus sieberi","Mid Storey",""
"12442","012-10-32-1","Elaeocarpus reticulatus","Mid Storey",""
"12443","012-10-32-1","Leptospermum laevigatum","Overstorey",""
"12444","012-10-32-1","Eucalyptus botryoides","Overstorey",""
"12445","012-10-32-1","Banksia integrifolia","Overstorey",""
"12446","012-10-32-1","Synoum glandulosum","Understorey",""
"12447","012-10-32-1","Pteridium esculentum","Understorey",""
"12448","012-10-32-1","Monotoca elliptica","Understorey",""
"12449","012-10-32-1","Marsdenia rostrata","Understorey",""
"12450","012-10-32-1","Lomandra longifolia","Understorey",""
"12451","012-10-32-1","Leucopogon lanceolatus","Understorey",""
"12452","012-10-32-1","Lepidosperma concavum","Understorey",""
"12453","012-10-32-1","Hibbertia scandens","Understorey",""
"12454","012-10-32-1","Gonocarpus teucrioides","Understorey",""
"12455","012-10-32-1","Entolasia marginata","Understorey",""
"12456","012-10-32-1","Elaeocarpus reticulatus","Understorey",""
"12457","012-10-32-1","Dianella caerulea","Understorey",""
"12458","012-10-32-1","Clematis aristata","Understorey",""
"12459","012-10-32-1","Cissus hypoglauca","Understorey",""
"12460","012-10-32-1","Banksia serrata","Understorey",""
"12461","012-10-32-1","Acacia longifolia","Understorey",""
"12462","012-10-32-1","Eustrephus latifolius","Understorey",""
"12463","012-10-32-1","Patersonia sericea","Understorey",""
"12464","012-10-32-1","Oplismenus aemulus","Understorey",""
"12465","012-10-32-1","Schelhammera undulata","Understorey",""
"12466","012-10-32-1","Glycine tabacina","Understorey",""
"12467","012-10-32-1","Smilax glyciphylla","Understorey",""
"12468","012-10-32-1","Galium propinquum","Understorey",""
"12469","012-10-32-1","Opercularia aspera","Understorey",""
"12470","012-10-32-1","Imperata cylindrica var. major","Understorey",""
"12471","012-10-32-1","Billardiera scandens","Understorey",""
