"year","month_year","site_name","site_code","site_grid","trip_no","nights","no_traps","total_trap_nights","species","recapt_same_trip","captures","captures_100tn","family"
1990,"Sep.90","Main Camp","MC","MC1","4",4,36,144,"Sminthopsis youngsoni",NA,3,2.083333333,"Dasyuridae"
1990,"Sep.90","Main Camp","MC","MC2","4",4,36,144,"Pseudomys hermannsburgensis",NA,3,2.083333333,"Muridae"
1990,"Sep.90","Main Camp","MC","MC2","4",4,36,144,"Notomys alexis",NA,1,0.694444444,"Muridae"
1990,"Sep.90","Main Camp","MC","MC1","4",4,36,144,"No captures",NA,1,0.694444444,""
1990,"Sep.90","Main Camp","MC","MC4","4",4,36,144,"Notomys alexis",NA,7,4.861111111,"Muridae"
1991,"Apr.91","Main Camp","MC","MC11","5",4,36,144,"Notomys alexis",NA,3,2.083333333,"Muridae"
1991,"Apr.91","Main Camp","MC","MC11","5",4,36,144,"Pseudomys hermannsburgensis",NA,2,1.388888889,"Muridae"
1991,"Apr.91","Main Camp","MC","MC2","5",4,36,144,"Ningaui ridei",NA,1,0.694444444,"Dasyuridae"
1991,"Apr.91","Main Camp","MC","MC2","5",4,36,144,"Notomys alexis",NA,1,0.694444444,"Muridae"
1991,"Apr.91","Main Camp","MC","MC2","5",4,36,144,"Pseudomys hermannsburgensis",NA,8,5.555555556,"Muridae"
1991,"Apr.91","Main Camp","MC","MC2","5",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1991,"Apr.91","Main Camp","MC","MC4","5",2,36,72,"No captures",NA,1,1.388888889,""
1991,"Apr.91","Main Camp","MC","MC11","5",4,36,144,"No captures",NA,1,0.694444444,""
1991,"Apr.91","Main Camp","MC","MC4","5",2,36,72,"Ningaui ridei",NA,1,1.388888889,"Dasyuridae"
1991,"Apr.91","Main Camp","MC","MC4","5",2,36,72,"Sminthopsis youngsoni",NA,1,1.388888889,"Dasyuridae"
1991,"Apr.91","Main Camp","MC","MC4","5",2,36,72,"Pseudomys hermannsburgensis",NA,3,4.166666667,"Muridae"
1991,"Apr.91","Main Camp","MC","MC1","5",4,36,144,"Notomys alexis",NA,5,3.472222222,"Muridae"
1991,"Apr.91","Main Camp","MC","MC1","5",4,36,144,"Pseudomys hermannsburgensis",NA,8,5.555555556,"Muridae"
1991,"May.91","Main Camp","MC","MC2","6",6,36,216,"Notomys alexis",NA,5,2.314814815,"Muridae"
1991,"May.91","Main Camp","MC","MC11","6",6,36,216,"Rattus villosissimus",NA,2,0.925925926,"Muridae"
1991,"May.91","Main Camp","MC","MC11","6",6,36,216,"Pseudomys hermannsburgensis",NA,2,0.925925926,"Muridae"
1991,"May.91","Main Camp","MC","MC11","6",6,36,216,"No captures",NA,4,1.851851852,""
1991,"May.91","Main Camp","MC","MC1","6",6,36,216,"No captures",NA,1,0.462962963,""
1991,"May.91","Main Camp","MC","MC4","6",5,36,180,"Dasycercus cristicauda",NA,1,0.555555556,"Dasyuridae"
1991,"May.91","Main Camp","MC","MC4","6",5,36,180,"Ningaui ridei",NA,1,0.555555556,"Dasyuridae"
1991,"May.91","Main Camp","MC","MC4","6",5,36,180,"Notomys alexis",NA,7,3.888888889,"Muridae"
1991,"May.91","Main Camp","MC","MC4","6",5,36,180,"Pseudomys hermannsburgensis",NA,8,4.444444444,"Muridae"
1991,"May.91","Main Camp","MC","MC4","6",5,36,180,"Rattus villosissimus",NA,5,2.777777778,"Muridae"
1991,"May.91","Main Camp","MC","MC1","6",6,36,216,"Rattus villosissimus",NA,12,5.555555556,"Muridae"
1991,"May.91","Main Camp","MC","MC1","6",6,36,216,"Notomys alexis",NA,4,1.851851852,"Muridae"
1991,"May.91","Main Camp","MC","MC2","6",6,36,216,"Pseudomys hermannsburgensis",NA,10,4.62962963,"Muridae"
1991,"May.91","Main Camp","MC","MC2","6",6,36,216,"Sminthopsis youngsoni",NA,1,0.462962963,"Dasyuridae"
1991,"May.91","Main Camp","MC","MC1","6",6,36,216,"Pseudomys hermannsburgensis",NA,8,3.703703704,"Muridae"
1991,"May.91","Main Camp","MC","MC2","6",6,36,216,"Rattus villosissimus",NA,9,4.166666667,"Muridae"
1991,"May.91","Main Camp","MC","MC10","6",6,36,216,"Sminthopsis youngsoni",NA,1,0.462962963,"Dasyuridae"
1991,"May.91","Main Camp","MC","MC4","6",5,36,180,"Sminthopsis youngsoni",NA,1,0.555555556,"Dasyuridae"
1991,"May.91","Main Camp","MC","MC10","6",6,36,216,"Dasycercus cristicauda",NA,1,0.462962963,"Dasyuridae"
1991,"May.91","Main Camp","MC","MC10","6",6,36,216,"No captures",NA,2,0.925925926,""
1991,"May.91","Main Camp","MC","MC10","6",6,36,216,"Notomys alexis",NA,1,0.462962963,"Muridae"
1991,"May.91","Main Camp","MC","MC10","6",6,36,216,"Pseudomys hermannsburgensis",NA,4,1.851851852,"Muridae"
1991,"Jul.91","Main Camp","MC","MC11","7",4,36,144,"Pseudomys hermannsburgensis",NA,20,13.88888889,"Muridae"
1991,"Jul.91","Main Camp","MC","MC11","7",4,36,144,"Rattus villosissimus",NA,3,2.083333333,"Muridae"
1991,"Jul.91","Main Camp","MC","MC2","7",4,36,144,"Notomys alexis",NA,12,8.333333333,"Muridae"
1991,"Jul.91","Main Camp","MC","MC2","7",4,36,144,"Pseudomys hermannsburgensis",NA,25,17.36111111,"Muridae"
1991,"Jul.91","Main Camp","MC","MC2","7",4,36,144,"Rattus villosissimus",NA,4,2.777777778,"Muridae"
1991,"Jul.91","Main Camp","MC","MC1","7",4,36,144,"Notomys alexis",NA,16,11.11111111,"Muridae"
1991,"Jul.91","Main Camp","MC","MC10","7",4,36,144,"Pseudomys hermannsburgensis",NA,11,7.638888889,"Muridae"
1991,"Jul.91","Main Camp","MC","MC4","7",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1991,"Jul.91","Main Camp","MC","MC4","7",4,36,144,"Rattus villosissimus",NA,3,2.083333333,"Muridae"
1991,"Jul.91","Main Camp","MC","MC4","7",4,36,144,"Pseudomys hermannsburgensis",NA,29,20.13888889,"Muridae"
1991,"Jul.91","Main Camp","MC","MC4","7",4,36,144,"Notomys alexis",NA,17,11.80555556,"Muridae"
1991,"Jul.91","Main Camp","MC","MC1","7",4,36,144,"Rattus villosissimus",NA,4,2.777777778,"Muridae"
1991,"Jul.91","Main Camp","MC","MC10","7",4,36,144,"Notomys alexis",NA,3,2.083333333,"Muridae"
1991,"Jul.91","Main Camp","MC","MC11","7",4,36,144,"Notomys alexis",NA,12,8.333333333,"Muridae"
1991,"Jul.91","Main Camp","MC","MC10","7",4,36,144,"Sminthopsis youngsoni",NA,2,1.388888889,"Dasyuridae"
1991,"Jul.91","Main Camp","MC","MC1","7",4,36,144,"Sminthopsis youngsoni",NA,2,1.388888889,"Dasyuridae"
1991,"Jul.91","Main Camp","MC","MC2","7",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1991,"Jul.91","Main Camp","MC","MC1","7",4,36,144,"Pseudomys hermannsburgensis",NA,26,18.05555556,"Muridae"
1991,"Jul.91","Main Camp","MC","MC10","7",4,36,144,"No captures",NA,1,0.694444444,""
1991,"Aug.91","Main Camp","MC","MC4","8",7,36,252,"Notomys alexis",NA,15,5.952380952,"Muridae"
1991,"Aug.91","Main Camp","MC","MC2","8",7,36,252,"Notomys alexis",NA,8,3.174603175,"Muridae"
1991,"Aug.91","Main Camp","MC","MC2","8",7,36,252,"Pseudomys hermannsburgensis",NA,18,7.142857143,"Muridae"
1991,"Aug.91","Main Camp","MC","MC4","8",7,36,252,"Pseudomys hermannsburgensis",NA,27,10.71428571,"Muridae"
1991,"Aug.91","Main Camp","MC","MC1","8",7,36,252,"Notomys alexis",NA,11,4.365079365,"Muridae"
1991,"Aug.91","Main Camp","MC","MC1","8",7,36,252,"Pseudomys hermannsburgensis",NA,21,8.333333333,"Muridae"
1991,"Oct.91","Main Camp","MC","MC11","9",9,36,324,"No captures",NA,4,1.234567901,""
1991,"Oct.91","Main Camp","MC","MC1","9",9,36,324,"Pseudomys hermannsburgensis",NA,2,0.617283951,"Muridae"
1991,"Oct.91","Main Camp","MC","MC1","9",9,36,324,"Notomys alexis",NA,1,0.308641975,"Muridae"
1991,"Oct.91","Main Camp","MC","MC10","9",9,36,324,"Ningaui ridei",NA,2,0.617283951,"Dasyuridae"
1991,"Oct.91","Main Camp","MC","MC10","9",9,36,324,"Notomys alexis",NA,5,1.543209877,"Muridae"
1991,"Oct.91","Main Camp","MC","MC10","9",9,36,324,"Pseudomys hermannsburgensis",NA,13,4.012345679,"Muridae"
1991,"Oct.91","Main Camp","MC","MC10","9",9,36,324,"Sminthopsis youngsoni",NA,3,0.925925926,"Dasyuridae"
1991,"Oct.91","Main Camp","MC","MC4","9",9,36,324,"Notomys alexis",NA,13,4.012345679,"Muridae"
1991,"Oct.91","Main Camp","MC","MC4","9",9,36,324,"Pseudomys hermannsburgensis",NA,7,2.160493827,"Muridae"
1991,"Oct.91","Main Camp","MC","MC1","9",9,36,324,"No captures",NA,6,1.851851852,""
1991,"Oct.91","Main Camp","MC","MC11","9",9,36,324,"Ningaui ridei",NA,1,0.308641975,"Dasyuridae"
1991,"Oct.91","Main Camp","MC","MC4","9",9,36,324,"No captures",NA,4,1.234567901,""
1991,"Oct.91","Main Camp","MC","MC11","9",9,36,324,"Pseudomys hermannsburgensis",NA,10,3.086419753,"Muridae"
1991,"Oct.91","Main Camp","MC","MC2","9",9,36,324,"Sminthopsis youngsoni",NA,2,0.617283951,"Dasyuridae"
1991,"Oct.91","Main Camp","MC","MC2","9",9,36,324,"Pseudomys hermannsburgensis",NA,5,1.543209877,"Muridae"
1991,"Oct.91","Main Camp","MC","MC2","9",9,36,324,"Notomys alexis",NA,5,1.543209877,"Muridae"
1991,"Oct.91","Main Camp","MC","MC2","9",9,36,324,"No captures",NA,5,1.543209877,""
1991,"Oct.91","Main Camp","MC","MC11","9",9,36,324,"Notomys alexis",NA,8,2.469135802,"Muridae"
1991,"Oct.91","Main Camp","MC","MC4","9",9,36,324,"Sminthopsis youngsoni",NA,1,0.308641975,"Dasyuridae"
1991,"Nov.91","Main Camp","MC","MC1","9.5",4,36,144,"Notomys alexis",NA,6,4.166666667,"Muridae"
1991,"Nov.91","Main Camp","MC","MC2","9.5",4,36,144,"Notomys alexis",NA,4,2.777777778,"Muridae"
1991,"Nov.91","Main Camp","MC","MC1","9.5",4,36,144,"Pseudomys hermannsburgensis",NA,5,3.472222222,"Muridae"
1991,"Nov.91","Main Camp","MC","MC10","9.5",4,36,144,"Notomys alexis",NA,10,6.944444444,"Muridae"
1991,"Nov.91","Main Camp","MC","MC10","9.5",4,36,144,"Pseudomys hermannsburgensis",NA,19,13.19444444,"Muridae"
1991,"Nov.91","Main Camp","MC","MC2","9.5",4,36,144,"Pseudomys hermannsburgensis",NA,6,4.166666667,"Muridae"
1991,"Nov.91","Main Camp","MC","MC1","9.5",4,36,144,"No captures",NA,1,0.694444444,""
1991,"Nov.91","Main Camp","MC","MC2","9.5",4,36,144,"Rattus villosissimus",NA,1,0.694444444,"Muridae"
1991,"Nov.91","Main Camp","MC","MC1","9.5",4,36,144,"Dasycercus cristicauda",NA,1,0.694444444,"Dasyuridae"
1992,"Apr.92","Main Camp","MC","MC11","10",4,36,144,"Rattus villosissimus",NA,1,0.694444444,"Muridae"
1992,"Apr.92","Main Camp","MC","MC10","10",4,36,144,"Pseudomys hermannsburgensis",NA,1,0.694444444,"Muridae"
1992,"Apr.92","Main Camp","MC","MC10","10",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1992,"Apr.92","Main Camp","MC","MC2","10",4,36,144,"Pseudomys hermannsburgensis",NA,6,4.166666667,"Muridae"
1992,"Apr.92","Main Camp","MC","MC11","10",4,36,144,"No captures",NA,1,0.694444444,""
1992,"Apr.92","Main Camp","MC","MC11","10",4,36,144,"Pseudomys hermannsburgensis",NA,6,4.166666667,"Muridae"
1992,"Apr.92","Main Camp","MC","MC2","10",4,36,144,"No captures",NA,1,0.694444444,""
1992,"Apr.92","Main Camp","MC","MC11","10",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1992,"Apr.92","Main Camp","MC","MC2","10",4,36,144,"Notomys alexis",NA,2,1.388888889,"Muridae"
1992,"Apr.92","Main Camp","MC","MC4","10",3,36,108,"Sminthopsis youngsoni",NA,2,1.851851852,"Dasyuridae"
1992,"Apr.92","Main Camp","MC","MC11","10",4,36,144,"Notomys alexis",NA,8,5.555555556,"Muridae"
1992,"Apr.92","Main Camp","MC","MC4","10",3,36,108,"Pseudomys hermannsburgensis",NA,10,9.259259259,"Muridae"
1992,"Apr.92","Main Camp","MC","MC4","10",3,36,108,"Notomys alexis",NA,2,1.851851852,"Muridae"
1992,"Apr.92","Main Camp","MC","MC10","10",4,36,144,"No captures",NA,2,1.388888889,""
1992,"Apr.92","Main Camp","MC","MC1","10",2,36,72,"Pseudomys hermannsburgensis",NA,3,4.166666667,"Muridae"
1992,"Apr.92","Main Camp","MC","MC1","10",2,36,72,"Notomys alexis",NA,1,1.388888889,"Muridae"
1992,"Jun.92","Main Camp","MC","MC1","11",5,36,180,"Rattus villosissimus",NA,3,1.666666667,"Muridae"
1992,"Jun.92","Main Camp","MC","MC1","11",5,36,180,"Pseudomys hermannsburgensis",NA,17,9.444444444,"Muridae"
1992,"Jun.92","Main Camp","MC","MC1","11",5,36,180,"Notomys alexis",NA,16,8.888888889,"Muridae"
1992,"Jun.92","Main Camp","MC","MC4","11",7,36,252,"No captures",NA,2,0.793650794,""
1992,"Jun.92","Main Camp","MC","MC11","11",7,36,252,"Dasycercus cristicauda",NA,1,0.396825397,"Dasyuridae"
1992,"Jun.92","Main Camp","MC","MC2","11",5,36,180,"Rattus villosissimus",NA,20,11.11111111,"Muridae"
1992,"Jun.92","Main Camp","MC","MC11","11",7,36,252,"Notomys alexis",NA,29,11.50793651,"Muridae"
1992,"Jun.92","Main Camp","MC","MC11","11",7,36,252,"Pseudomys hermannsburgensis",NA,22,8.73015873,"Muridae"
1992,"Jun.92","Main Camp","MC","MC11","11",7,36,252,"Sminthopsis hirtipes",NA,1,0.396825397,"Dasyuridae"
1992,"Jun.92","Main Camp","MC","MC4","11",7,36,252,"Notomys alexis",NA,8,3.174603175,"Muridae"
1992,"Jun.92","Main Camp","MC","MC4","11",7,36,252,"Pseudomys hermannsburgensis",NA,17,6.746031746,"Muridae"
1992,"Jun.92","Main Camp","MC","MC2","11",5,36,180,"Pseudomys hermannsburgensis",NA,9,5,"Muridae"
1992,"Jun.92","Main Camp","MC","MC10","11",7,36,252,"Sminthopsis youngsoni",NA,1,0.396825397,"Dasyuridae"
1992,"Jun.92","Main Camp","MC","MC10","11",7,36,252,"Pseudomys hermannsburgensis",NA,13,5.158730159,"Muridae"
1992,"Jun.92","Main Camp","MC","MC10","11",7,36,252,"Notomys alexis",NA,36,14.28571429,"Muridae"
1992,"Jun.92","Main Camp","MC","MC10","11",7,36,252,"Dasycercus cristicauda",NA,3,1.19047619,"Dasyuridae"
1992,"Jun.92","Main Camp","MC","MC4","11",7,36,252,"Rattus villosissimus",NA,2,0.793650794,"Muridae"
1992,"Jun.92","Main Camp","MC","MC2","11",5,36,180,"Notomys alexis",NA,12,6.666666667,"Muridae"
1992,"Aug.92","Main Camp","MC","MC4","12",4,36,144,"Dasycercus cristicauda",NA,1,0.694444444,"Dasyuridae"
1992,"Aug.92","Main Camp","MC","MC2","12",4,36,144,"Notomys alexis",NA,8,5.555555556,"Muridae"
1992,"Aug.92","Main Camp","MC","MC2","12",4,36,144,"Pseudomys hermannsburgensis",NA,24,16.66666667,"Muridae"
1992,"Aug.92","Main Camp","MC","MC2","12",4,36,144,"Rattus villosissimus",NA,4,2.777777778,"Muridae"
1992,"Aug.92","Main Camp","MC","MC10","12",4,36,144,"Notomys alexis",NA,13,9.027777778,"Muridae"
1992,"Aug.92","Main Camp","MC","MC4","12",4,36,144,"Notomys alexis",NA,12,8.333333333,"Muridae"
1992,"Aug.92","Main Camp","MC","MC4","12",4,36,144,"Rattus villosissimus",NA,3,2.083333333,"Muridae"
1992,"Aug.92","Main Camp","MC","MC4","12",4,36,144,"Pseudomys hermannsburgensis",NA,39,27.08333333,"Muridae"
1992,"Aug.92","Main Camp","MC","MC10","12",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1992,"Aug.92","Main Camp","MC","MC1","12",4,36,144,"Notomys alexis",NA,7,4.861111111,"Muridae"
1992,"Aug.92","Main Camp","MC","MC1","12",4,36,144,"Pseudomys hermannsburgensis",NA,19,13.19444444,"Muridae"
1992,"Aug.92","Main Camp","MC","MC1","12",4,36,144,"Rattus villosissimus",NA,8,5.555555556,"Muridae"
1992,"Aug.92","Main Camp","MC","MC10","12",4,36,144,"Pseudomys hermannsburgensis",NA,27,18.75,"Muridae"
1992,"Aug.92","Main Camp","MC","MC10","12",4,36,144,"Rattus villosissimus",NA,1,0.694444444,"Muridae"
1992,"Aug.92","Main Camp","MC","MC10","12",4,36,144,"Sminthopsis hirtipes",NA,2,1.388888889,"Dasyuridae"
1992,"Aug.92","Main Camp","MC","MC11","12",4,36,144,"Rattus villosissimus",NA,2,1.388888889,"Muridae"
1992,"Aug.92","Main Camp","MC","MC11","12",4,36,144,"Pseudomys hermannsburgensis",NA,20,13.88888889,"Muridae"
1992,"Aug.92","Main Camp","MC","MC11","12",4,36,144,"Dasycercus cristicauda",NA,1,0.694444444,"Dasyuridae"
1992,"Aug.92","Main Camp","MC","MC11","12",4,36,144,"Mus musculus",NA,1,0.694444444,"Muridae"
1992,"Aug.92","Main Camp","MC","MC11","12",4,36,144,"Notomys alexis",NA,22,15.27777778,"Muridae"
1992,"Oct.92","Main Camp","MC","MC11","13",3,36,108,"Notomys alexis",NA,3,2.777777778,"Muridae"
1992,"Oct.92","Main Camp","MC","MC11","13",3,36,108,"Pseudomys hermannsburgensis",NA,14,12.96296296,"Muridae"
1992,"Oct.92","Main Camp","MC","MC11","13",3,36,108,"Sminthopsis youngsoni",NA,1,0.925925926,"Dasyuridae"
1992,"Oct.92","Main Camp","MC","MC1","13",3,36,108,"Notomys alexis",NA,2,1.851851852,"Muridae"
1992,"Oct.92","Main Camp","MC","MC1","13",3,36,108,"Pseudomys hermannsburgensis",NA,3,2.777777778,"Muridae"
1992,"Oct.92","Main Camp","MC","MC10","13",3,36,108,"Notomys alexis",NA,4,3.703703704,"Muridae"
1992,"Oct.92","Main Camp","MC","MC2","13",3,36,108,"Notomys alexis",NA,2,1.851851852,"Muridae"
1992,"Oct.92","Main Camp","MC","MC4","13",3,36,108,"Notomys alexis",NA,2,1.851851852,"Muridae"
1992,"Oct.92","Main Camp","MC","MC2","13",3,36,108,"No captures",NA,1,0.925925926,""
1992,"Oct.92","Main Camp","MC","MC10","13",3,36,108,"Pseudomys hermannsburgensis",NA,14,12.96296296,"Muridae"
1992,"Oct.92","Main Camp","MC","MC10","13",3,36,108,"Sminthopsis youngsoni",NA,2,1.851851852,"Dasyuridae"
1992,"Oct.92","Main Camp","MC","MC4","13",3,36,108,"Pseudomys hermannsburgensis",NA,8,7.407407407,"Muridae"
1992,"Oct.92","Main Camp","MC","MC2","13",3,36,108,"Pseudomys hermannsburgensis",NA,5,4.62962963,"Muridae"
1992,"Nov.92","Main Camp","MC","MC4","14",2,36,72,"No captures",NA,1,1.388888889,""
1992,"Nov.92","Main Camp","MC","MC4","14",2,36,72,"Pseudomys hermannsburgensis",NA,2,2.777777778,"Muridae"
1992,"Nov.92","Main Camp","MC","MC2","14",2,36,72,"Notomys alexis",NA,2,2.777777778,"Muridae"
1992,"Nov.92","Main Camp","MC","MC2","14",2,36,72,"No captures",NA,1,1.388888889,""
1992,"Nov.92","Main Camp","MC","MC11","14",2,36,72,"Pseudomys hermannsburgensis",NA,1,1.388888889,"Muridae"
1992,"Nov.92","Main Camp","MC","MC11","14",2,36,72,"No captures",NA,1,1.388888889,""
1992,"Nov.92","Main Camp","MC","MC10","14",2,36,72,"Pseudomys hermannsburgensis",NA,1,1.388888889,"Muridae"
1992,"Nov.92","Main Camp","MC","MC10","14",2,36,72,"Notomys alexis",NA,2,2.777777778,"Muridae"
1992,"Nov.92","Main Camp","MC","MC1","14",2,36,72,"Dasycercus cristicauda",NA,3,4.166666667,"Dasyuridae"
1992,"Nov.92","Main Camp","MC","MC1","14",2,36,72,"Pseudomys hermannsburgensis",NA,2,2.777777778,"Muridae"
1992,"Nov.92","Main Camp","MC","MC2","14",2,36,72,"Pseudomys hermannsburgensis",NA,4,5.555555556,"Muridae"
1993,"Mar.93","Main Camp","MC","MC10","15",4,36,144,"Ningaui ridei",NA,1,0.694444444,"Dasyuridae"
1993,"Mar.93","Main Camp","MC","MC11","15",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1993,"Mar.93","Main Camp","MC","MC11","15",4,36,144,"No captures",NA,3,2.083333333,""
1993,"Mar.93","Main Camp","MC","MC10","15",4,36,144,"No captures",NA,3,2.083333333,""
1993,"Jun.93","Main Camp","MC","MC2","16",3,36,108,"Notomys alexis",NA,1,0.925925926,"Muridae"
1993,"Jun.93","Main Camp","MC","MC4","16",3,36,108,"Pseudomys hermannsburgensis",NA,2,1.851851852,"Muridae"
1993,"Jun.93","Main Camp","MC","MC11","16",4,36,144,"Sminthopsis youngsoni",NA,2,1.388888889,"Dasyuridae"
1993,"Jun.93","Main Camp","MC","MC1","16",3,36,108,"Pseudomys hermannsburgensis",NA,1,0.925925926,"Muridae"
1993,"Jun.93","Main Camp","MC","MC10","16",4,36,144,"Pseudomys hermannsburgensis",NA,4,2.777777778,"Muridae"
1993,"Jun.93","Main Camp","MC","MC10","16",4,36,144,"Sminthopsis youngsoni",NA,4,2.777777778,"Dasyuridae"
1993,"Jun.93","Main Camp","MC","MC4","16",3,36,108,"Mus musculus",NA,3,2.777777778,"Muridae"
1993,"Jun.93","Main Camp","MC","MC11","16",4,36,144,"Pseudomys hermannsburgensis",NA,4,2.777777778,"Muridae"
