"lakeid","year4","sta","depth","taxon","rep","number_indiv"
"CR",1983,1,19.90,"CHAOBORUS LARVAE",5,3
"CR",1983,1,19.90,"LEPTODORA",1,175
"CR",1983,1,19.90,"LEPTODORA",3,205
"CR",1983,1,19.90,"LEPTODORA",4,225
"CR",1983,1,19.90,"MYSIS",1,0
"CR",1983,1,19.90,"MYSIS",2,0
"CR",1983,1,19.90,"MYSIS",3,0
"CR",1983,1,19.90,"MYSIS",4,0
"CR",1983,1,19.90,"MYSIS",5,0
"CR",1984,1,18.00,"CHAOBORUS LARVAE",1,23
"CR",1984,1,18.00,"CHAOBORUS LARVAE",2,5
"CR",1984,1,18.00,"CHAOBORUS LARVAE",3,9
"CR",1984,1,18.00,"CHAOBORUS LARVAE",4,9
"CR",1984,1,18.00,"CHAOBORUS LARVAE",5,15
"CR",1984,1,18.00,"LEPTODORA",2,497
"CR",1984,1,18.00,"LEPTODORA",3,803
"CR",1984,1,18.00,"LEPTODORA",5,688
"CR",1984,1,18.00,"MYSIS",1,0
"CR",1984,1,18.00,"MYSIS",2,0
"CR",1984,1,18.00,"MYSIS",3,0
"CR",1984,1,18.00,"MYSIS",4,0
"CR",1984,1,18.00,"MYSIS",5,0
"CR",1985,1,18.00,"CHAOBORUS LARVAE",1,21
"CR",1985,1,18.00,"CHAOBORUS LARVAE",2,22
"CR",1985,1,18.00,"CHAOBORUS LARVAE",3,44
"CR",1985,1,18.00,"CHAOBORUS LARVAE",4,18
"CR",1985,1,18.00,"CHAOBORUS LARVAE",5,16
"CR",1985,1,18.00,"LEPTODORA",1,1020
"CR",1985,1,18.00,"LEPTODORA",3,1197
"CR",1985,1,18.00,"LEPTODORA",4,931
"CR",1985,1,18.00,"MYSIS",1,0
"CR",1985,1,18.00,"MYSIS",2,0
"CR",1985,1,18.00,"MYSIS",3,0
"CR",1985,1,18.00,"MYSIS",4,0
"CR",1985,1,18.00,"MYSIS",5,0
"CR",1986,1,19.00,"CHAOBORUS LARVAE",1,2
"CR",1986,1,19.00,"CHAOBORUS LARVAE",2,1
"CR",1986,1,19.00,"CHAOBORUS LARVAE",3,0
"CR",1986,1,19.00,"CHAOBORUS LARVAE",4,3
"AL",1983,1,8.00,"CHAOBORUS LARVAE",1,691
"AL",1983,1,8.00,"CHAOBORUS LARVAE",2,430
"AL",1983,1,8.00,"CHAOBORUS LARVAE",3,856
"AL",1983,1,8.00,"CHAOBORUS LARVAE",4,895
"AL",1983,1,8.00,"CHAOBORUS LARVAE",5,943
"AL",1983,1,8.00,"LEPTODORA",1,16
"AL",1983,1,8.00,"LEPTODORA",2,24
"AL",1983,1,8.00,"LEPTODORA",4,50
"AL",1983,1,8.00,"LEPTODORA",5,45
"AL",1983,1,8.00,"MYSIS",2,0
"AL",1983,1,8.00,"MYSIS",3,0
"AL",1983,1,8.00,"MYSIS",4,0
"AL",1984,1,7.00,"CHAOBORUS LARVAE",1,158
"AL",1984,1,7.00,"CHAOBORUS LARVAE",2,261
"AL",1984,1,7.00,"CHAOBORUS LARVAE",3,152
"AL",1984,1,7.00,"CHAOBORUS LARVAE",4,89
"AL",1984,1,7.00,"CHAOBORUS LARVAE",5,226
"AL",1984,1,7.00,"LEPTODORA",1,42
"AL",1984,1,7.00,"LEPTODORA",2,49
"AL",1984,1,7.00,"LEPTODORA",4,23
"AL",1984,1,7.00,"LEPTODORA",5,27
"AL",1984,1,7.00,"MYSIS",2,0
"AL",1984,1,7.00,"MYSIS",3,0
"AL",1984,1,7.00,"MYSIS",4,0
"AL",1985,1,7.00,"CHAOBORUS LARVAE",1,915
"AL",1985,1,7.00,"CHAOBORUS LARVAE",2,679
"AL",1985,1,7.00,"CHAOBORUS LARVAE",3,593
"AL",1985,1,7.00,"CHAOBORUS LARVAE",4,885
"AL",1985,1,7.00,"CHAOBORUS LARVAE",5,520
"AL",1985,1,7.00,"LEPTODORA",1,236
"AL",1985,1,7.00,"LEPTODORA",2,343
"AL",1985,1,7.00,"LEPTODORA",4,591
"AL",1985,1,7.00,"LEPTODORA",5,497
"AL",1985,1,7.00,"MYSIS",1,0
"AL",1985,1,7.00,"MYSIS",3,0
"AL",1985,1,7.00,"MYSIS",4,0
"AL",1985,1,7.00,"MYSIS",5,0
"AL",1986,1,7.00,"CHAOBORUS LARVAE",1,204
"AL",1986,1,7.00,"CHAOBORUS LARVAE",2,169
"AL",1986,1,7.00,"CHAOBORUS LARVAE",3,314
"AL",1986,1,7.00,"CHAOBORUS LARVAE",4,283
"AL",1986,1,7.00,"CHAOBORUS LARVAE",5,218
"AL",1986,1,7.00,"LEPTODORA",1,15
"AL",1986,1,7.00,"LEPTODORA",2,3
"AL",1986,1,7.00,"LEPTODORA",3,9
"AL",1986,1,7.00,"LEPTODORA",5,10
"AL",1986,1,7.00,"MYSIS",1,0
"AL",1986,1,7.00,"MYSIS",2,0
"AL",1986,1,7.00,"MYSIS",3,0
"AL",1986,1,7.00,"MYSIS",5,0
"AL",1987,1,6.00,"CHAOBORUS LARVAE",1,497
"AL",1987,1,6.00,"CHAOBORUS LARVAE",2,431
"AL",1987,1,6.00,"CHAOBORUS LARVAE",3,493
"AL",1987,1,6.00,"CHAOBORUS LARVAE",4,512
"AL",1987,1,6.00,"CHAOBORUS LARVAE",5,348
"AL",1987,1,6.00,"CHAOBORUS PUPAE",1,29
"AL",1987,1,6.00,"CHAOBORUS PUPAE",2,23
"AL",1987,1,6.00,"CHAOBORUS PUPAE",3,30
"AL",1987,1,6.00,"CHAOBORUS PUPAE",4,39
"AL",1987,1,6.00,"CHAOBORUS PUPAE",5,25
"AL",1987,1,6.00,"LEPTODORA",1,54
"AL",1987,1,6.00,"LEPTODORA",3,28
"AL",1987,1,6.00,"LEPTODORA",4,48
"AL",1987,1,6.00,"MYSIS",1,0
"AL",1987,1,6.00,"MYSIS",2,0
"AL",1987,1,6.00,"MYSIS",3,0
"AL",1987,1,6.00,"MYSIS",4,0
"AL",1988,1,6.00,"CHAOBORUS LARVAE",1,397
"AL",1988,1,6.00,"CHAOBORUS LARVAE",2,311
"AL",1988,1,6.00,"CHAOBORUS LARVAE",3,575
"AL",1988,1,6.00,"CHAOBORUS LARVAE",4,335
"AL",1988,1,6.00,"CHAOBORUS LARVAE",5,81
"AL",1988,1,6.00,"CHAOBORUS PUPAE",1,4
"AL",1988,1,6.00,"CHAOBORUS PUPAE",2,5
"AL",1988,1,6.00,"CHAOBORUS PUPAE",3,10
"AL",1988,1,6.00,"CHAOBORUS PUPAE",4,7
"AL",1988,1,6.00,"LEPTODORA",1,153
"AL",1988,1,6.00,"LEPTODORA",2,165
"AL",1988,1,6.00,"LEPTODORA",4,115
"AL",1988,1,6.00,"LEPTODORA",5,28
"AL",1988,1,6.00,"MYSIS",1,0
"AL",1988,1,6.00,"MYSIS",3,0
"AL",1988,1,6.00,"MYSIS",4,0
"AL",1988,1,6.00,"MYSIS",5,0
"AL",1989,1,7.00,"CHAOBORUS LARVAE",1,802
"AL",1989,1,7.00,"CHAOBORUS LARVAE",2,966
"AL",1989,1,7.00,"CHAOBORUS LARVAE",3,506
"AL",1989,1,7.00,"CHAOBORUS LARVAE",4,242
"AL",1989,1,7.00,"CHAOBORUS LARVAE",5,540
"AL",1989,1,7.00,"LEPTODORA",2,0
"AL",1989,1,7.00,"LEPTODORA",3,5
"AL",1989,1,7.00,"LEPTODORA",4,2
"AL",1989,1,7.00,"MYSIS",1,0
"AL",1989,1,7.00,"MYSIS",2,0
"AL",1989,1,7.00,"MYSIS",3,0
"AL",1989,1,7.00,"MYSIS",5,0
"AL",1990,1,7.00,"CHAOBORUS LARVAE",1,1817
"AL",1990,1,7.00,"CHAOBORUS LARVAE",2,2587
"AL",1990,1,7.00,"CHAOBORUS LARVAE",3,3030
"AL",1990,1,7.00,"CHAOBORUS LARVAE",4,1697
"AL",1990,1,7.00,"CHAOBORUS LARVAE",5,3124
"AL",1990,1,7.00,"LEPTODORA",1,1
"AL",1990,1,7.00,"LEPTODORA",3,24
"AL",1990,1,7.00,"LEPTODORA",4,10
"AL",1990,1,7.00,"LEPTODORA",5,56
"AL",1990,1,7.00,"MYSIS",2,0
"AL",1990,1,7.00,"MYSIS",3,0
"AL",1990,1,7.00,"MYSIS",4,0
"AL",1991,1,7.00,"CHAOBORUS LARVAE",1,1426
"AL",1991,1,7.00,"CHAOBORUS LARVAE",2,1310
"AL",1991,1,7.00,"CHAOBORUS LARVAE",3,2311
"AL",1991,1,7.00,"CHAOBORUS LARVAE",4,2124
"AL",1991,1,7.00,"CHAOBORUS LARVAE",5,1953
"AL",1991,1,7.00,"LEPTODORA",1,6
"AL",1991,1,7.00,"LEPTODORA",3,25
"AL",1991,1,7.00,"LEPTODORA",4,4
"AL",1991,1,7.00,"LEPTODORA",5,4
"AL",1991,1,7.00,"MYSIS",2,0
"AL",1991,1,7.00,"MYSIS",3,0
"AL",1991,1,7.00,"MYSIS",4,0
"AL",1992,1,8.00,"CHAOBORUS LARVAE",1,1732
"AL",1992,1,8.00,"CHAOBORUS LARVAE",2,1490
"AL",1992,1,8.00,"CHAOBORUS LARVAE",3,1683
"AL",1992,1,8.00,"CHAOBORUS LARVAE",4,1250
"AL",1992,1,8.00,"CHAOBORUS LARVAE",5,1610
"AL",1992,1,8.00,"LEPTODORA",1,9
"AL",1992,1,8.00,"LEPTODORA",2,7
"AL",1992,1,8.00,"LEPTODORA",4,8
"AL",1992,1,8.00,"LEPTODORA",5,22
"AL",1992,1,8.00,"MYSIS",1,0
"AL",1992,1,8.00,"MYSIS",2,0
"AL",1992,1,8.00,"MYSIS",4,0
"AL",1992,1,8.00,"MYSIS",5,0
"AL",1993,1,7.00,"CHAOBORUS LARVAE",1,750
"AL",1993,1,7.00,"CHAOBORUS LARVAE",2,2201
"AL",1993,1,7.00,"CHAOBORUS LARVAE",3,1031
"AL",1993,1,7.00,"CHAOBORUS LARVAE",4,1787
"AL",1993,1,7.00,"CHAOBORUS LARVAE",5,1824
"AL",1993,1,7.00,"LEPTODORA",2,2
"AL",1993,1,7.00,"LEPTODORA",3,1
"AL",1993,1,7.00,"LEPTODORA",5,0
"AL",1993,1,7.00,"MYSIS",1,0
"AL",1993,1,7.00,"MYSIS",2,0
"AL",1993,1,7.00,"MYSIS",3,0
"AL",1993,1,7.00,"MYSIS",5,0
"AL",1994,1,7.00,"CHAOBORUS LARVAE",1,678
"AL",1994,1,7.00,"CHAOBORUS LARVAE",2,1637
"AL",1994,1,7.00,"CHAOBORUS LARVAE",3,658
"AL",1994,1,7.00,"CHAOBORUS LARVAE",4,1506
"AL",1994,1,7.00,"CHAOBORUS LARVAE",5,479
"AL",1994,1,7.00,"LEPTODORA",1,23
"AL",1994,1,7.00,"LEPTODORA",3,11
"AL",1994,1,7.00,"LEPTODORA",4,31
"AL",1994,1,7.00,"MYSIS",1,0
"AL",1994,1,7.00,"MYSIS",2,0
"AL",1994,1,7.00,"MYSIS",3,0
"AL",1994,1,7.00,"MYSIS",4,0
"AL",1994,1,7.00,"MYSIS",5,0
"AL",1995,1,6.00,"CHAOBORUS LARVAE",1,1844
"AL",1995,1,6.00,"CHAOBORUS LARVAE",2,2001
"AL",1995,1,6.00,"CHAOBORUS LARVAE",3,1504
"AL",1995,1,6.00,"CHAOBORUS LARVAE",4,1748
"AL",1995,1,6.00,"CHAOBORUS LARVAE",5,1223
"AL",1995,1,6.00,"LEPTODORA",2,26
"AL",1995,1,6.00,"LEPTODORA",3,14
"AL",1995,1,6.00,"LEPTODORA",4,18
"AL",1995,1,6.00,"LEPTODORA",5,12
"AL",1995,1,6.00,"MYSIS",1,0
"AL",1995,1,6.00,"MYSIS",2,0
"AL",1995,1,6.00,"MYSIS",3,0
"AL",1995,1,6.00,"MYSIS",4,0
"AL",1995,1,6.00,"MYSIS",5,0
