SQUARE,YEAR,SITE_ID,SURVEY_DATE,PLANT_NAME,PROPORTION,LC07,LC07_NUM,EZ_DESC_07,COUNTY07,COUNTRY
SNIVSZ,CS2007,1,19-Jul-07,Phalaris arundinacea,25-50%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Plagiomnium undulatum,1-2.5%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Solanum dulcamara,0.1-1%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Stachys palustris,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZLAHSC,CS2007,1,15-Aug-07,Agrostis stolonifera,<0.1%,2e,2,Easterly lowlands (England),West Sussex,ENG
ZLAHSC,CS2007,1,15-Aug-07,Conocephalum conicum,<0.1%,2e,2,Easterly lowlands (England),West Sussex,ENG
ZLAHSC,CS2007,1,15-Aug-07,Pellia sp,0.1-1%,2e,2,Easterly lowlands (England),West Sussex,ENG
ZLAHSC,CS2007,1,15-Aug-07,Pohlia wahlenbergii,0.1-1%,2e,2,Easterly lowlands (England),West Sussex,ENG
JRQNKY,CS2007,1,17-May-07,Equisetum fluviatile,0.1-1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2007,1,17-May-07,Glyceria maxima,2.5-5%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2007,1,17-May-07,Lemna minor,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2007,1,17-May-07,Myosotis scorpioides,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2007,1,17-May-07,Oenanthe crocata,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2007,1,17-May-07,Phalaris arundinacea,25-50%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2007,1,17-May-07,Sparganium erectum,5-10%,4e,4,Easterly lowlands (England),East Sussex,ENG
MTFPSJ,CS2007,1,19-Sep-07,Fontinalis antipyretica,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
MTFPSJ,CS2007,1,19-Sep-07,Oenanthe crocata,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
MTFPSJ,CS2007,1,19-Sep-07,Racomitrium aquaticum,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
TWDIGY,CS2007,1,13-Sep-07,Agrostis stolonifera,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
TWDIGY,CS2007,1,13-Sep-07,Apium nodiflorum,1-2.5%,6e,6,Westerly lowlands (England),Somerset,ENG
TWDIGY,CS2007,1,13-Sep-07,Glyceria fluitans,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
TWDIGY,CS2007,1,13-Sep-07,Oenanthe crocata,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
TWDIGY,CS2007,1,13-Sep-07,Rorippa nasturtium-aquaticum,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
TWDIGY,CS2007,1,13-Sep-07,Sparganium erectum,0.1-1%,6e,6,Westerly lowlands (England),Somerset,ENG
TWDIGY,CS2007,1,13-Sep-07,Veronica beccabunga,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
HKPNTT,CS2007,1,28-Aug-07,Apium nodiflorum,1-2.5%,1e,1,Westerly lowlands (England),Somerset,ENG
HKPNTT,CS2007,1,28-Aug-07,Rorippa nasturtium-aquaticum,1-2.5%,1e,1,Westerly lowlands (England),Somerset,ENG
HKPNTT,CS2007,1,28-Aug-07,Sparganium erectum,1-2.5%,1e,1,Westerly lowlands (England),Somerset,ENG
HKPNTT,CS2007,1,28-Aug-07,Veronica beccabunga,1-2.5%,1e,1,Westerly lowlands (England),Somerset,ENG
GCJEBY,CS2007,1,13-Sep-07,Callitriche sp,0.1-1%,2e,2,Easterly lowlands (England),Hampshire,ENG
GCJEBY,CS2007,1,13-Sep-07,Carex sp,10-25%,2e,2,Easterly lowlands (England),Hampshire,ENG
GCJEBY,CS2007,1,13-Sep-07,Lemna minor,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
GCJEBY,CS2007,1,13-Sep-07,Phalaris arundinacea,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
GCJEBY,CS2007,1,13-Sep-07,Solanum dulcamara,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
BQBGBD,CS2007,1,06-Nov-07,Eurhynchium swartzii,<0.1%,3e,3,Easterly lowlands (England),West Sussex,ENG
BQBGBD,CS2007,1,06-Nov-07,Fissidens taxifolius,<0.1%,3e,3,Easterly lowlands (England),West Sussex,ENG
BQBGBD,CS2007,1,06-Nov-07,Lophocolea bidentata,<0.1%,3e,3,Easterly lowlands (England),West Sussex,ENG
BQBGBD,CS2007,1,06-Nov-07,Lunularia cruciata,<0.1%,3e,3,Easterly lowlands (England),West Sussex,ENG
BQBGBD,CS2007,1,06-Nov-07,Pellia sp,<0.1%,3e,3,Easterly lowlands (England),West Sussex,ENG
BQBGBD,CS2007,1,06-Nov-07,Solanum dulcamara,<0.1%,3e,3,Easterly lowlands (England),West Sussex,ENG
RIGILI,CS2007,1,23-May-07,Cinclidotus fontinaloides,<0.1%,3e,3,Easterly lowlands (England),East Sussex,ENG
RIGILI,CS2007,1,23-May-07,Rhizomnium punctatum,<0.1%,3e,3,Easterly lowlands (England),East Sussex,ENG
DKPKMO,CS2007,1,13-Jun-07,Elodea nuttallii,2.5-5%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2007,1,13-Jun-07,Equisetum fluviatile,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2007,1,13-Jun-07,Glyceria maxima,2.5-5%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2007,1,13-Jun-07,Hydrocharis morsus-ranae,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2007,1,13-Jun-07,Phragmites australis,5-10%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2007,1,13-Jun-07,Potamogeton nodosus,10-25%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2007,1,13-Jun-07,Sagittaria sagittifolia,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2007,1,13-Jun-07,Sparganium erectum,2.5-5%,3e,3,Easterly lowlands (England),Kent,ENG
TAZMMI,CS2007,1,05-Sep-07,Amblystegium riparium,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
TAZMMI,CS2007,1,05-Sep-07,Apium nodiflorum,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
TAZMMI,CS2007,1,05-Sep-07,Oenanthe crocata,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Agrostis stolonifera,1-2.5%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Alisma plantago-aquatica,<0.1%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Callitriche sp,0.1-1%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Ceratophyllum demersum,5-10%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Eleocharis palustris,0.1-1%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Enteromorpha intestinalis,<0.1%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Glyceria fluitans,5-10%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Hydrocharis morsus-ranae,2.5-5%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Lemna gibba,50-75%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Lemna minor,5-10%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Myriophyllum spicatum,5-10%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Phragmites australis,10-25%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Potamogeton pectinatus,10-25%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2007,1,12-Jun-07,Sparganium erectum,2.5-5%,8e,8,Westerly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Apium nodiflorum,<0.1%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Glyceria fluitans,<0.1%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Glyceria maxima,2.5-5%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Iris pseudacorus,1-2.5%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Lemna gibba,>75%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Lemna minor,10-25%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Phalaris arundinacea,0.1-1%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Rumex hydrolapathum,<0.1%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2007,1,04-Oct-07,Sparganium erectum,0.1-1%,4e,4,Easterly lowlands (England),Somerset,ENG
NOFKFH,CS2007,1,10-Oct-07,Conocephalum conicum,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
NOFKFH,CS2007,1,10-Oct-07,Oenanthe crocata,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
NOFKFH,CS2007,1,10-Oct-07,Pellia sp,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HYYEET,CS2007,1,28-Jun-07,Glyceria maxima,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
HYYEET,CS2007,1,28-Jun-07,Oenanthe crocata,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
HYYEET,CS2007,1,28-Jun-07,Phalaris arundinacea,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
HYYEET,CS2007,1,28-Jun-07,Solanum dulcamara,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
HYYEET,CS2007,1,28-Jun-07,Sparganium erectum,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
HYYEET,CS2007,1,28-Jun-07,Typha latifolia,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
MJSKRM,CS2007,1,25-Jun-07,Alisma plantago-aquatica,2.5-5%,3e,3,Easterly lowlands (England),Kent,ENG
MJSKRM,CS2007,1,25-Jun-07,Glyceria fluitans,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
MJSKRM,CS2007,1,25-Jun-07,Lemna minor,1-2.5%,3e,3,Easterly lowlands (England),Kent,ENG
MJSKRM,CS2007,1,25-Jun-07,Solanum dulcamara,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
MJSKRM,CS2007,1,25-Jun-07,Sparganium erectum,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
MJSKRM,CS2007,1,25-Jun-07,Typha latifolia,0.1-1%,3e,3,Easterly lowlands (England),Kent,ENG
MZHCNF,CS2007,1,22-Aug-07,Agrostis stolonifera,<0.1%,5e,5,Westerly lowlands (England),Wiltshire,ENG
MZHCNF,CS2007,1,22-Aug-07,Apium nodiflorum,2.5-5%,5e,5,Westerly lowlands (England),Wiltshire,ENG
MZHCNF,CS2007,1,22-Aug-07,Glyceria fluitans,2.5-5%,5e,5,Westerly lowlands (England),Wiltshire,ENG
MZHCNF,CS2007,1,22-Aug-07,Sparganium erectum,25-50%,5e,5,Westerly lowlands (England),Wiltshire,ENG
ZUJTKP,CS2007,2,11-Jul-07,Alisma plantago-aquatica,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2007,2,11-Jul-07,Iris pseudacorus,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2007,2,11-Jul-07,Myosotis scorpioides,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2007,2,11-Jul-07,Oenanthe crocata,1-2.5%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2007,2,11-Jul-07,Phalaris arundinacea,2.5-5%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2007,2,11-Jul-07,Sparganium erectum,2.5-5%,2e,2,Easterly lowlands (England),Hampshire,ENG
DEJBBK,CS2007,1,20-Oct-07,Apium nodiflorum,0.1-1%,1e,1,Westerly lowlands (England),South Gloucestershire Unitary Authority,ENG
DEJBBK,CS2007,1,20-Oct-07,Callitriche sp,0.1-1%,1e,1,Westerly lowlands (England),South Gloucestershire Unitary Authority,ENG
DEJBBK,CS2007,1,20-Oct-07,Hippuris vulgaris,<0.1%,1e,1,Westerly lowlands (England),South Gloucestershire Unitary Authority,ENG
DEJBBK,CS2007,1,20-Oct-07,Veronica beccabunga,<0.1%,1e,1,Westerly lowlands (England),South Gloucestershire Unitary Authority,ENG
BZJANF,CS2007,1,22-Oct-07,Agrostis stolonifera,0.1-1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Apium nodiflorum,50-75%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Calliergon cuspidatum,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Glyceria fluitans,10-25%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Lunularia cruciata,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Myosotis scorpioides,2.5-5%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Oenanthe crocata,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Pellia sp,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Phalaris arundinacea,0.1-1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Pohlia wahlenbergii,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Rorippa nasturtium-aquaticum,1-2.5%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Solanum dulcamara,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Veronica anagallis-aquatica,1-2.5%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2007,1,22-Oct-07,Veronica beccabunga,2.5-5%,2e,2,Easterly lowlands (England),Wiltshire,ENG
KPEREP,CS2007,1,18-Sep-07,Ceratophyllum demersum,2.5-5%,1e,1,Westerly lowlands (England),Greater London,ENG
KPEREP,CS2007,1,18-Sep-07,Iris pseudacorus,<0.1%,1e,1,Westerly lowlands (England),Greater London,ENG
KPEREP,CS2007,1,18-Sep-07,Lemna minor,2.5-5%,1e,1,Westerly lowlands (England),Greater London,ENG
KPEREP,CS2007,1,18-Sep-07,Nuphar lutea,1-2.5%,1e,1,Westerly lowlands (England),Greater London,ENG
KPEREP,CS2007,1,18-Sep-07,Nymphaea marliacea,1-2.5%,1e,1,Westerly lowlands (England),Greater London,ENG
OXVLRI,CS2007,1,11-Jun-07,Agrostis stolonifera,5-10%,8e,8,Westerly lowlands (England),Kent,ENG
OXVLRI,CS2007,1,11-Jun-07,Fissidens taxifolius,0.1-1%,8e,8,Westerly lowlands (England),Kent,ENG
OXVLRI,CS2007,1,11-Jun-07,Oenanthe crocata,0.1-1%,8e,8,Westerly lowlands (England),Kent,ENG
OXVLRI,CS2007,1,11-Jun-07,Phragmites australis,>75%,8e,8,Westerly lowlands (England),Kent,ENG
KLOORS,CS2007,1,10-Oct-07,Hyocomium armoricum,0.1-1%,6w,42,Lowlands (Wales),West Glamorgan,WAL
KLOORS,CS2007,1,10-Oct-07,Scapania undulata,2.5-5%,6w,42,Lowlands (Wales),West Glamorgan,WAL
UIZSGP,CS2007,1,18-Oct-07,No species entered,<0.1%,6w,42,Lowlands (Wales),Mid Glamorgan,WAL
UEDLDK,CS2007,1,24-Oct-07,Agrostis stolonifera,0.1-1%,17w3,19,Uplands (Wales),Mid Glamorgan,WAL
UEDLDK,CS2007,1,24-Oct-07,Glyceria fluitans,0.1-1%,17w3,19,Uplands (Wales),Mid Glamorgan,WAL
UEDLDK,CS2007,1,24-Oct-07,Ranunculus omiophyllus,1-2.5%,17w3,19,Uplands (Wales),Mid Glamorgan,WAL
UEDLDK,CS2007,1,24-Oct-07,Rhynchostegium riparioides,1-2.5%,17w3,19,Uplands (Wales),Mid Glamorgan,WAL
