"id","visit_code","species","abundance","recapture","sex","age_cohort","trap_type","trap_number","tissue"
"19623","121-10-32-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","1","No"
"19624","121-10-32-2","Rattus fuscipes",1,"Yes","","Adult","Elliott","3","No"
"19625","121-10-32-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","No"
"19626","121-10-32-2","Rattus fuscipes",1,"Yes","Female","Adult","Large Cage","6","No"
"19627","121-10-32-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","1","No"
"19628","121-10-32-3","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","5","No"
"19629","121-10-32-3","Rattus fuscipes",1,"No","Male","Adult","Small Cage","2","No"
"19612","121-10-7-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","1","No"
"19613","121-10-7-3","Rattus fuscipes",1,"No","","Juvenile","Elliott","1","No"
"19614","121-10-7-3","Rattus fuscipes",1,"No","","Subadult","Elliott","3","No"
"19615","121-10-18-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","8","No"
"19633","121-11-3-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","6","No"
"19634","121-11-3-1","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","1","No"
"19635","121-11-3-1","Trichosurus vulpecula",1,"No","Female","Adult","Small Cage","2","No"
"19636","121-11-3-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","1","No"
"19637","121-11-3-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","4","No"
"19638","121-11-3-2","Trichosurus vulpecula",1,"Yes","Female","Adult","Small Cage","2","No"
"19639","121-11-3-3","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","3","No"
"19640","121-11-3-3","Rattus fuscipes",1,"Yes","","","Elliott","7","No"
"19641","121-11-3-3","Trichosurus vulpecula",1,"Yes","","","Small Cage","2","No"
"19642","121-11-3-3","Trichosurus vulpecula",1,"No","Male","","Small Cage","4","No"
"19643","121-11-4-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","1","No"
"19645","121-11-4-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","4","No"
"19646","121-11-4-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","5","No"
"19647","121-11-4-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","7","No"
"19648","121-11-4-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","8","No"
"19649","121-11-4-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","10","No"
"19650","121-11-4-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","4","No"
"19651","121-11-4-2","Rattus fuscipes",1,"Yes","","","Elliott","2","No"
"19652","121-11-4-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","5","No"
"19653","121-11-4-2","Rattus fuscipes",1,"Yes","","","Elliott","8","No"
"19654","121-11-4-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","No"
"19655","121-11-4-2","Rattus fuscipes",1,"Yes","","","Small Cage","5","No"
"19656","121-11-4-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","2","No"
"19657","121-11-4-3","Rattus fuscipes",1,"Yes","","","Elliott","3","No"
"19658","121-11-4-3","Rattus fuscipes",1,"Yes","","","Elliott","4","No"
"19659","121-11-4-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","5","No"
"19660","121-11-4-3","Rattus fuscipes",1,"Yes","","","Elliott","6","No"
"19661","121-11-4-3","Rattus fuscipes",1,"Yes","","","Elliott","8","No"
"19662","121-11-4-3","Rattus fuscipes",1,"Yes","","","Elliott","10","No"
"19671","121-12-28-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","4","No"
"19672","121-12-28-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","4","No"
"19666","121-12-4-3","Perameles nasuta",1,"No","Male","Adult","Small Cage","5","Yes"
"19478","121-2-12-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","No"
"19479","121-2-12-1","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","6","No"
"19480","121-2-12-2","Rattus fuscipes",1,"No","","Adult","Elliott","2","No"
"19481","121-2-12-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","6","No"
"19483","121-2-13-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","8","No"
"19698","121-2-2-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","No"
"19699","121-2-2-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","2","No"
"19701","121-2-2-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","10","No"
"19702","121-2-2-3","Antechinus stuartii",1,"Yes","","","Elliott","2","No"
"19464","121-2-4-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","2","No"
"19465","121-2-4-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","6","No"
"19466","121-2-4-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","8","No"
"19467","121-2-4-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","No"
"19468","121-2-4-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","7","No"
"19469","121-2-4-2","Antechinus stuartii",1,"No","Female","","Elliott","9","No"
"19470","121-2-4-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","6","No"
"19471","121-2-7-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19472","121-2-7-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","2","No"
"19473","121-2-7-2","Rattus fuscipes",1,"Yes","","","Elliott","2","No"
"19474","121-2-7-2","Antechinus stuartii",1,"Yes","","","Elliott","5","No"
"19475","121-2-7-2","Cercartetus nanus",1,"No","Female","Adult","Elliott","6","No"
"19476","121-2-7-2","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","5","No"
"19486","121-4-1-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19487","121-4-1-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","2","No"
"19488","121-4-1-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","6","No"
"19489","121-4-1-2","Rattus fuscipes",1,"No","Female","Adult","Large Cage","1","No"
"19490","121-4-1-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","1","No"
"19491","121-4-1-3","Antechinus swainsonii",1,"No","Female","Subadult","Elliott","3","No"
"19693","121-4-24-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","6",""
"19694","121-4-24-2","Rattus fuscipes",1,"No","Female","","Elliott","6","No"
"19695","121-4-24-2","Rattus fuscipes",1,"No","Male","","Elliott","8","No"
"19696","121-4-24-2","Rattus fuscipes",1,"Yes","Female","Adult","Small Cage","3","No"
"19492","121-4-B-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","No"
"19493","121-4-B-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","7","No"
"19494","121-4-B-1","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","1","No"
"19495","121-4-B-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","5","No"
"19496","121-4-B-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","9","No"
"19497","121-4-B-3","Rattus fuscipes",1,"No","Male","Adult","Small Cage","2","No"
"19426","121-6-1-2","Antechinus stuartii",1,"No","Female","","Elliott","2","No"
"19673","121-6-109-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","1","No"
"19674","121-6-109-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","4","No"
"19675","121-6-109-3","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","2","No"
"19676","121-6-109-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","6","No"
"19463","121-6-115-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","9","No"
"19428","121-6-12-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","5","No"
"19429","121-6-12-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","7","No"
"19430","121-6-12-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","10","No"
"19431","121-6-12-1","Rattus fuscipes",1,"No","Male","Adult","Small Cage","2","No"
"19432","121-6-12-1","Rattus fuscipes",1,"No","Female","Adult","Small Cage","3","No"
"19433","121-6-12-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","1","No"
"19434","121-6-12-2","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","4","No"
"19435","121-6-12-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","5","No"
"19436","121-6-12-2","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","6","No"
"19437","121-6-12-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","8","No"
"19438","121-6-12-2","Rattus fuscipes",1,"Yes","Male","Adult","Small Cage","2","No"
"19439","121-6-12-3","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","4","No"
"19440","121-6-12-3","Rattus fuscipes",1,"Yes","Female","Adult","Small Cage","2","No"
"19441","121-6-12-3","Rattus fuscipes",1,"Yes","Male","Adult","Small Cage","4","No"
"19442","121-6-12-3","Rattus fuscipes",1,"No","Female","Adult","Small Cage","5","No"
"19498","121-6-144-1","Perameles nasuta",1,"No","Female","Adult","Small Cage","4","Yes"
"19500","121-6-144-3","Tachyglossus aculeatus",1,"No","","Adult","Small Cage","4","No"
"19501","121-6-149-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19443","121-6-42-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","7","No"
"19444","121-6-42-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","9","No"
"19445","121-6-42-1","Rattus fuscipes",1,"No","Female","Adult","Small Cage","3","No"
"19446","121-6-42-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","2","No"
"19447","121-6-42-2","Rattus fuscipes",1,"No","Male","","Elliott","6",""
"19448","121-6-42-2","Rattus fuscipes",1,"Yes","Female","Adult","Small Cage","3","No"
"19449","121-6-42-3","Antechinus stuartii",1,"No","","Adult","Elliott","2","No"
"19450","121-6-42-3","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","8","No"
"19451","121-6-42-3","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","10","No"
"19452","121-6-45-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19454","121-6-45-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","9","No"
"19507","121-6-54A-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","10","No"
"19508","121-6-54A-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","8","No"
"19509","121-6-54A-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","10","No"
"19510","121-6-54A-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","10","No"
"19455","121-6-64-1","Rattus lutreolus",1,"No","Male","Adult","Elliott","9","No"
"19456","121-6-64-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","1","No"
"19457","121-6-64-2","Rattus lutreolus",1,"Yes","Female","Adult","Elliott","8","No"
"19458","121-6-64-3","Rattus lutreolus",1,"No","Male","Adult","Elliott","9","No"
"19460","121-6-64-3","Rattus lutreolus",1,"Yes","Female","Adult","Small Cage","5","No"
"19512","121-7-1-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","2","No"
"19513","121-7-1-3","Rattus fuscipes",1,"Yes","","","Elliott","2",""
"19514","121-7-14-1","Pseudomys gracilicaudatus",1,"No","Female","Adult","Elliott","10","Yes"
"19515","121-7-14-2","Pseudomys gracilicaudatus",2,"Yes","","Adult","Small Cage","5","No"
"19517","121-7-20-1","Rattus fuscipes",1,"No","","","Elliott","3",""
"19518","121-7-20-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","No"
"19519","121-7-20-2","Rattus fuscipes",1,"Yes","Male","","Small Cage","2","No"
"19520","121-7-20-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","4","No"
"19522","121-7-44-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","2","No"
"19523","121-7-44-3","Antechinus stuartii",1,"No","Male","Adult","Elliott","2","No"
"19525","121-7-46-1","Pseudomys gracilicaudatus",1,"No","Female","Adult","Elliott","6","Yes"
"19526","121-7-46-2","Pseudomys gracilicaudatus",1,"Yes","Female","Adult","Elliott","7","No"
"19527","121-7-46-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","1","No"
"19528","121-7-46-3","Pseudomys gracilicaudatus",1,"Yes","Female","Adult","Elliott","5","No"
"19529","121-7-73-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","1","No"
"19530","121-7-73-1","Rattus fuscipes",1,"No","","Adult","Elliott","6","No"
"19531","121-7-73-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","7","No"
"19532","121-7-73-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","5","No"
"19533","121-7-73-2","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","10","No"
"19534","121-7-73-3","Rattus fuscipes",1,"Yes","","Adult","Elliott","5","No"
"19535","121-7-73-3","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","9","No"
"19537","121-7-84-2","Rattus fuscipes",1,"No","Female","Juvenile","Elliott","1","No"
"19538","121-7-84-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","6","No"
"19541","121-7-94-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19543","121-7-95-1","Pseudomys gracilicaudatus",1,"No","","","Small Cage","4",""
"19544","121-7-95-2","Pseudomys gracilicaudatus",1,"No","","Adult","Elliott","1","No"
"19545","121-7-95-2","Pseudomys gracilicaudatus",1,"No","Female","Adult","Elliott","8","No"
"19546","121-7-95-2","Wallabia bicolor",1,"","","","Large Cage","6","No"
"19547","121-7-95-3","Pseudomys gracilicaudatus",1,"No","Male","Adult","Elliott","2","Yes"
"19548","121-7-95-3","Pseudomys gracilicaudatus",1,"Yes","Female","Adult","Elliott","4","Yes"
"19549","121-7-95-3","Pseudomys gracilicaudatus",1,"No","Female","Adult","Small Cage","4","Yes"
"19565","121-8-17-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","1","No"
"19566","121-8-17-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","No"
"19567","121-8-17-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","5","No"
"19568","121-8-17-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","6","No"
"19569","121-8-17-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","7","No"
"19571","121-8-17-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","3","No"
"19572","121-8-17-2","Rattus fuscipes",1,"Yes","","Adult","Elliott","6","Yes"
"19573","121-8-17-2","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","7","Yes"
"19574","121-8-17-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","8","No"
"19575","121-8-17-3","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","1","No"
"19576","121-8-17-3","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","3","No"
"19577","121-8-17-3","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","5","No"
"19578","121-8-17-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","8","No"
"19550","121-8-2-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","No"
"19551","121-8-2-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","5","No"
"19552","121-8-2-1","Rattus fuscipes",1,"No","Female","Adult","Small Cage","2","No"
"19553","121-8-2-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","4","No"
"19554","121-8-2-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","No"
"19555","121-8-2-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","1","No"
"19556","121-8-2-3","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","4","No"
"19557","121-8-2-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","8","No"
"19558","121-8-2-3","Rattus fuscipes",1,"Yes","Female","Adult","Small Cage","5","No"
"19559","121-8-3-1","Antechinus stuartii",1,"No","","","Elliott","7","No"
"19560","121-8-3-1","Trichosurus vulpecula",1,"No","Female","Adult","Elliott","9","No"
"19561","121-8-3-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","5","No"
"19562","121-8-3-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","7","No"
"19563","121-8-3-3","Rattus fuscipes",1,"Yes","","","Elliott","4","No"
"19564","121-8-3-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","7","No"
"19580","121-8-41-1","Antechinus stuartii",1,"No","Male","Subadult","Elliott","7","No"
"19581","121-8-41-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","5","No"
"19582","121-8-41-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","No"
"19583","121-8-41-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","2","No"
"19584","121-8-41-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","5","No"
"19585","121-8-41-3","Antechinus stuartii",1,"Yes","","Juvenile","Elliott","8","No"
"19589","121-9-3-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","2","No"
"19590","121-9-3-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","6","No"
"19591","121-9-3-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","8","No"
"19592","121-9-3-2","Rattus fuscipes",1,"Yes","","","Elliott","6","No"
"19593","121-9-3-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","9","No"
"19594","121-9-3-2","Rattus fuscipes",1,"Yes","","","Small Cage","4","No"
"19595","121-9-3-3","Rattus fuscipes",1,"Yes","","","Elliott","2","No"
"19596","121-9-3-3","Rattus fuscipes",1,"Yes","","","Elliott","4","No"
"19597","121-9-3-3","Rattus fuscipes",1,"Yes","","","Small Cage","5","No"
"19598","121-9-8-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","No"
"19599","121-9-8-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","3","No"
"19600","121-9-8-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","6","No"
"19601","121-9-8-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","9","No"
"19602","121-9-8-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","No"
"19603","121-9-8-2","Rattus fuscipes",1,"No","Male","Adult","Small Cage","6","No"
"19604","121-9-8-3","Rattus fuscipes",1,"Yes","","Adult","Elliott","3","No"
"19605","121-9-8-3","Rattus fuscipes",1,"Yes","","","Elliott","9",""
"19606","121-9-8-3","Perameles nasuta",1,"No","Male","Adult","Small Cage","2","No"
"19737","131-1-25-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","No"
"19738","131-1-25-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","1","Yes"
"19739","131-1-25-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","1","Yes"
"19740","131-1-25-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","1","Yes"
"19741","131-1-25-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","1","Yes"
"19742","131-1-25-3","Rattus fuscipes",1,"No","Male","Juvenile","Elliott","1","Yes"
"19743","131-1-25-3","Rattus fuscipes",1,"No","Female","Juvenile","Elliott","2","Yes"
"19744","131-1-25-3","Antechinus stuartii",1,"Yes","","","Elliott","3","No"
"19745","131-1-25-3","Rattus fuscipes",1,"Yes","","","Elliott","6","No"
"19746","131-1-25-3","Antechinus stuartii",1,"Yes","","","Elliott","9","No"
"19747","131-1-25-3","Perameles nasuta",1,"No","Male","Adult","Small Cage","2","Yes"
"19750","131-1-31-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","8","Yes"
"19751","131-1-31-1","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","1","No"
"19753","131-1-31-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","4","No"
"19754","131-1-31-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","No"
"19756","131-1-32-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","9","No"
"19757","131-1-32-3","Rattus fuscipes",1,"Yes","","","Elliott","6","No"
"19758","131-1-32-3","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","1","No"
"19766","131-1-37-2","Trichosurus vulpecula",1,"No","Female","Adult","Small Cage","4","No"
"19767","131-1-37-2","Trichosurus vulpecula",1,"No","","Juvenile","Small Cage","4","No"
