"year","month_year","site_name","site_grid","trip_no","nights","no_traps","total_trap_nights","species","recap_this_trip","captures","captures_100tn","family"
1990,"Aug.90","Main Camp","MC2","3",7,36,252,"Menetia greyii",NA,1,0.396825397,"Scincidae"
1990,"Aug.90","Main Camp","MC2","3",7,36,252,"Ctenophorus nuchalis",NA,3,1.19047619,"Agamidae"
1990,"Aug.90","Main Camp","MC4","3",7,36,252,"Ctenophorus nuchalis",NA,2,0.793650794,"Agamidae"
1990,"Aug.90","Main Camp","MC4","3",7,36,252,"Menetia maini",NA,1,0.396825397,"Scincidae"
1990,"Aug.90","Main Camp","MC4","3",7,36,252,"No captures",NA,5,1.984126984,""
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Varanus eremius",NA,1,0.694444444,"Varanidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Ctenotus ariadnae",NA,1,0.694444444,"Scincidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Lerista labialis",NA,13,9.027777778,"Scincidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Varanus gouldii",NA,3,2.083333333,"Varanidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Egernia inornata",NA,1,0.694444444,"Scincidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Pogona vitticeps",NA,1,0.694444444,"Agamidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Tiliqua multifasciata",NA,1,0.694444444,"Scincidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Ctenotus pantherinus",NA,3,2.083333333,"Scincidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Nephrurus levis",NA,1,0.694444444,"Carphodactylidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Ctenophorus isolepis",NA,1,0.694444444,"Agamidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Ctenotus lateralis",NA,3,2.083333333,"Scincidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Ramphotyphlops endoterus",NA,2,1.388888889,"Typhlopidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Varanus sp.",NA,2,1.388888889,"Varanidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Menetia greyii",NA,1,0.694444444,"Scincidae"
1990,"Sep.90","Main Camp","MC1","4",4,36,144,"Varanus brevicauda",NA,1,0.694444444,"Varanidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Egernia inornata",NA,4,2.777777778,"Scincidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Ctenophorus nuchalis",NA,4,2.777777778,"Agamidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Ctenotus lateralis",NA,4,2.777777778,"Scincidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Ctenotus pantherinus",NA,3,2.083333333,"Scincidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Menetia greyii",NA,2,1.388888889,"Scincidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Crenadactylus ocellatus",NA,1,0.694444444,"Diplodactylidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Eremiascincus fasciolatus",NA,2,1.388888889,"Scincidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Diplodactylus ciliaris",NA,1,0.694444444,"Diplodactylidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Pseudonaja nuchalis",NA,1,0.694444444,"Elapidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Lerista labialis",NA,25,17.36111111,"Scincidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Ctenotus ariadnae",NA,3,2.083333333,"Scincidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Ramphotyphlops endoterus",NA,1,0.694444444,"Typhlopidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Varanus eremius",NA,1,0.694444444,"Varanidae"
1990,"Sep.90","Main Camp","MC2","4",4,36,144,"Varanus brevicauda",NA,1,0.694444444,"Varanidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Ramphotyphlops endoterus",NA,4,2.777777778,"Typhlopidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Lerista aericeps",NA,3,2.083333333,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Lucasium damaeum",NA,1,0.694444444,"Diplodactylidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Menetia greyii",NA,4,2.777777778,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Ctenotus lateralis",NA,4,2.777777778,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Ctenophorus nuchalis",NA,1,0.694444444,"Agamidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Ctenotus pantherinus",NA,5,3.472222222,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Varanus gouldii",NA,1,0.694444444,"Varanidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Ctenotus leae",NA,2,1.388888889,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Varanus brevicauda",NA,1,0.694444444,"Varanidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Lerista labialis",NA,26,18.05555556,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Ctenotus brooksi",NA,1,0.694444444,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Egernia inornata",NA,2,1.388888889,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Eremiascincus fasciolatus",NA,2,1.388888889,"Scincidae"
1990,"Sep.90","Main Camp","MC4","4",4,36,144,"Ctenotus ariadnae",NA,9,6.25,"Scincidae"
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"No captures",NA,3,2.083333333,""
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"Varanus gouldii",NA,1,0.694444444,"Varanidae"
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"Lerista labialis",NA,2,1.388888889,"Scincidae"
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"Ctenotus ariadnae",NA,1,0.694444444,"Scincidae"
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"Ctenophorus nuchalis",NA,1,0.694444444,"Agamidae"
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"Ctenotus lateralis",NA,1,0.694444444,"Scincidae"
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"Nephrurus levis",NA,1,0.694444444,"Carphodactylidae"
1991,"Apr.91","Main Camp","MC1","5",4,36,144,"Ctenotus pantherinus",NA,3,2.083333333,"Scincidae"
1991,"Apr.91","Main Camp","MC11","5",4,36,144,"No captures",NA,1,0.694444444,""
1991,"Apr.91","Main Camp","MC11","5",4,36,144,"Ctenophorus nuchalis",NA,1,0.694444444,"Agamidae"
1991,"Apr.91","Main Camp","MC11","5",4,36,144,"Ctenotus lateralis",NA,1,0.694444444,"Scincidae"
1991,"Apr.91","Main Camp","MC11","5",4,36,144,"Diporiphora winneckei",NA,1,0.694444444,"Agamidae"
1991,"Apr.91","Main Camp","MC11","5",4,36,144,"Ctenotus brooksi",NA,2,1.388888889,"Scincidae"
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"Ctenotus pantherinus",NA,2,1.388888889,"Scincidae"
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"Ctenophorus isolepis",NA,3,2.083333333,"Agamidae"
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"Eremiascincus fasciolatus",NA,1,0.694444444,"Scincidae"
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"Ctenotus lateralis",NA,1,0.694444444,"Scincidae"
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"No captures",NA,1,0.694444444,""
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"Ramphotyphlops endoterus",NA,1,0.694444444,"Typhlopidae"
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"Lerista labialis",NA,8,5.555555556,"Scincidae"
1991,"Apr.91","Main Camp","MC2","5",4,36,144,"Varanus gouldii",NA,1,0.694444444,"Varanidae"
1991,"Apr.91","Main Camp","MC4","5",2,36,72,"Ctenophorus nuchalis",NA,1,1.388888889,"Agamidae"
1991,"Apr.91","Main Camp","MC4","5",2,36,72,"Lerista labialis",NA,5,6.944444444,"Scincidae"
1991,"Apr.91","Main Camp","MC4","5",2,36,72,"Ramphotyphlops endoterus",NA,1,1.388888889,"Typhlopidae"
1991,"Apr.91","Main Camp","MC4","5",2,36,72,"Ctenotus ariadnae",NA,1,1.388888889,"Scincidae"
1991,"Apr.91","Main Camp","MC4","5",2,36,72,"Ctenotus brooksi",NA,1,1.388888889,"Scincidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ctenotus leae",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Varanus eremius",NA,1,0.462962963,"Varanidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ctenotus lateralis",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ctenotus pantherinus",NA,4,1.851851852,"Scincidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ctenotus dux",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ctenophorus nuchalis",NA,1,0.462962963,"Agamidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ramphotyphlops endoterus",NA,1,0.462962963,"Typhlopidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ctenophorus isolepis",NA,12,5.555555556,"Agamidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Ctenotus ariadnae",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC1","6",6,36,216,"Lerista labialis",NA,13,6.018518519,"Scincidae"
1991,"May.91","Main Camp","MC10","6",6,36,216,"Ctenotus brooksi",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC10","6",6,36,216,"Egernia inornata",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC10","6",6,36,216,"Menetia greyii",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC10","6",6,36,216,"Ctenotus pantherinus",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC10","6",6,36,216,"Ctenotus dux",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC10","6",6,36,216,"Ctenophorus nuchalis",NA,2,0.925925926,"Agamidae"
1991,"May.91","Main Camp","MC10","6",6,36,216,"Lerista labialis",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC11","6",6,36,216,"No captures",NA,1,0.462962963,""
1991,"May.91","Main Camp","MC11","6",6,36,216,"Ctenotus leae",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC11","6",6,36,216,"Ctenotus dux",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC11","6",6,36,216,"Ctenotus lateralis",NA,3,1.388888889,"Scincidae"
1991,"May.91","Main Camp","MC11","6",6,36,216,"Lerista labialis",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC11","6",6,36,216,"Ctenotus pantherinus",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC11","6",6,36,216,"Pogona vitticeps",NA,1,0.462962963,"Agamidae"
1991,"May.91","Main Camp","MC11","6",6,36,216,"Ctenotus brooksi",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenotus lateralis",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Lerista labialis",NA,9,4.166666667,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenotus ariadnae",NA,2,0.925925926,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenophorus nuchalis",NA,3,1.388888889,"Agamidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenotus brooksi",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenotus dux",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenotus pantherinus",NA,4,1.851851852,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenotus leae",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Lerista aericeps",NA,1,0.462962963,"Scincidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Varanus brevicauda",NA,1,0.462962963,"Varanidae"
1991,"May.91","Main Camp","MC2","6",6,36,216,"Ctenophorus isolepis",NA,2,0.925925926,"Agamidae"
1991,"May.91","Main Camp","MC4","6",5,36,180,"Ctenophorus nuchalis",NA,1,0.555555556,"Agamidae"
1991,"May.91","Main Camp","MC4","6",5,36,180,"Ctenotus brooksi",NA,1,0.555555556,"Scincidae"
1991,"May.91","Main Camp","MC4","6",5,36,180,"Pogona vitticeps",NA,1,0.555555556,"Agamidae"
1991,"May.91","Main Camp","MC4","6",5,36,180,"Ctenotus ariadnae",NA,3,1.666666667,"Scincidae"
1991,"May.91","Main Camp","MC4","6",5,36,180,"Ctenophorus isolepis",NA,2,1.111111111,"Agamidae"
1991,"May.91","Main Camp","MC4","6",5,36,180,"Ctenotus pantherinus",NA,2,1.111111111,"Scincidae"
1991,"May.91","Main Camp","MC4","6",5,36,180,"No captures",NA,1,0.555555556,""
1991,"May.91","Main Camp","MC4","6",5,36,180,"Lerista labialis",NA,1,0.555555556,"Scincidae"
1991,"Jul.91","Main Camp","MC1","7",4,36,144,"No captures",NA,1,0.694444444,""
1991,"Jul.91","Main Camp","MC1","7",4,36,144,"Ctenotus pantherinus",NA,3,2.083333333,"Scincidae"
1991,"Jul.91","Main Camp","MC1","7",4,36,144,"Ctenotus dux",NA,1,0.694444444,"Scincidae"
1991,"Jul.91","Main Camp","MC1","7",4,36,144,"Ctenophorus isolepis",NA,5,3.472222222,"Agamidae"
1991,"Jul.91","Main Camp","MC1","7",4,36,144,"Lerista labialis",NA,2,1.388888889,"Scincidae"
1991,"Jul.91","Main Camp","MC2","7",4,36,144,"No captures",NA,1,0.694444444,""
1991,"Jul.91","Main Camp","MC2","7",4,36,144,"Ctenophorus nuchalis",NA,1,0.694444444,"Agamidae"
1991,"Jul.91","Main Camp","MC2","7",4,36,144,"Pseudonaja nuchalis",NA,1,0.694444444,"Elapidae"
1991,"Jul.91","Main Camp","MC2","7",4,36,144,"Ctenophorus isolepis",NA,1,0.694444444,"Agamidae"
1991,"Jul.91","Main Camp","MC4","7",4,36,144,"Ctenophorus isolepis",NA,1,0.694444444,"Agamidae"
1991,"Jul.91","Main Camp","MC4","7",4,36,144,"Ctenotus dux",NA,3,2.083333333,"Scincidae"
1991,"Jul.91","Main Camp","MC4","7",4,36,144,"Ctenotus pantherinus",NA,3,2.083333333,"Scincidae"
1991,"Jul.91","Main Camp","MC4","7",4,36,144,"Menetia greyii",NA,1,0.694444444,"Scincidae"
1991,"Jul.91","Main Camp","MC4","7",4,36,144,"Ctenophorus nuchalis",NA,1,0.694444444,"Agamidae"
1991,"Jul.91","Main Camp","MC4","7",4,36,144,"Ctenotus ariadnae",NA,1,0.694444444,"Scincidae"
1991,"Aug.91","Main Camp","MC2","8",7,36,252,"Ctenotus leae",NA,1,0.396825397,"Scincidae"
1991,"Aug.91","Main Camp","MC4","8",7,36,252,"Ctenotus leae",NA,1,0.396825397,"Scincidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Ctenophorus isolepis",NA,9,2.777777778,"Agamidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Egernia inornata",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Lerista labialis",NA,4,1.234567901,"Scincidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Ctenotus pantherinus",NA,4,1.234567901,"Scincidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Varanus gouldii",NA,3,0.925925926,"Varanidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"No captures",NA,3,0.925925926,""
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Ctenotus lateralis",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Ctenotus ariadnae",NA,4,1.234567901,"Scincidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Menetia greyii",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC1","9",9,36,324,"Varanus eremius",NA,1,0.308641975,"Varanidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Ctenotus brooksi",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Ctenotus pantherinus",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Ctenotus dux",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Varanus brevicauda",NA,3,0.925925926,"Varanidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Ctenotus leae",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"No captures",NA,1,0.308641975,""
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Varanus eremius",NA,1,0.308641975,"Varanidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Lerista aericeps",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Ctenophorus nuchalis",NA,1,0.308641975,"Agamidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Lerista labialis",NA,8,2.469135802,"Scincidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Varanus gouldii",NA,2,0.617283951,"Varanidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Ramphotyphlops endoterus",NA,1,0.308641975,"Typhlopidae"
1991,"Oct.91","Main Camp","MC10","9",9,36,324,"Ctenophorus isolepis",NA,4,1.234567901,"Agamidae"
1991,"Oct.91","Main Camp","MC11","9",9,36,324,"Lerista labialis",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC11","9",9,36,324,"Ctenotus brooksi",NA,4,1.234567901,"Scincidae"
1991,"Oct.91","Main Camp","MC11","9",9,36,324,"Pogona vitticeps",NA,1,0.308641975,"Agamidae"
1991,"Oct.91","Main Camp","MC11","9",9,36,324,"Ctenotus dux",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC11","9",9,36,324,"No captures",NA,4,1.234567901,""
1991,"Oct.91","Main Camp","MC11","9",9,36,324,"Ctenotus pantherinus",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Ctenotus ariadnae",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"No captures",NA,2,0.617283951,""
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Eremiascincus fasciolatus",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Ctenophorus nuchalis",NA,1,0.308641975,"Agamidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Ctenotus dux",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Ctenotus leae",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Egernia inornata",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Ctenotus pantherinus",NA,5,1.543209877,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Lerista labialis",NA,8,2.469135802,"Scincidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Ctenophorus isolepis",NA,2,0.617283951,"Agamidae"
1991,"Oct.91","Main Camp","MC2","9",9,36,324,"Varanus eremius",NA,1,0.308641975,"Varanidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Varanus brevicauda",NA,1,0.308641975,"Varanidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Ctenotus pantherinus",NA,3,0.925925926,"Scincidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Ctenotus dux",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"No captures",NA,3,0.925925926,""
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Ctenotus ariadnae",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Lerista labialis",NA,9,2.777777778,"Scincidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Varanus gouldii",NA,1,0.308641975,"Varanidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Ramphotyphlops endoterus",NA,1,0.308641975,"Typhlopidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Ctenotus lateralis",NA,1,0.308641975,"Scincidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Ctenophorus isolepis",NA,1,0.308641975,"Agamidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Ctenotus leae",NA,2,0.617283951,"Scincidae"
1991,"Oct.91","Main Camp","MC4","9",9,36,324,"Diporiphora winneckei",NA,1,0.308641975,"Agamidae"
1991,"Nov.91","Main Camp","MC1","9.5",4,36,144,"No captures",NA,4,2.777777778,""
1991,"Nov.91","Main Camp","MC10","9.5",4,36,144,"Ctenophorus nuchalis",NA,1,0.694444444,"Agamidae"
1991,"Nov.91","Main Camp","MC10","9.5",4,36,144,"Varanus brevicauda",NA,2,1.388888889,"Varanidae"
1991,"Nov.91","Main Camp","MC10","9.5",4,36,144,"No captures",NA,2,1.388888889,""
1991,"Nov.91","Main Camp","MC10","9.5",4,36,144,"Ctenotus leae",NA,1,0.694444444,"Scincidae"
1991,"Nov.91","Main Camp","MC10","9.5",4,36,144,"Ctenotus ariadnae",NA,1,0.694444444,"Scincidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Ctenophorus nuchalis",NA,2,1.388888889,"Agamidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Pseudonaja modesta",NA,1,0.694444444,"Elapidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Varanus gouldii",NA,1,0.694444444,"Varanidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Diporiphora winneckei",NA,2,1.388888889,"Agamidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Ctenotus ariadnae",NA,1,0.694444444,"Scincidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Ctenotus pantherinus",NA,1,0.694444444,"Scincidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Varanus brevicauda",NA,2,1.388888889,"Varanidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Ctenophorus isolepis",NA,1,0.694444444,"Agamidae"
1991,"Nov.91","Main Camp","MC2","9.5",4,36,144,"Ctenotus dux",NA,1,0.694444444,"Scincidae"
1992,"Apr.92","Main Camp","MC1","10",2,36,72,"Ctenotus dux",NA,1,1.388888889,"Scincidae"
1992,"Apr.92","Main Camp","MC1","10",2,36,72,"No captures",NA,2,2.777777778,""
1992,"Apr.92","Main Camp","MC10","10",4,36,144,"Egernia inornata",NA,1,0.694444444,"Scincidae"
